Music;Music as a performance art;Appraising, responding & reviewing;Internalising sounds;
;;;Recalling music: aural memory;
;;;Analysing music;
;;Context;Live performance;
;;;Recorded performance;
;;;Concert Hall;
;;;Arena;
;;;Music Stage;
;;;Ceremony;
;;;Church;
;;;School;
;;;Music School;
;;;Conservatory of Music;
;;;Chamber Music Hall;
;;;Street music;
;;;Theatre;
;;;Auditorium;
;;;Music Stage;
;;;Ceremony;
;;;Church;
;;Music genres;Traditional Music;
;;;Ballet Music;
;;;Classical Music;
;;;Jazz Music;
;;;Pop ? Rock Music;
;;;Chamber Music;
;;;Electronic Music;
;;;Vocal Music;
;;;Symphonic Music;
;;;16th c. Music;
;;;17th c. Music;
;;;18th c. Music;
;;;19th c. Music;
;;;20th c. Music (contemporary);
;;General styles & traditions;Music from Europe;
;;;Music from Africa;
;;;Music from the Americas;
;;;Music from Asia;
;;;Music from Australasia;
;;;Music from other places/cultures;
;;;Music from other traditions;
;;;Music of the past;
;;;Music of the present;
;;;Musical stimuli;
;;;Non-musical stimuli;
;;;Range of activities;
;;Performing/controlling sounds;Controlling sounds;
;;;Using the voice;
;;;Singing, including diction, sounds & techniques;
;;;Playing instruments: sounds & techniques;
;;;Practising;
;;;Rehearsing;
;;;Performing with others;
;;Composing, creating & developing;Creating & developing ideas;
;;;Improvising;
;;;Reflective composing;
;;;Arranging/accompaniments;
;;;Responding & reviewing;
;;Music and Media;Film music;
;;;Theatre Music;
;;;Background Music;
;Musical instruments / Human voice;Strings;Banjo;
;;;Cello;
;;;Double Bass;
;;;Guitar;
;;;Harp;
;;;Lute;
;;;Mandolin;
;;;Ukulele;
;;;Viola;
;;;Violin;
;;;Electric Bass;
;;;Electric guitar;
;;;Zither;
;;Keyboards;Clavichord;
;;;Harpsichord;
;;;Piano;
;;;Synthesizer / Electric Piano;
;;;Organ;
;;;Fortepiano / Pianoforte;
;;Winds;Recorder;
;;;Saxophone;
;;;Trombone;
;;;Trumpet;
;;;Tuba;
;;;Bagpipes;
;;;Bassoon;
;;;Clarinet;
;;;Contrabassoon;
;;;Cornet;
;;;Flute;
;;;Harmonica;
;;;Oboe;
;;;French Horn;
;;;English Horn;
;;Percussions;Bass Drum;
;;;Bell;
;;;Castanet;
;;;Cymbal;
;;;Glockenspiel;
;;;Gong;
;;;Maracas;
;;;Metallophone;
;;;Snare Drum;
;;;Tambourine;
;;;Timpani;
;;;Triangle;
;;;Xylophone;
;;Human;Soprano;
;;;Alto;
;;;Tenoro;
;;;Basso;
;Music Education;Music History;Ancient / Roman era;Aristoxenos
;;;;Pythagoras
;;;;Pronomos
;;;Byzantine era;Saint Romanos the Melodist
;;;;Byzantine Hymnography
;;;Medieval/Middle Ages;Gregorian chant
;;;;Troubadours and trouv?res
;;;;Ars antique
;;;;Ars Nova
;;;The Renaissance;Polyphony
;;;;Madrigal
;;;;Palestrina
;;;;Lassus
;;;;Byrd
;;;;Leontaritis
;;;;Motet
;;;Baroque Period; Bach
;;;; Handel
;;;; Vivaldi
;;;;Telemann
;;;;Lully
;;;;Corelli
;;;;Couperin
;;;;Claudio Monteverdi
;;;;Rameau
;;;;Purcell
;;;;Four Seasons
;;;;Concerto
;;;;Oratorio
;;;;Tonality
;;;Classical Period;Stamitz
;;;;Haydn
;;;;Johann Christian Bach
;;;; Salieri
;;;;Clementi
;;;; Mozart
;;;;Boccherini
;;;Romantic Period;Beethoven
;;;;Hummel
;;;;Reicha
;;;;Paganini
;;;;Rossini 
;;;;Donizetti
;;;;Schubert
;;;;Mendelssohn
;;;;Schumann
;;;;Liszt
;;;;Verdi
;;;;Wagner
;;;;Bruckner
;;;;Strauss
;;;;Borodin
;;;;Saint Saens
;;;;Bizet
;;;;Mussorgsky
;;;;Tchaikovsky
;;;;Grieg
;;;;Dvo??k
;;;;Korsakov
;;;;Koehler
;;;;Elgar
;;;;Puccini
;;;;Mahler
;;;;Debussy
;;;;Sibelius
;;;;Scriabin
;;;;Rachmaninoff
;;;;Schoenberg
;;;;Ravel
;;;;Symphonic Poem
;;;;String Quartet
;;;;Early Romantic era
;;;;Middle Romantic era
