ICT;Communications & entertainment;Advertising;
;;Changing technologies;
;;Chat;
;;Communications issues;
;;Communicative competence;
;;Developments in software & hardware & their impact;
;;Electronic journal;
;;Gadgets;
;;Integration of digital products;
;;Language;
;;Mass media;
;;Media education;
;;Video & audio;
;;Web 2.0;
;Control concepts;Automating events;
;;Considering 'what if...?'/predicting;
;;Controlling;
;;Feedback/responding to data;
;;Instructions;
;;Modelling;
;;Procedures/macros/templates;
;;Relationships & rules;
;;Sequencing;
;;Simulating;
;Data concepts;Appropriate/not appropriate;
;;Benefits & problems of data collection;
;;Classification;
;;Data capture;
;;Data collection;
;;Data logging;
;;Data presentation;
;;Data processing;
;;Data representation;
;;Database terminology & definitions;
;;Databases;
;;Databases management;
;;Database stucture;
;;Datalogging;
;;Labelling;
;;Limitations/advantages;
;;Linked databases & database structures;
;;Number bases;
;;Number conversion;
;;Numbers;
;;Numerical notation;
;;Planning what data to record;
;;Plausibility;
;;Presenting measured data;
;;Quality & accuracy;
;;Storing & retrieving data;
;;Search techniques;
;;Sensors & software Appropriate/not appropriate;
;;Sounds;
;;Still images - generally;
;;Still images: bitmap graphics;
;;Still images: graphs;
;;Still images: pictograms;
;;Still images: vector graphics;
;;Synthesising information;
;;Text;
;;Use of queries, forms, reports, macros;
;ICT tools;ICT tools ? generally;
;;ICT tools: adventure games/simulations;
;;ICT tools: bitmap graphics software;
;;ICT tools: control software;
;;ICT tools: database;
;;ICT tools: datalogging software;
;;ICT tools: desktop publishing (DTP);
;;ICT tools: multimedia authoring software;
;;ICT tools: music & sound software;
;;ICT tools: presentation software;
;;ICT tools: spreadsheet;
;;ICT tools: vector graphics program;
;;ICT tools: web authoring software;
;;ICT tools: web browser;
;;ICT tools: word processor;
;Computer architecture;Basic computer concepts;
;;Computer functional scheme;
;;Bool algebra and logical sets;
;;Hardware;Computer addition
;;;Concept keyboard
;;;Connecting computer parts
;;;Digital cameras
;;;Digital scanners
;;;Disk drive/hard disk
;;;Electronic day books
;;;Faxes
;;;Floppy Drive
;;;Input
;;;Keyboard Mouse
;;;Laser printers
;;;liquid crystal display panels
;;;Memory
;;;MIDI hardware
;;;Network
;;;Output
;;;Printer
;;;Processor
;;;Programmable toy
;;;Tape-recorders
;;;Video recorders
;;;Voice/fax/data modems
;;Software;Computer application
;;;Computer-assisted-instruction (CAI software)
;;;Computer game
;;;         Customer service
;;;         Operating system
;;;Low level languages
;;;Assembler
;;;Machine language
;;;Mnemonics
;;;         High level programming languages
;;;Open Source
;;;Programming
;;;         Algorithm
;;;         Coding
;;;         Correction
;;;         Flow chart
;;;         Maintaining
;;;         Planning
;;;         Problem solving
;;;         Programm
;;;Programming language
;;;                     Lexis
;;;                     Syntax
;;;                     Semantics
;;;         Pseudocode
;;;         Specification
;;;         Testing
;;Communication Environments;File transfer protocol (FTP)
;;;Infrared communications
;;;Internet service providers
;;;Local Area Network
;;;Video conferencing
;;; Wide Area Information Servers (WAIS)
;;;Wide Area Network
;Digital Products;E-book readers & other gadgets;
;;Working with cameras & video;
;;Working with mobile technology;
;;Games & gaming machines;
;;Internet based entertainment;
;;Latest digital products;
;Graphics and sounds;Communicating;
;;Character;
;;Diagrams;
;;Fantasy;
;;Graphics;
;;Sound;
;;Images;
;;Maps and plans;
;;Patterns;
;Impact of ICT;Advantages & disadvantages;
;;Future developments;
;;What if scenarios, ICT in action;
;;Impact of IT on communications;
;;Reliance on ICT & risk assessment;
;Media;Animation;
;;Audio;
;;Blu-Ray;
;;CD-ROM;
;;DVD-ROM;
;;E-mail;
;;;
;;Internet;Web development
;;;AJAX
;;;CSS
;;;HTML
;;;Java
;;;JavaScript
;;;jQuery
;;;PHP
;;;Web 2.0 tools
;;;Web technologies
;;;Social networking
;;Multimedia;Hypermedia
;;;Interactive material
;;;Media library
;;Podcast;
;;Printout;
;;Screen;
;;Screencast;
;;Video;
;;Website;
;Presentation;Digital presentations;
;;Newsletter, poster, flyer production;
;;Presentation of information & data;
;;Presentation software;
;Processing text & images;Contextualised use of text/image processing;
;;Desktop publishing software;
;;Word processing software;
;;Creating & editing images;
;;Using images & text;
;Public information systems;Informational website design;
;;Interactive digital display design;
;;Interpretation of data;
;;Structure of systems;
;Publishing on the web;Security, accuracy & plagiarism;
;;Terminology;
;;Understanding of audience;
;;Website design features;
;;Creating websites;
;;Understanding of terminology;
;;Uploading websites;
;Security;Access Control;
