Music;Музика
Bach;Бах
Vivaldi;Вивалди
Mozart;Моцарт
Salieri;Салиери
Handel;Хендел
Semiquaver;1/16 нота
Demisemiquaver;1/32  нота
Thirty-second note ;1/32 нота 
Hemidemisemiquaver ;1/64 нота
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I (музикален инструментален дигитален интерфейс)
Sequencer;Sequencer
Chord;Акорд
Acoustics;Акустика
Alto;Алт
Analysing music;Анализ на музика
English Horn;Английски рог
Ensemble;Ансамбъл
Arena;Арена
Aristoxenos;Аристоксен
Ars antique;Арс антиква
Ars Nova;Арс нова
Harp;Арфа
Auditorium;Аудитория
Ballet Music;Балетна музика
Banjo;Банджо
Baroque Period;Бароковия период
Basso;Бас
Bass Drum;Басов барабан
Mute;беззвучен
Hummel;Безрог
Beethoven;Бетовен
Bizet;Бизе
Boccherini;Бокерини
Borodin;Бородин
Bruckner;Брукнер
Byrd;Бърд
Wagner;Вагнер
French Horn;Валдхорна
Verdi;Верди
Byzantine era;Византийска епоха
Byzantine Hymnography;Византийска химнография
Viola;Виола
Cello;Виолончело
Loudspeaker;Високоговорител
Pitch;Височина
Pitch/melody;Височина/ мелодия
Vocal Music;Вокална музика
Time Signature;Времево значение
Tie ;Връзка
Playing instruments: sounds & techniques;Възпроизвеждане на инструменти: звуци и техники
Waveforms;Вълни
Waves;Вълни
WAV;Вълнови аудио файл
Bagpipes;Гайди
Voice;Глас
Gong;Гонг
Dominant 7th's;Господстващ седми
Gregorian chant;Грегориански песнопения
Grieg;Григ
Tambourine;Дайре
Double Accidental;Двойна случайна
Dvořák;Дворжак
Debussy;Дебюси
Jazz Music;Джаз
Digital Audio Recorder;Дигитален аудио магнетофон
Digital sound editing;Дигитална  звукова редакция
Treble ;Дискант
Dissonant and Consonant Chords;Дисонантни и консонантни акорди
C;До (нота)
Dolby surround;Долби съраунд
Donizetti;Доницети
Ancient / Roman era;Древна / римска епоха
Duo;Дуо
Winds;Духови
Elgar;Елгар
Electric guitar;Електрическа китара
Electric Bass;Електрически бас
Electronic Music;Електронна музика
Natural;Естествен
Ethnomusicology;Етномузикология
Sus2 and sus4 Chords;заменени акорди с перфектна четвърта нота или  втора мажорна нота
Music recording;Запис на музика
Recorded performance;Записано  изпълнение
Sound analysis;Звуков анализ
Sound oscillator / Envelope;Звуков осцилатор / обвивка
Sound spectrum;Звуков спектър
Sound recognition;Звуково разпознаване 
Bell;Звънец
Repeat Sign;Знак за повторение
Note values;Значение на нотата
Pitch ;Игрище
Sound retrieval;Извличане на звук 
Using the voice;Използване на глас
Performing/controlling sounds;Изпълнение / контрол на звуците
Live performance;Изпълнение на живо
Performing with others;Изпълнение с други
Expression Marks;Изразни знаци
Improvising;Импровизации
Instrument building / making;Инструмент за изграждане /съдаване
Instruments & performers;Инструменти и изпълнители
Intervals;Интервали
Internalising sounds;Интернализиране на звуци
Johann Christian Bach;Йохан Кристиан Бах
Callas;Калас
Kalomiris;Каломирис
Chamber Music Hall;Камерна зала
Chamber Music;Камерна музика
Chamber Music ;Камерна музика
Castanet;Кастанети
Quartet ;Квартет
Guitar;Китара
Harpsichord;Клавесин
Keyboards;Клавиатури
Clavichord;Клавикорд
Clarinet;Кларнет
Classical Music;Класическа музика
Classical Period;Класически период
Claudio Monteverdi;Клаудио Монтеверди
Clementi;Клементи
Clef ;Ключ
Key Signature;Ключова сигнатура
Composing, creating & developing;Композиране, създаване и развитие на
Computer Music;Компютърна музика
Context;Контекст
Double Bass;Контрабас
Contrapunto;Контрапункт
Contrabassoon;Контрафагот
Controlling sounds;Контролиране на звуци
Concerto;Концерт
Concert Hall;Концертна зала
Corelli;Корели
Cornet;Корнет
Korsakov;Корсаков
Late Romantic era;Край на епохата на романтизма
Circle of Fifths;Кръг на пети
Xenakis;Ксенакис
Glockenspiel;Ксилофон
Xylophone;Ксилофон
Couperin;Купрен
Koehler;Кьолер
La;Ла
A;Ла (нота)
Lassus;Ласус
Leontaritis;Леонтаридис
Linguistics;Лингвистика
Liszt;Лист
Lully;Лъли
Lute;Лютня
Recorder;Магнетофон
Madrigal;Мадригал
Major;Мажор
Major chord;Мажорен акорд
Major Scale;Мажорна скала
Major and Minor 7ths;Мажорни и минорни 7ми
Major Triads;Мажорни триади
Mahler;Малер
Snare Drum;Малък барабан (snare)
Mandolin;Мандолина
Maracas;Маракаш
Medicine, Psychology;Медицина, психология
Melodic Intervals;Мелодични интервали
Melody ;Мелодия
Mendelssohn;Менделсон
Metallophone;Металофон
Mi;Ми
E;Ми (нота)
Microphone;Микрофон
Minor;Минор 
Minor Scale;Минорна скала
Minor Triads;Минорни триади
Mitropoulos;Митропулос
Modernism;Модернизъм
Motet;Мотет
MP3;Мп3
20th c. Music (contemporary);Музика (съвременна) от 20в.
Music e-learning ;Музика за електронно обучение
Music and ICT;Музика и ИКТ
Music and ICT software;Музика и ИКТ софтуер
Music and ICT terms;Музика и ИКТ термини
Music and ICT hardware;Музика и ИКТ хардуер
Music and Mathematics;Музика и математика
Music and Media;Музика и медии
Music and Science;Музика и наука
Music and Physics;Музика и физика
Music of the present;Музика на настоящето
16th c. Music;Музика от 16в.
17th c. Music;Музика от 17в. 
18th c. Music;Музика от 18в.
19th c. Music;Музика от 19 в.
Music from Australasia;Музика от Австралия
Music from Asia;Музика от Азия
Music from Africa;Музика от Африка
Music from other places/cultures;Музика от други места / култури
Music from other traditions;Музика от други традиции
Music from Europe;Музика от Европа
Music of the past;Музика от миналото
Music from the Americas;Музика от Северна и Южна Америка
Music analysis ;Музикален анализ
Musical expression;Музикален израз
Music Software;Музикален софтуер
Music Videoconference Loop;Музикална видео конференция Луп
Music History;Музикална история
Conservatory of Music;Музикална консерватория
Music Psychology;Музикална психология
Music Stage;Музикална сцена
Music Therapy;Музикална терапия
Musical elements & devices;Музикални елементи и устройства
Music genres;Музикални жанрове
Musical instruments / Human voice;Музикални инструменти / човешки глас
Musical stimuli;Музикални стимули
Musical features;Музикални функции
Music Education;Музикално образование
Music School;Музикално училище
Music as a performance art;Музиката като изпълнителско изкуство
Musicology;Музикология
Mussorgsky;Мусоргски
Measure;Мярка
Streaming ;На живо
Tape recording;На записа на лента
Diminished and Augmented Triads;Намалени и усилени триади
Tuning;Настройване
Early Romantic era;Началото на епохата на романтизма
Non-musical stimuli;Не-музикални стимули
Sheet Music;Неподвързани ноти
Nocturne;Ноктюрно
Note;Нота
Notation Software;Нотационен софтуер
Notation ;Нотация
Notation / Music Theory / Harmony/Musical Morphology;Нотация/ Теория на музиката / Хармония /Музикална морфология
Oboe;Обой
Range of activities;Обхват на дейностите
General MIDI;Общи миди файлове
Invert Triads;Обърнати триади
Octave;Октава
Octet ;Октет
Online performance ;Онлайн представяне
Opera;Опера
Oratorio;Оратория
Organ;Орган
Arranging/accompaniments;Организиране / съпровод
Orchestration ;Оркестрация
Orchestra ;Оркестър
Eighth note  ;Осма нота
Quaver rest;Осмина пауза
General styles & traditions;Основни стилове и традиции
Whole rest;Останалата пауза
Sharp;Остър
Responding & reviewing;Отговор и преглед
Relative Minor & major ;Относителен мажор и минор
Appraising, responding & reviewing;Оценяване, отговаряне и преглед
Paganini;Паганини
Palestrina;Палестрина
Rest;Пауза
Thirty-second note rest;Пауза след 1/32 нота 
Eighth note rest;Пауза след осмата нота
Demisemiquaver rest;Пауза след тридесет секундна нота
Sixty-fourth note rest;Пауза след шестдесет и четвърта нота 
Singing, including diction, sounds & techniques;Пеене, включване на дикция, звуци и техники
Pentatonic Scale;Пентатонична скала
Staff;Персонал
Song;Песен
Track;Песен в компакт диск
Piano;Пиано
Pythagoras;Питагор
Flat;Плосък
Computer-enhanced Music;Подобрена музика на компютър
Polyphony;Полифония
Polka ;Полка
Minim note;Половин нота
Minim rest;Половин пауза
Pop – Rock Music;Поп - рок музика
Do;Правя
Practising;Практикуване
Prelude ;Прелюдия
Presto ;Престо
Recalling music: aural memory;Припомняне на музика: слухова памет
Progression ;Прогресия
Pronomos;Прономос
Space ;Пространство
Psychoacoustics;Психоакустика
Dotted Note ;Пунктирана нота
Dotted Rest;Пунктирана пауза
Puccini;Пучини
Purcell;Пърсел
Ravel;Равел
Wave nodes;Разклонение на вълните
Reicha;Райха
Rameau;Рамо
Rhapsody ;Рапсодия
Rachmaninoff;Рахманинов
Re;Ре
D;Ре (нота)
Music editing;Редактиране на музика
Score;Резултат
The Renaissance;Ренесансът
