Business Studies;Бизнес науки
B2B (Business to Business) Marketing;B2B (бизнес към бизнес) маркетинг
B2C (Business to Consumer) Marketing;B2C (бизнес към потребители) маркетинг
Market Analysis;Анализ на пазара
Negotiation and Auction Analysis;Анализ на преговори и търг
Financial Statement Analysis;Анализ на финансов отчет
Balance of Payments;Баланс на плащанията
Balance Sheets;Баланси
Banking;Банково дело
Business Ethics;Бизнес етика
Business Economics;Бизнес икономика
Business Studies;Бизнес науки
Business Law;Бизнес право
Business Software;Бизнес софтуер
Business Finance;Бизнес финанси
Branding strategies;Брандинг стратегии
Budgets;Бюджети
Exchange Rates;Валутни курсове
Inspiring Followership;Вдъхновяваща последователност
Decision Making Under Uncertainty;Вземане на решения при неопределеност
Vision and Mission;Визия и мисия
Power and Politics;Власт и политика
Public Relations;Връзки с обществеността
Globalisation;Глобализация
Global Economics;Глобална икономика
Data and Information Management;Данни и управление на информацията
Delegation;Делегация
Negotiation;Договаряне
Contracts;Договори
European Union;Европейски съюз
E-Business;Електронен бизнес
E-Commerce;Електронна търговия
Electronic Communication;Електронни комуникации
e-Government;Електронно правителство
Profit and Loss Accounts;За приходите и разходите
Data privacy;Защита на данни
Protecting Ideas;Защита на идеите
Performance Measurement;Измерване на изпълнението
Break-Even Analysis;Изравнителен анализ
Growing a business;Израстване на бизнеса
Sources of Funds;Източници на средства
Economies of Scale;Икономии от мащаба
Economics of Work and Leisure;Икономика на работата и свободното време
Economic Efficiency;Икономическа ефективност
ICT in business;ИКТ в бизнеса
Investment Decisions;Инвестиционни решения
Sense of Initiative and Entrepreneurship;Инициативност и предприемачество
Intellectual Property;Интелектуална собственост
Data Interpretation;Интерпретация на данните
Inflation;Инфлация
IT Infrastructures;ИТ инфраструктури
IT Strategy;ИТ стратегии
What Efficiency is;Какво ефективност
Distribution Channels;Канали за дистрибуция
Capital Markets;Капиталови пазари
Communications and Interpersonal Skills;Комуникации и междуличностни умения
Communication Strategies;Комуникационни стратегии
Competition Law;Конкурентно право
Contestability;Конкурентност
Competition;Конкуренция
Corporate Structures;Корпоративни структури
Corporate Finance;Корпоративни финанси
Creative Thinking;Креативно мислене
Circular Flow of Income and Multiplier Effect;Кръговото движение на доходите и мултиплициращ ефект
Leadership Styles;Лидерски стилове
Macroeconomic Policy;Макроикономическа политика
Marketing;Маркетинг
International Marketing;Международен маркетинг
International Trade;Международна търговия
International Accounting Standards;Международни счетоводни стандарти
International Finance;Международни финанси
Measures of Development;Мерки на развитие
Decision Science;Наука за решенията
National Economy;Националната икономика
Innovation;Нововъведение
Taxation;Облагане с данъци
Working Capital;Оборотен капитал
Services Marketing;Обслужващ маркетинг
Entrepreneurship Education;Обучение по предприемачество 
Organizational Culture;Организационна култура
Organizational Innovation;Организационни иновации
Organizational Behaviour and Leadership;Организационно поведение и лидерство
Organizational Evolution and Growth;Организационно Развитие и растеж
Organizational Learning;Организационното обучение
Teams and Groups;Отбори и групи
Market Failure;Пазарен неуспех
Monetary Policy;Парична политика
Cash Flow;Парични потоци
Benefits and Implications of International trade;Ползите и последиците на международната търговия
Supply Side Policy;Политика на предлагане
Consumer Behaviour;Потребителско поведение
Regulations;Правилник
Entrepreneurial Process;Предприемачески процес
Enterprise;Предприемачество
Corporates Restructuring;Преструктуриране на предприятие
Forecasting;Прогнозиране
Sales;Продажби
Product Strategies/Brands;Продуктови стратегии / Марки
Productive Efficiency;Производствената ефективност
Production;Производство
Protectionism;Протекционизъм
Professional Development;Професионално развитие
Development Economics;Развиваще се икономика
Business Size;Размер на бизнеса
Allocative Efficiency;Разпределителната ефективност
Conflict Resolution;Разрешаване на конфликти
Free Trade;Свободна търговия
Segmentation and Positioning;Сегментиране и позициониране 
Systems Analysis;Системен анализ
Mergers and Takeovers;Сливания и поглъщания
Mergers and acquisitions;Сливания и придобивания
Social Networks;Социални мрежи
Social Entrepreneurship;Социално предприемачество
Stability and Policy Effectiveness;Стабилност и ефективност на политиките
Statistical Methods;Статистически методи
Strategic Marketing;Стратегически маркетинг
Strategy and Corporate Social Responsibility;Стратегия и корпоративната социална отговорност
Market Structure;Структура на пазара
Accounting and Financial Ratios;Счетоводни и Финансови показатели
Accounting;Счетоводство
Bookkeeping;Счетоводство
Aggregate Demand and Aggregate Supply;Съвкупното търсене и съвкупното предлагане
Collaboration;Сътрудничество
Behavioural Decision Theory;Теория на поведенческите решение 
Transport Economics;Транспортна икономика
Coaching;Тренинг
Employment Law and Legislation;Трудово право и законодателство
Trading regulations;Търговски разпоредби
Retailing Strategies;Търговски стратегии
Commercial and Investment Banking;Търговско и инвестиционно банкиране
Negotiation Skills;Умения за водене на преговори
Self-motivation Skills;Умения за самостоятелна мотивация 
Business Management;Управление на бизнеса
Customer Relationship Management;Управление на взаимоотношенията с клиенти
Knowledge Management;Управление на знанието
Economic Management;Управление на икономиката
Marketing Management;Управление на маркетинга
Operations Management;Управление на операциите
Project Management;Управление на проекти
Change Management;Управление на промяната
Cost Management;Управление на разходите
Resource Management;Управление на ресурсите
Risk Management;Управление на риска
Value-Based Management;Управление на стойностите
Human Resource Management;Управление на човешките ресурси
Financial Markets and Institutions;Финансовите пазари и институции
Financial Accounting;Финансово счетоводство
Fiscal Policy;Фискална политика
Price Strategies;Ценови стратегии
Private Equity and Venture Capital;Частен капитал и рисков капитал

