Mathematics;Математика
Algebraic Manipulation;Алгебрична манипулация
Function attribute;Атрибут на функция
Case count;Брой на случаите
Polyhedron movement;Движение на многостен
Polyhedron deformation;Деформация на многостен
Variability measure;Мярка за променливостта
Fibonacci Sequence;Последователност на Фибоначи
Laplace rule;Правило на Лаплас
Pigeonhole Principle;Принцип на класификация
Polyhedron unfold;Развиване на многостен
Polyhedron decomposition;Разлагане на многостен
Polyhedron truncating;Съкращаване на многостен
Polyhedron composition;Състав на многостен
TwoD coordinates;2D координати
ThreeD coordinates;3D координати
ThreeD Object;3D обект
ThreeD Object;3D обекти
Box plot;Box диаграма
CAS;CAS
y-coordinate of point;Y-координата на точка
Absolute frequency;Абсолютна честота
Discrete random variable;Абстрактна случайна променлива
Algebra;Алгебра
Algebra and Number Theory;Алгебра и теория на числата
Algebraic expression;Алгебричен израз
Algebraic calculation;Алгебрични изчисления
Algebraic calculation;Алгебрично изчисляване
Algorithms;Алгоритми
Ampliation;Амплитуда/усилване
Data analysis;Анализ на данни
Signal Analysis;Анализ на сигнала
Arithmetic;Аритметика
Arithmetic Sequence;Аритметична последователност
Archimedean solid;Архимедово твърдо тяло
Skewness;Асиметрия
Affine function;Афинна/усъвършенствана функция
Cardinal number;Бройно числително
Concave Function;Вдлъбната Функция
Gradient Vector;Векторен градиент
Probability;Вероятност
Probability density;Вероятностна плътност
Incircle;Вписан
Dependency relation;Връзка на зависимост 
Rotation;Въртене
Revolution Solid;Въртене на твърдо тяло
RevolutionSolid;Въртене на твърдо тяло
Inner product spaces;Вътрешни пространства на фигурата/продукта
Geometric Sequence;Геометрична последователност
Geometric Proof – Solid Geometry;Геометрични доказателства - точна геометрия
Global Analysis;Глобален анализ
Upper bound;Горна граница
Gradient;Градиен/ наклон
Graphing Calculator;Графичен калкулатор
Graph Theory;Графична теория
Graphing Techniques;Графични техники
Graphical display of data;Графично представяне на данни
Graphical representation of function;Графично представяне на функцията
Error in a plot;Грешка в диаграмата
Data;Данни
Movement;Движение
Double entry table;Двойно въведена таблица
Deductive method;Дедуктивен метод
Cartesian coordinates;Декартови координати
Dividend;Делимо/дивидент
Divisibility;Делимост
Derivative;Дериват
Decimal number;Десетично число
Diagram;Диаграма
Cumulative frequency diagram;Диаграма на кумулативната честота 
Plots;Диаграми
Venn Diagrams;Диаграмите на Вен
Dynamic interactive geometry environments;Динамични интерактивни геометрични среди 
Disc;Диск
Dodecahedron;Додекаедър/дванадесетостенник
Proof;Доказателство
Proof by contradiction;Доказателство от противоречие
Lower bound;Долна граница 
Domain and range;Домейн и обхват
Tree diagram;Дървовидна диаграма
Experiments;Експерименти
Exponential function;Експоненциална функция
Ellipse;Елипса
Natural number;Естествено число
Graduated ruler;Завършена линия
Construction of a plot;Изграждане/ Конструкция на диаграма
Convex Function;Изпъкнала функция
Convexity;Изпъкналост
Expression;Изразяване
Icosahedron;Икосаедър
Inductive method;Индуктивен метод
Engineering Mathematics;Инженерна математика
Tool;Инструмент
Integral Transforms;Интегрални трансформации
Integral Transforms;Интегрирационни трансформации
Interpolation;Интерполация
Irrational Number;Ирационално число
Calculator;Калкулатор
Cardinality;Кардиналност
Quadratic function;Квадратна функция
Quadratic Inequality;Квадратно неравенство
Quadratic Equation;Квадратно уравнение
Square Number;Квадратно число
Quotient;Коефициент
Combinatorics;Комбинаторика
Combinations;Комбинации
Compass;Компас
Complex event;Комплекс събитие
Complex Analysis;Комплексен анализ
Complex event;Комплексно събитие
