Social Studies;Социални науки
Autochthony;Автохтония
Authenticity;Автентичност
Agressiveness;Аграсивност
Administrative Sciences;Административни науки
Activism;Активизъм
Altruism;Алтруизъм
Anthropology;Антропология
Army;Армия
Archaeology;Археология
Assimilation;Асимилация
Melting pot;Асимилация
Association;Асоциация
Gangs;Банди
Unemployment;Безработица
Scar;Белег
Bio-power;Био мощност
Biodiversity;Биологично разнообразие
Biomedicine;Биомедицина
Nobility;Благородство
Beneficence;Благотворителност
Sickness;Болест
Desease;Болести
Hospital;Болница
Struggle;Борба
Marriage;Брак
Bourgeoisie;Буржоазия
Future;Бъдеще
Fast-food;Бързо хранене
Decision-making;Вземане на решения
Video-recording;Видео запис
Visual research;Визуални изследвания
Possession;Владение
War;Война
Acculturation;Възприемане на чужда култура
Reproduction;Възпроизвеждане
Age;Възраст
Adultness;Възрастова зрялост
Questionnaire;Въпросник
Georeference;Георефериран
Hero;Герой
Globalization;Глобализация
Global Warming;Глобалното затопляне
City;Град
Urban space;Градско пространство
Literacy;Грамотност
Group;Група
Movement;Движение
Activist;Деец
Action;Действие
Decolonization;Деколонизация
Democracy;Демокрация
Determinism;Детерминизъм
Wild (-ness);Дива (дивата природа)
Discrimination;Дискриминация
Diffusionism;Дифусионизъм
Confidence;Доверие
Trust;Доверие
Dogma;Догма
Doctrine;Доктрина
Soul;Душа
Welfare state;Държава на благоденствието
Evolution;Еволюция
Ego;Его
Egoism;Егоизъм
Exogamy;Екзогамия
Elite;Елит
Emancipation;Еманципация
Emigration;Емиграция
Emotion;Емоция
Endogamy;Ендогамия
Energy;Енергия
Ethnography;Етнография
Ethnolinguistic;Етнолингвистичен
Ethnology;Етнология
Ethnomedicine;Етномедицина
Ethnometodology;Етнометодология
Ethnoscience;Етнонаука
Ethnodiversity;Етноразнообразие
Ethnicity;Етнос
Ethnocentrism;Етноцентризъм
Female;Жена
Woman;Жена
Life;Живот
Animality;Животинско
Animal;Животно
Illness;Заболяване
Loan;Заем
Law;Закон
Legislation;Законодателство
Pollution;Замърсяване
Craft;Занаят
Artisanship;Занаятчийство
Craftsman;Занаятчия
Initiation;Започване
Affect;Засяга
Prison;Затвор
Health;Здраве
Agriculture;Земеделие
Identity;Идентичност
Choice;Избор
Degeneration;Израждане
Devolution;Израждане
Survey;Изследване
Healing;Изцеление
Economics;Икономика
Economy;Икономика
Economy ;Икономика
Name;Име
Immigration;Имиграция
Individual;Индивидуален
Individualism;Индивидуализъм
Industry;Индустрия
Inculturation;Инкултурация
Instinct;Инстинкт
Institution;Институция
Integrationism;Интеграционизъм
Integration;Интеграция
Interview;Интервю
Interest;Интерес
Internet;Интернет
Castration;Кастрация
Causalism;Каузализъм
Qualitative research;Качествени изследвания
Class;Клас
Quantitative research;Количествено изследване
Colonialism;Колониализъм
Comparatism;Компаратизъм
Commuting;Комутиране
Counterculture;Контракултурата
Conflict;Конфликт
Corporatism;Корпоративизъм
Corporation;Корпорация
Crisis;Криза
Incest;Кръвосмешение
Xenophobia;Ксенофобия
Culture;Култура
Culture and Cultural Theory ;Култура и културна теория
Cultural Model;Културен модел
Cultural Theory;Културна теория
Nursing;Кърмене
Levirate;Левират
Doctor;Лекар
Cure;Лечение
Liberism;Либеризъм
Libertarianism;Либертарианство
Linguistics;Лингвистика
Hunting;Лов
Logo;Лого
Luxury;Лукс
Magic;Магия
Witchcraft;Магьосничество
Craftsmanship;Майсторска изработка
Marginalization;Маргинализация
Marginality;Маргиналност
Brand;Марка
Marxism;Марксизъм
Mass;Маса
Mass-communication;Масово общуване
Material base;Материална база
Medicine, health and sickness ;Медицина, здраве и болест
Local Administration;Местна администрация
Method;Метод
Method and Methodology;Метод и методология
Methodology;Методология
Mechanisation;Механизация
Migration;Миграция
Militia;Милиция
Myth;Мит
Mythology;Митология
Youth;Младеж
Opinion;Мнение
Mobbing;Мобинг/ събиране на тълпа
Fashion;Мода
Modernization;Модернизация
Modernism;Модернизъм
Monarchy;Монархия
Monogamy;Моногамия
Power;Мощност
Multiculturalism;Мултикултурализъм
Man;Мъж/човек
Observation;Наблюдение
Participant Observation;Наблюдение на участник 
Habit;Навик
Stock;Наличност
Folk culture;Народна култура
Violence;Насилие
Heritage;Наследство
Heritage (Natural and Cultural);Наследство (културно и природно)
Naturalism;Натурализъм
Nationalism;Национализъм
Nation;Нация
Handicap;Недъг
Charisma;Непреодолим чар
Educational Sciences;Образователни науки
Public opinion;Общественото мнение
Society;Общество
Society and its features;Обществото и неговите функции
Community;Общност
Environment ;Околна среда
Countryside;Околност
Organ;Орган
Organization;Организация
Mutilation;Осакатяване
Basis;Основа
Founder;Основател
Male;От мъжки пол
Relativism;Относителност
Alienation;Отчуждение
Money;Пари
Patronage;Патронаж
Landscape;Пейзаж
Planning;Планиране
Tribe;Племе
Tribalism;Племенно
Fertility;Плодородие
Behaviour;Поведение
Behavioural sciences;Поведенчески науки
Gift;Подарък
Mobility;Подвижност
Approach;Подход
Generation;Поколение
Polygamy;Полигамия
Policy;Политика ( линия на поведение )
Politics;Политика (политически убеждения)
Political life and organization ;Политически живот и организация
Police;Полиция
Assistance;Помощ
Popular;Популярен
Pornography;Порнография
Post-modernism;Постмодернизъм
Consumption;Потребление
Ancestor worship;Почитането на предците
Government;Правителство
Legal Sciences;Правни науки
Jurisprudence;Право
Pragmatism;Прагматизъм
Discipline;Предмет
Entrepreneur;Предприемач
Prejudice;Предразсъдък
Prestige;Престиж
Crime;Престъпление
Criminality ;Престъпност
Applied Social Sciences;Приложни социални науки
Primitive;Примитивен
Nature;Природа
Nature and environment;Природа и околна среда
Environmentalism;Природо защитници
Proxemics;Проксемикс
Proletariat;Пролетариат
Propaganda;Пропаганда
Prostitution;Проституция
Trade Union;Професионален съюз
Psyche;Психика
Psychology;Психология
Worker;Работник
Birth;Раждане
Divorce;Развод
Differentiation;Разграничаване
