ICT;ИКТ
Pseudocode; Псевдокод
Algorithm; Алгоритъм
High level programming languages; Езици от високо ниво на програмиране
Coding; Кодиране
Correction; Корекция
Customer service; Обслужване на клиенти
Operating system; Операционна система
Planning; Планиране
Maintaining; Поддържане
Flow chart; Поток на диаграма
Programm; Програма
Problem solving; Разрешаване на проблеми
Specification; Спецификация
Testing; Тестване
Lexis; Лексика
Semantics; Семантика
Syntax; Синтаксис
What if scenarios, ICT in action;"Какво, ако" сценарии, ИКТ в действие
AJAX;AJAX
Bool algebra and logical sets;Bool алгебра и логически комплекти
Bibliography;Bиблиография
CSS;CSS
E-mail;Eлектронна поща
HTML;HTML
Java;Java
JavaScript;JavaScript
jQuery;Jquery
MIDI hardware;MIDI хардуер
PHP;PHP
Web 2.0 tools;Web 2.0 инструменти
Automating events;Автоматизиране на събития
Automation;Автоматика
Copyright;Авторско право
Security Administrator;Администратор на сигурността
Animation;Анимация
Anti-Virus Program;Антивирусна програма
Archive;Архив
Datalogging;Архивиране
Assembler;Асемблатор
DVD-ROM;Аудио-видео диск
Database terminology & definitions;Бази данни терминология и определения
Safe searching;Безопасно търсене
Library;Библиотека
Biotechnology;Биотехнология
Blu-Ray;Блу рей
Combating ICT & IT crime;Борба ИКТ и ИТ престъпност
Number bases;Брой бази
Future developments;Бъдещо развитие
Relationships & rules;Взаимоотношения и правила
Video;Видео
Video recorders;Видео записващи устройства
Video & audio;Видео и аудио
Video conferencing;Видео конферентна връзка
Virtual reality;Виртуална реалност
Virus;Вирус
Impact of IT on communications;Влияние на новите технологии върху съобщенията
Web 2.0;Второ поколение на Уеб-базирани услуги
Input;Вход
Input & output devices;Входни и изходни устройства
Entering data;Въвеждане на данни
Impact of ICT;Въздействието на ИКТ
Graphics;Графика
Graphics and sounds;Графика и звук
Databases;Данни
Databases management;Данни на управление
Awareness-raising activities;Дейности за повишаване на информираността
Diagrams;Диалграми
Digital citizens;Дигитални граждани/ потребители
Digital presentations;Дигитални презентации
Digital Products;Дигитални продукти
Digital scanners;Дигитални скенери
Digital literacy;Дигителна грамотност
Design;Дизайн
Informational website design;Дизайн информационен сайт
Interactive digital display design;Дизайн на интерактивен дигитален дисплей 
Reliance on ICT & risk assessment;Доверие на ИКТ и оценка на риска
Documentiation;Документиране
Internet service providers;Доставчиците на интернет услуги
Disk drive/hard disk;Драйвер за диск / твърд диск
Everyday use;Ежедневна употреба
Language;Език
Programming language;Език за програмиране
Machine language;Език на машината
Low level languages;Езици на ниско ниво
Screen;Екран
Screencast;Екранно излъчване
Electronic journal;Електронен вестник
Electronic day books;Електронни дневни книги
Present work effectively;Ефективност на настоящата работа
Asking questions & querying data;Задаването на въпроси и заявки на данни
Health & safety legislation;Законодателство относно здравеопазването и безопасността
Record information/data using ICT;Записва информация / данни чрез използване на ИКТ
Data capture;Записване на данни
Data protection act;Защита на данните 
Audio;Звук
Sound;Звук
Sounds;Звуци
Malware;Зловреден софтуер
Malicious code;Зловредният код
Games & gaming machines;Игри и игрални автомати
Identification theft;Идентификация на кражба
Select from and add to information for particular purposes;Избиране от и добавете към информацията за специални цели
Select and use ICT tools and techniques appropriately, safely and efficiently;Избор и използване на ИКТ инструменти и техники подходящо, безопасно и ефективно
Retrieving information that has been stored;Извличане на информация, която е била съхранявана
Research a problem using ICT;Издирва проблеми с помощта на ИКТ
Artificial intelligence;Изкуствен интелект
Images;Изображения
Use text, tables, images and sound to develop ideas;Използва текст, таблици, изображения и звук за разработване на идеи
Use & misuse of data;Използвайте и злоупотреба с данни
Use of queries, forms, reports, macros;Използване на заявки, формуляри, отчети, макроси
Using ICT;Използване на ИКТ
Using IT safely;Използване на ИТ безопасно
Using applications;Използване на приложения
Using images & text;Използването на снимки и текст
Information source;Източник на информация
ICT & me;ИКТ & аз
ICT in society;ИКТ в обществото
ICT tools;ИКТ инструменти
ICT tools – generally;ИКТ инструменти - като цяло
ICT tools: database;ИКТ инструменти: база данни
ICT tools: spreadsheet;ИКТ инструменти: електронна таблица
ICT tools: desktop publishing (DTP);ИКТ инструменти: изображение на работния плот 
ICT tools: presentation software;ИКТ инструменти: презентационен софтуер
ICT tools: adventure games/simulations;ИКТ инструменти: приключенски игри / симулации
ICT tools: vector graphics program;ИКТ инструменти: програма за векторна графика 
ICT tools: datalogging software;ИКТ инструменти: софтуер за въвеждане на данни
ICT tools: music & sound software;ИКТ инструменти: софтуер за музика и звук
ICT tools: multimedia authoring software;ИКТ инструменти: софтуер за мултимедия
ICT tools: bitmap graphics software;ИКТ инструменти: софтуер за растерна графика
ICT tools: control software;ИКТ инструменти: софтуер за управление на
ICT tools: word processor;ИКТ инструменти: текстообработваща програма
ICT tools: web browser;ИКТ инструменти: уеб браузър
ICT tools: web authoring software;ИКТ инструменти: уеб софтуер
