Foreign Language Learning;Изучаването на чужди езици
Activating / Generating Knowledge;Активиране / генериране на знания
Listening Actively;Активно слушане
Word Analysis;Анализ на дума
Sentence Analysis;Анализ на изречение
Doodling;водене на бележки
Note Taking;Водене на бележки
Speaking;Говорене
Speaking / Speech;Говпрене/ Реч
Grammar ;Граматика
Evaluating / Criticizing Speech / Production;даване на оценка/ критикуваща реч/ Представяне
During Writing Activities;Дейности по време на писане
During Reading Activities;Дейности по време на четене
Pre-Writing Activities;Дейности преди писане
Pre-Reading Activities;Дейности преди четене
During Listening activities;Дейности след говорене
Post-Writing Activities;Дейности след писане
Post-Reading Activities;Дейности след четене
Descriptive Analysis;Дескриптивен анализ
Discussion;Дискусия
Reading Discussion;Дискусия за четене
Dramatic Reading / Reader’s Theater;Драматично четене / Театрално четене
Language Errors;Езикови грешки
Identifying Purpose / Audience;Идентифициране на целта/ 
Choosing Form / Genre;Избор не Форма / Жанр
Researching;Изследване
Sentence Composing;Композиция на изречение
Conferencing;Конферентна връзка
Quizzing / Testing;Кратък изпит / Тестване
Critical Analysis / Reflection;Критичен анализ / Размисъл/Коментар
Literature Circles / Book Clubs;Литература клуб / Клуб на книгата/ Читателски клуб
Literature Reading;Литературно четене
Mechanics;Механика
Brainstorming/Listing;Мозъчна атака / Листване
Multimodal / Multimedia Interaction;мултимодално/мултимедийно взаимодействие
Directed / Guided Reading;Насочване/ Водене на четене
Writing Nonfiction;Научно писане
Nonfiction Reading;Научно четене
Independent Reading;Независимо четене
Summarizing;Обобщение
Organizing Ideas for Writing Activities;Организационни идеи за писмени дейности
Making Predictions;Осъществяване на прогнози
Listening Passively;Пасивно слушане
Writing;писане
Writing Other Forms of Text;Писане на други текстови форми
Drafting;Планиране
Post-Speaking activities;По време на слушане дейности
Higher-order Webbing / Clustering;по-висок ред на развитие на мрежата от идеи/групиране
Sequencing / Outlining / Storyboarding;Последователност / Структуриране на опорни точки /разгръщане на историята/ 
Spelling;Правопис
Translation;Предод
Performing;Представяне
Performance / Production;Представяне/ Продукция
Rereading;Препрочитане
Reconstituting / Reconsidering Text;Преработване / Преразглеждане на текст
Revising;Преразглеждане
Sustained Silent Reading;Продължително четене на ум
Code Switching;промяна на определени правила
Publishing;Публикуване
Editing;Редакция
Vocabulary;Речник
Vocabulary Analysis;Речников анализ
Vocabulary Awareness;Речникова осведоменост
Vocabulary Use;Речниково използване
Consulting Resources;Рресурси за онсултации
Freewriting / Guided Freewriting;Свободно писане / Насоки в свободното писане /
Semantic Analysis;Семантичен анализ
Completing Scales;Скала за засвършване
Listening;Слушане
Sharing;Споделяне
Sharing / Collaborating;Споделяне / Работа в екип
Style / Error Analysis;Стил / Анализ на грешките
Webbing / Clustering / Semantic Mapping;създаване на мрежа от идеи/ Групиране/ Семантично планиране
Creating Text-Related Artifacts;Създаване на текст - Свързани артефакти
Usage;Употреба
Writing Fiction;Художествено писане
Whole Class Literature Study;Цял клас изучаващ литература
Reading;Четене
Reading Other Forms of Text;Четене на други форми на текст

