Special Educational Needs;Специални образователни потребности
Дефицит на вниманието / и хиперактивност (ADD / ADHD);Attention deficit / and hyperactivity disorder (ADD / ADHD) 
Нарушения от аутистичния спектър (ASD) и синдром на Аспергер;Autism spectrum disorders (ASD) and Asperger Syndrome
Поведенчески, емоционални и социални трудности (BESD);Behavioral, emotional and social difficulties (BESD) 
Когнитивно увреждане: Умерени обучителни трудности (MLD) ;Cognitive impairment: Moderate learning difficulties (MLD) 
Когнитивни увреждания: Тежки затруднения в ученето (SLD);Cognitive impairment: Severe learning difficulties (SLD) 
Синдром на Даун;Down's Syndrome 
Талантливи и надарени;Gifted and talented 
Увреждане на слуха;Hearing impairment 
Психични проблеми;Mental health issues 
Физически увреждания;Physical impairments 
Дълбоки и множество обучителни затруднения (PMLD);Profound and multiple learning difficulties (PMLD) 
Разстройство на сетивната интеграция;Sensory integration disorder 
Специфични обучителни трудности;Specific learning difficulties
Речеви и екикови трудности в общуването;Speech and language communication difficulties 
Синдром на Турет;Tourette's Syndrome 
Зрителни увреждания;Visual impairment 
Благоденствие / емоционалната грамотност;Well Being / Emotional Literacy
Anxiety ;Безпокойство
Attention ;Внимание
Depression ;Депресия
Dysgraphia ;Дисграфия
Dyscalculia ;Дискалкулия
Dyslexia ;Дислексия
Dyspraxia ;Диспраксия
Access ;Достъп
Expressive language ;Експресивният език
Articulation ;Изговаряне
Impulsivity ;Импулсивност
Information ;Информация
Information ;Информиране
Awareness & management of self ;Информиране и самоуправление
Awareness & management of others ;Информиране и управление на другите
Communication modes ;Комуникационни режими
Motivation ;Мотивиране
Rewards & sanctions ;Награди и санкции
Obsessive compulsive disorder [OCD] ;Обсесивно-компулсивно разстройство [OCD]
Communication ;Общуване
Environment ;Околна среда
Organisation ;Организация
Classroom organization ;Организация в класната стая
Behavior ;Поведение
Projects ;Проекти
Visual processing disorder ;Разстройство на визуалната обработка
Auditory processing disorder ;Разстройство на звуковата обработка 
Curriculum extension ;Разширен учебен план
Receptive language ;Рецептивният език
Self-harming ;Самонараняване
Self-esteem ;Самоуважение
Selective mutism ;Селективна мутация
Sensory ;Сетивени
Sensory ;Сетивност
Social skills ;Социални умения
Therapy ;Терапия
Tics ;Тикове
Anger management ;Управление на гнева
Behavior management ;Управление на поведението
Curriculum ;Учебен план
Curriculum P1 - P3 ;Учебен план P1 - P3
Curriculum P4 - P7 ;Учебен план P4 - P7
Curriculum P8 - L2 ;Учебен план P8 - L2
Physical ;Физически
Hyperactivity ;Хиперактивност
Eating disorders ;Хранителни разстройства
Bullying ;Хулиганство

