Science;Wissenschaft
Ova; Ovium/Ovar 
GIS;(Geographic Information System?) Geographisches Informationssystem
DNA;(same)
Waste management ;Abfallwirtschaft
Separation - other;Abscheidung, Abtrennung
Accelerators & beams ;Accelerator und Beamer
Blood vessels;Adern
Africa;Afrika
Accelerators;Akzelerator, Beschleuniger
Accelerometers;Akzelerometer
Aliphatic Compounds;Aliphatische Verbindungen
Alkali metals;Alkali Metalle
Universal law of gravitation;allgemeines Gravitationsgesetz
Everyday materials;Alltagsmaterial
Alpha radiation;Alpha-Strahlung
Ampere's law;Ampere's Gesetz
Amphibian;Amphibien
Analysis Tools;Analyse Geräte
Analytical Chemistry;Analytische Chemie
Anatomy;Anatomie
Other types of bonding;Andere Arten von Bindungen
Other influences on ecosystems;andere Einflüsse auf Ökosysteme
Other geomorphological processes;andere geomorphologische Prozesse
Supply of resources;Angebot von/an Ressourcen
Inorganic chemistry ;Anorganische Chemie
Antarctica;Antarktis
Antimatter ;Antimaterie
Arachnid;Arachniden (general class, Latin source), Spinnentiere (general class in "true" German) Spinnen/Spinne (Animal Pl./Sgl)
Work and power;Arbeit und Kraft
Aromatic Compounds;aromatische Verbindungen
Types of economic activity;Arten von ökonomischer Aktivität
Asia;Asien
Asteroids;Asteroiden
Asteroid belt;Asteroidengürtel
Astrobiology;Astrobiologie
Astronauts;Astronauten
Astrometry;Astronmetrie
Astronomy;Astronomie
Atlases;Atlanten (singular is Atlas)
Atmospheres;Atmosphäre
Atmospheric Pressure;Atmospherischer Druck
atmospheric phenomenon ;atmospherisches Phänomen
Atomic Absorption Spectroscopy;Atomabsorbitonsspektroskopie
Atoms – generally;Atome
Nuclear power plant ;Atomkraftwerk
Nuclear fission;Atomspaltung
Atomic structure;Atomstruktur
Breeding;Aufzucht
Deposition;Ausfällung?
Extinction;Ausrottung/Auslöschung
Fieldwork equipment;Ausrüstung für die Feldarbeit
Effects of resource use;Auswirkungen des Ressourcenverbrauchs
Pancreas;Bauchspeicheldrüse
Tree;Baum
Fertilisation;Befruchtung
Mountain;Berg
Mountain ;Berg
Mining ;Bergbau
Acceleration;Beschleunigung
Charged particle acceleration ;Beschleunigung geladener Teilchen
Beta radiation;Betastrahlung
Industrial devices;Betriebsentscheidungen
Plant nutrition and growth;Bewässerung und Wachstum
Formation;Bildung (von)
Education for sustainable development ;Bildung für nachhaltige Entwicklung
Bonding – generally;Bindung
Biology;Biologie
Organic Agriculture;biologischer Landbau
Biomes;Biom
Biomass;Biomasse
Biosphere;Biosphäre
Biotechnology;Biotechnologie
Biotope;Biotop
Leaf;Blatt
Flowering plants/parts of plants;Blühende Pflanzen/Pflanzenteile
Flower;Blume
Blood;Blut
Botany;Botanik
Botany ;Botanik
Brown dwarfs;Braune Zwerge
Refraction;Brechung, Brechkraft, Refraktion
Refraction index;Brechungsindex
Wave characteristics - generally;Charakteristik von Wellen generell
Chemistry;Chemie
Chemical Kinetics;chemische Kinetik
Chemical Reactions;Chemische Reaktionen
Chemical Thermodynamics;chemische Thermodynamik
Chemical changes;Chemische Veränderung
Chromatography;Chromatographie
Chromosomes;Chromosomen
Coulomb law;Coloumb'sches Gesetz
Darwin;Darwin
Cape;das Kap (I expect you mean something like Cape Town and not the piec of cloth)
The ear;Das Ohr
Distillation;Destillation
Detectors;Detektor
Detectors: CCD camera;Detektor: CCD Camera
Density;Dichte
Density waves;Dichtewellen
Plain ;die Ebene 
Invertebrate;die Wirbellosen (just class; no singular)
Diffraction;Diffraktion, Beugung, Brechung
Dinosaur;Dinosaurier
Displacement reactions;Disproportionierungsreaktion
Binary stars;Doppelsterne
Doppler effect;Doppler Effekt
Pressure;Druck
Dark energy;Dunkle Energie
Dark matter;Dunkle Materie
Dark matter ;dunkle Materie
Dynamic Shape;Dynamische Gestalt/Form/Bau
Dynamometers;Dynamometer
Properties of light - generally;Eigenschaften von Licht allgemein
Properties of sound - generally;Eigenschaften von Schall, Ton, Klang allgemein
Obtaining and using materials;Einholung und Nutzung von Materialien
Einstein ring;Einsteinring
Elastic collision;elastischer Stoß
Electromagnetism - generally;Eleektromagnetismus
Electrical quantities - generally;Elekrtische Mengen
Electrical energy ;elektrische Energie
Electric force;elektrische Kraft
Electric charge - generally;Elektrische Ladung- allgemein
Electric current;Elektrischer Strom
Electrical resistance/conductivity;Elektrischer Wiederstand
Electric field;Elektrisches Feld
Electrical heating and costs;elektrisches Heizen und Kosten
Electricity ;Elektrizität
Electricity and magnetism;Elektrizität und Magnetismus
Electrochemistry;Elektrochemie
Electricity generation/National Grid;Elektrogenerator
Electrolysis;Elektrolyse
Electromagnetic field;Elektromagnetisches Feld
Electric motors;Elektromotor
Electrons – generally;Elektronen
Electrostatic forces;Elektrostatische Kräfte
Electrostatic phenomena and uses;Elektrostatische Phänomene und Nutzen
Electromagnetic spectrum;Elelktromagnetisches Spektrum/Bandbreite
Elements;Elemente
Elliptical galaxy;elliptische Galaxy
Energy;Energie
Energy ;Energie
Energy and ecosystems;Energie & Ökosystem/e (sgl./pl.)
Energy - using electricity;Energie- Elektrizität nutzen
Energy production and energy resources research;Energieproduktion- und Energieresourcenforschung
Energy resources;Energieressourcen
Energy transfer and storage;Energietransfer und Speicherung
Explorer;Entdecker
exploration of the earth ;Entdeckung der Erde
Entropy;Entropie
Development & quality of life;Entwicklung und Lebensqualität
Differences in development between countries;Entwicklungsunterschiede zwischen Ländern
Differences in development within countries;Entwicklungsunterschiedeinnerhalb von Ländern
Enzymes;Enzyme
Epithelial;Epithel (Nomen)
Earthquakes;Erdbeben
Earth;Erde
Soil influences on ecosystems;Erdeinflüsse auf Ökosysteme
Nebula;erdnahe Objekte
Conservation of mass;Erhaltung der Masse
Conservation and dissipation;Erhaltung und Verlus
Nutrition and digestion - generally;Ernährung
Renewable energy;Erneuerbare Energie
Renewable energy ;erneuerbare Energie
Erosion;Erosion, Abtragung
First scientific revolution;Erste wissenschaftliche Revolution
Sound;Ertönen
European countries outside the European Union;europäische Länder ausserhalb der europäischen Union
European Union;europäische Union
Evolution - generally;Evlolution (generell)
Exo/endothermic;Exo/endothermisch
Extraction of metal from ore;Extraktion von Metall aus Erz
Extrasolar planets;extrasolare Planeten
Extraterrestrial life;Extraterrestrisches Leben
