Music;Musik
Mozart; Mozart
Salieri; Salieri
A;A
La;a
Eighth note  ;Achtelnote
Quaver;Achtelnote
Eighth note rest;Achtelpause
Quaver rest;Achtelpause
Music from Africa;Afrikanische Musik
Acoustics;Akustik
General styles & traditions;Allgemeine Stilrichtungen und Traditionen
Alto;Alt
Music from the Americas;Amerikanische Musik
Ancient / Roman era;Antike
Arena;Arena
Aristoxenos;Aristoxenos
Arranging/accompaniments;Arrangement/Begleitung
Ars antique;Ars antiqua
Ars Nova;Ars Nova
Music from Asia;Asiatische Musik
Structure: form;Aufbau: Form
Natural;Auflösungszeichen
Recorded performance;Aufnahme
B;B
Flat;b
Bach;Bach
Ballet Music;Ballettmusik
Banjo;Banjo
Baroque Period;Barock
Basso;Bass
Cymbal;Becken
Controlling sounds;Beeinflussung von Klängen
Beethoven;Beethoven
Range of activities;Betätigungsumfang
Responding & reviewing;Bezug & Bewertung
Bizet;Bizet
Winds;Blasinstrumente
Recorder;Blockflöte
Boccherini;Boccherini
Borodin;Borodin
Bruckner;Bruckner
Byrd;Byrd
Byzantine Hymnography;Byzantinische Hymnographie
Byzantine era;Byzantinische Zeit
C;C
Do;c
Callas;Callas
Cello;Cello
Harpsichord;Cembalo
Musical features;Charakteristika von Musik
Choir;Chor
Chromatic Scale;Chromatische Tonleiter
Claudio Monteverdi;Claudio Monteverdi
Clementi;Clementi
Computer Music;Computermusik
Computer-enhanced Music;Computer-Nachbearbeitung von Musik
Corelli;Corelli
Couperin;Couperin
D;D
Re;d
Mute;Dämpfer
Debussy;Debussy
Four Seasons;Die vier Jahreszeiten
Digital Audio Recorder;Digital-Audiorekorder
Digital sound editing;Digitale Soundbearbeitung
Digital sound recording;Digitale Tonaufnahme
Dissonant and Consonant Chords;Dissonante und konsonante Akkorde
Dolby surround;Dolby Surround
Dominant 7th's;Dominantseptakkord
Donizetti;Donizetti
Double Accidental;Doppelvorzeichen
Invert Triads;Dreiklangsumkehrungen
Bagpipes;Dudelsack
Duo;Duo
Major;Dur
Major chord;Durakkord
Major Triads;Durdreiklänge
Major Scale;Durtonleiter
Dvořák;Dvořák
Expression Marks;Dynamikbezeichnungen
E;E
Mi;e
Electric Bass;E-Bass
Electric guitar;E-Gitarre
Internalising sounds;Einprägung von Klängen
Using the voice;Einsatz der Stimme
Electronic Music;Elektronische Musik
Elgar;Elgar
English Horn;Englischhorn
Ensemble;Ensemble
Recalling music: aural memory;Erinnerung an Musik: auditives Gedächtnis
Performing/controlling sounds;Erzeugung / Beeinflussung von Klängen
Sound retrieval;Erzeugung simulierten Raumklanges
Music from Europe;Europäische Musik
F;F
Fa;f
Bassoon;Fagott
Film music;Filmmusik
Score;Filmmusik
Flute;Flöte
Fortepiano / Pianoforte;Fortepiano/ Pianoforte
Frequency;Frequenz
Early Romantic era;Frühromantik
Fugue;Fuge
G;G
Sol;g
Whole;ganze Note
Whole note ;ganze Note
Whole rest;ganze Pause
Whole Tone Scale;Ganztonleiter
Music genres;Gattungen
Music of the present;Gegenwartsmusik
General MIDI;General MIDI
Guitar;Gitarre
Bell;Glocke
Glockenspiel;Glockenspiel
Gong;Gong
Gregorian chant;Gregorianischer Choral
Grieg;Grieg
Bass Drum;Große Trommel
Major and Minor 7ths;große und kleine Septime
Si;h
Ti;h
Minim note;halbe Note
Minim rest;halbe Pause
Tie ;Haltebogen
Handel;Händel
Harp;Harfe
Harmonics;Harmonik
Harmonica;Harmonika
Harmonic Intervals;Harmonische Intervalle
Haydn;Haydn
Background Music;Hintergrundmusik
Middle Romantic era;Hochromantik
Holst;Holst
Hummel;Hummel
Improvising;Improvisation
Orchestration ;Instrumentation
Instruments & performers;Instrumente & MusikerInnen
Intervals;Intervalle
Jazz Music;Jazz
Johann Christian Bach;Johann Christian Bach
Cadence;Kadenz
Kalomiris;Kalomiris
Chamber Music;Kammermusik
Chamber Music ;Kammermusik
Chamber Music Hall;Kammermusiksaal
Castanet;Kastagnetten
Church;Kirche
Timbre ;Klangfarbe
Sound spectrum;Klangspektrum
Clarinet;Klarinette
Classical Music;Klassiche Musik
Appraising, responding & reviewing;Klassifizierung von, Reaktion auf und Bewertung von Musik
Classical Period;Klassik
Clavichord;Klavichord
Piano;Klavier
Snare Drum;Kleine Trommel
Koehler;Köhler
Composing, creating & developing;Komposition, Kreation & Entwicklung
Conservatory of Music;Konservatorium
Context;Kontext
Double Bass;Kontrabass
Contrabassoon;Kontrafagott
Contrapunto;Kontrapunkt
Concert Hall;Konzertsaal
Earphones;Kopfhörer
Cornet;Kornett
Creating & developing ideas;Kreation und Entwicklung von Ideen
Sharp;Kreuz
Lassus;Lasso
Lute;Laute
