Delegation;Abordnung
Supply Side Policy;Angebotspolitik
Change Management;Anpassungsmanagement
Employment Law and Legislation;Arbeitsrecht und Gesetzgebung
B2B (Business to Business) Marketing;B2B Marketing
B2C (Business to Consumer) Marketing;B2C Marketing
Banking;Banking
Professional Development;Berufliche Entwicklung
Contestability;Bestreitbarkeit
Organizational Evolution and Growth;betriebliche Entwicklung und Wachstum
Organizational Innovation;betriebliche Innovation
Organizational Behaviour and Leadership;Betriebliches Verhalten und Führung
Business Management;Betriebswirtschaft
Balance Sheets;Bilanzen
Bookkeeping;Buchhaltung
Accounting and Financial Ratios;Buchungs- und Rechnungswesen
Budgets;Budgets
Cash Flow;Cash-Flow
Customer Relationship Management;Customer relationship Management
Data and Information Management;Daten- und Informationsmanagement
Data Interpretation;Dateninterpretation
Data privacy;Datenschutz
Break-Even Analysis;Deckungsbeitragsrechnung
Economies of Scale;Degressionseffekt
Services Marketing;Dienstleistungsmarketing
E-Business;E-Business
E-Commerce;E-Commerce
e-Government;E-Government
Retailing Strategies;Einzelhandel Strategien
Electronic Communication;elektronische Kommunikation
Aggregate Demand and Aggregate Supply;Endnachfrage und Gesamtangebot
Entrepreneurial Process;Entrepreneurial Prozess
Decision Making Under Uncertainty;Entscheidungsfindung in unsicheren Szenarien
Behavioural Decision Theory;Entscheidungsverhalten Theorie
Measures of Development;Entwicklungskennzahlen
European Union;Europäische Union
Financial Accounting;Finanzbuchhaltung
Financial Markets and Institutions;Finanzmärkte und Finanzinstitutionen
Sources of Funds;Förderquellen
Free Trade;freier Handel
Leadership Styles;Führungsstile
Mergers and acquisitions;Fusionen und Übernahmen
Sense of Initiative and Entrepreneurship;Gefühl für Entschlusskraft und Geschäftsführung
Monetary Policy;Geldpolitik
Business Ethics;Geschäftsethik
Working Capital;Geschäftskapital
Corporate Structures;Gesellschaftsform
Regulations;gesetzliche Bestimmungen
Trading regulations;Gewerbeordnung
Profit and Loss Accounts;Gewinn- und Verlustrechnung
Globalisation;Globalisierung
Commercial and Investment Banking;Handels- und Investment Banking
Inflation;Inflation
Innovation;Innovation
International Accounting Standards;Internationale Buchungsstandards
International Finance;Internationales Finanz
International Marketing;Internationales Marketing
Investment Decisions;Investitionsentscheidungen
IT Infrastructures;IT Ausstattung
IT Strategy;IT Strategie
Financial Statement Analysis;Jahresabschlussanalyse
Capital Markets;Kapitalmärkte
Communications and Interpersonal Skills;Kommunikations- und Soziale Kompetenz
Communication Strategies;Kommunikationsstrategien
Conflict Resolution;Konfliktlösung
Cost Management;Kostenmanagement
Creative Thinking;kreatives Denken
Consumer Behaviour;Kundenverhalten
Performance Measurement;Leistungsbeurteilung
Power and Politics;Macht und Politik
Marketing Management;Marketingmanagement
Market Analysis;Marktanalyse
Market Structure;Marktstruktur
Market Failure;Marktversagen
Coaching;Nachhilfe
Benefits and Implications of International trade;Nutzen und Wirkung internationalen Handels
Organizational Learning;Organisationales Lernen
Organizational Culture;Organisationskultur
Human Resource Management;Personalführung
Price Strategies;Preisstrategien
Private Equity and Venture Capital;Privatkapital
Production;Produktion
Productive Efficiency;Produktionseffizienz
Product Strategies/Brands;Produktstrategien/Marken
Project Management;Projektmanagement
Protectionism;Protektionismus
Public Relations;Public Relations
Resource Management;Ressourcenmanagement
Balance of Payments;Restzahlung
Risk Management;Risiko Management
Segmentation and Positioning;Segmentierung und Positionierung
Self-motivation Skills;Selbstmotivationskompetenz
Social Entrepreneurship;soziale Geschäftsführung
Social Networks;Soziale Netzwerke
Statistical Methods;Statistische Methoden
Taxation;Steuer
Fiscal Policy;Steuerpolitik
Allocative Efficiency;Steuerungseffizienz
Branding strategies;Strategie der Markenpolitik
Strategic Marketing;strategisches Marketing
Systems Analysis;Systemanalyse
Teams and Groups;Teams und Gruppen
Corporate Finance;Unternehemnsfinanzen
Business Software;Unternehemnssoftware
Enterprise;Unternehmen
Business Size;Unternehmensgröße
Intellectual Property;Urheberschaft
Operations Management;Verfahrensmanagement
Negotiation;Verhandlung
Negotiation and Auction Analysis;Verhandlungs- und Auktionsanalyse
Negotiation Skills;Verhandlungskompetenzen
Sales;Verkauf
Distribution Channels;Verteilungskanäle
Contracts;Verträge
Vision and Mission;Vision und Mission
Forecasting;Vorhersage
What Efficiency is;Was Effizienz bedeutet
Exchange Rates;Wechselkurse
Value-Based Management;wertorientiertes Management
Competition;Wettbewerb
Competition Law;Wettbewerbsrecht
Circular Flow of Income and Multiplier Effect;what is that?
Inspiring Followership;what is that? Maybe "Vorbildfunktion"
Protecting Ideas;what should this be? Context needed
Economics of Work and Leisure;Wirtschaft für Arbeit und Freizeit
Knowledge Management;Wissensmanagement
Collaboration;Zusammenarbeit

