Social Studies;Sozialwissenschaften
Heritage (Natural and Cultural);(Natur- und Kultur-)Erbe
Nobility;Adel
Agressiveness;Aggressivität
Ancestor worship;Ahnenverehrung
Acculturation;Akkulturation
Activism;Aktivismus
Activist;Aktivist
Literacy;Alphabetisierung
Age;Alter
Old-age;Alter
Altruism;Altruismus
Applied Social Sciences;Angewandte Sozialwissenschaften
Approach;Ansatz
Anthropology;Anthropologie
Labour;Arbeit
Worker;Arbeiter
Unemployment;Arbeitslosigkeit
Archaeology;Archäologie
Army;Armee
Doctor;Arzt
Assimilation;Assimilation
Initiation;Aufnahme
Emigration;Auswanderung
Authenticity;Authentizität
Autochthony;Autochthonie
Basis;Basis
Affect;Beeinflussen
Order;Befehl
Handicap;Behinderung
Observation;Beobachtung
Possession;Besessenheit
Movement;Bewegung
Educational Sciences;Bildungswissenschaften
Biodiversity;Biodiversität
Bio-power;Bioenergie
Biomedicine;Biomedizin
Rite;Brauch
Bourgeoisie;Bürgertum
Charisma;Charisma
Loan;Darlehen
Degeneration;Degeneration
Democracy;Demokratie
School of thought;Denkschule
Determinism;Determinismus
Detribalization;Detribalisierung
Devolution;Devolution
Differentiation;Differenzierung
Diffusionism;Diffusionismus
Discrimination;Diskriminierung
Discipline;Disziplin
Dogma;Dogma
Ego;Ego
Egoism;Egoismus
Honour;Ehre
Possession;Eigentum
Elite;Elite
Emancipation;Emanzipation
Endogamy;Endogamie
Energy;Energie
Alienation;Entfremdung
Decolonization;Entkolonialisierung
Castration;Entmannung
Entrepreneur;Entrepreneur
Decision;Entscheidung
Decision-making;Entscheidungsverfahren
Heritage;Erbe
Desease;Erkrankung
Adultness;Erwachsenheit
Ethnicity;Ethnizität
Ethnodiversity;Ethnodiversität
Ethnography;Ethnographie
Ethnolinguistic;Ethnolinguistik
Ethnology;Ethnologie
Ethnoscience;Ethnologie
Ethnomedicine;Ethnomedizin
Ethnometodology;Ethnomethodologie
Ethnocentrism;Ethnozentrismus
Evolution;Evolution
Exogamy;Exogamie
Family;Familie
Fast-food;Fastfood
Femminism;Feminismus
Finance;Finanzwesen
Focus Group;Fokusgruppe
Folklore;Folklore
Questionnaire;Fragebogen
Woman;Frau
Xenophobia;Fremdenfeindlichkeit
Fertility;Fruchtbarkeit
Leadership;Führung
Functionalism;Funktionalismus
Gangs;Gangs
Commodity;Gebrauchsgut
Birth;Geburt
Prison;Gefängnis
Emotion;Gefühl
Counterculture;Gegenkultur
Secret Society;Geheimgesellschaft
Money;Geld
Community;Gemeinschaft
Generation;Generation
Georeference;Georeferenzierung
Gift;Geschenk
Corporation;Gesellschaft
Society;Gesellschaft
Society and its features;Gesellschaft und ihre Merkmale
Law;Gesetz
Legislation;Gesetzgebung
Health;Gesundheit
Violence;Gewalt
Trade Union;Gewerkschaft
Habit;Gewohnheit
Global Warming;Globale Erwärmung
Globalization;Globalisierung
Governmentality;Gouvernementalität
Founder;Gründer
Group;Gruppe
Action;Handlung
Craft;Handwerk
Craftsman;Handwerker
