ICT;IKT
Lexis; Lexik
Semantics; Semantik
Syntax; Syntax
Algorithm; Algorithmus
Operating system; Bediensystem
Flow chart; Funktionsschema
High level programming languages; Höhere Programmiersprachen
Coding; Kodieren
Correction; Korrektur
Customer service; Kundenservice
Planning; Planung
Problem solving; Problemlösung
Programm; Programm
Pseudocode; Pseudocode
Specification; Spezifikation
Testing; Testen
Maintaining; Wartung
Wide Area Information Servers (WAIS); Wide Area Information Servers (WAIS)
Retrieving information that has been stored;Abfragen von gespeicherten Informationen
AJAX;Ajax
Select and use ICT tools and techniques appropriately, safely and efficiently;Angemessene, sichere und effiziente Auswahl und Nutzung von IKT-Tools und - Techniken
Animation;Animation
Instructions;Anleitungen
Anti-Virus Program;Anti-Virus Programm
Applying ICT in other contexts;Anwendung von IKT in anderen Situationen
ICT opportunities;Anwendungsmöglichkeiten von IKT
Working with cameras & video;Arbeiten mit Kamera & Video
Working with mobile technology;Arbeiten mit Mobiltechnologie
Archive;Archiv
Assembler;Assembler
Audio;Audio
Building computers & networks;Aufbau von Computern & Netzwerken
Printout;Ausdruck
Output;Ausgabe
Share ideas;Austausch von Ideen
Interpreting information;Auswertung von Informationen
Impact of IT on communications;Auswirkungen der IT auf die Kommunikation
Impact of ICT;Auswirkungen von IKT
Automation;Automatisierung
Automating events;Automatisierung von Veranstaltungen
Select from and add to information for particular purposes;Bearbeitung von Informationen zu einem bestimmten Zweck
Combating ICT & IT crime;Bekämpfung von IKT- und IT-Kriminalität
Considering 'what if...?'/predicting;Berücksichtigung von "Was, wenn...?" / Prognosen
Stepping back from ICT;Betrachtung von IKT aus der Distanz
Bibliography;Bibliographie
Library;Bibliothek
Images;Bilder
Still images - generally;Bilder: Allgemeines
Still images: bitmap graphics;Bilder: Bitmap
Still images: graphs;Bilder: Graphen
Still images: pictograms;Bilder: Piktogramme
Still images: vector graphics;Bilder: Vektorgraphiken
Creating & editing images;Bilderstellung und -bearbeitung
Screen;Bildschirm
Biotechnology;Biotechnologie
Blu-Ray;Blu-Ray
Bool algebra and logical sets;Boole-Algebra und logische Zusammenhänge
CD-ROM;CD-ROM
Chat;Chat
Computer application;Computerapplikation
Computer architecture;Computerarchitektur
Computer-assisted-instruction (CAI software);Computer-gestützter Unterricht (eLearning-Software)
Computer literacy;Computerkenntnisse
Computer game;Computerspiel
Concept keyboard;Concept Keyboard
Copyright;Copyright
CSS;CSS
Cyberbullying;Cyber-Mobbing
Presenting measured data;Darstellung von Messwerten
Databases;Datenbanken
Databases management;Datenbankenmanagement
Database stucture;Datenbankstruktur
Data representation;Datendarstellung
Entering data;Dateneingabe
Data capture;Datenerfassung
Data concepts;Datenkonzepte
Data logging;Datenloggen
Datalogging;Datenloggen
Data presentation;Datenpräsentation
Data collection;Datensammlung
Data protection act;Datenschutzprogramm
Data Security;Datensicherheit
Data processing;Datenverarbeitung
Data Encryption;Datenverschlüsselung
Interpretation of data;Datenverwertung
Design;Design
Informational website design;Design von Informationswebseiten
Patterns;Designs
Desktop publishing software;Desktop-Publishing-Software
Diagrams;Diagramme
Digital citizens;Digitale Bürger
Digital presentations;Digitale Darstellung
Digital Products;Digitale Güter
Digital literacy;Digitale Kompetenz
Digital scanners;Digitale Scanner
Digital cameras;Digitalkameras
Floppy Drive;Diskettenlaufwerk
liquid crystal display panels;Display-Panel mit Flüssigkristallen
Documentiation;Dokumentation
Printer;Drucker
DVD-ROM;DVD-ROM
E-book readers & other gadgets;E-Book-Reader & andere Geräte
Present work effectively;Effektive Präsentation einer Arbeit
Information Owner;Eigentümer von Informationen (IO)
Input & output devices;Ein- & Ausgabegeräte
Simple networking;Einfaches Netzwerk
Input;Eingabe
Electronic journal;E-Journal
Electronic day books;elektronische Kassabücher
E-mail;E-mail
Engineering;Enginieering
Modelling;Entwicklung
Developments in software & hardware & their impact;Entwicklungen in den Bereichen Software & Hardware & deren Folgen
Understanding of audience;Erfassung der Zielgruppe
Creating database;Erstellung einer Datenbank
Creating websites;Erstellung von Webseiten
Augmented Reality;Erweiterte Realität
Finding things out;Etwas herausfinden
Fantasy;Fantasy
Faxes;Faxgeräte
Website design features;Features zum Webseitendesign
Feedback/responding to data;Feedback / Reaktionen auf Daten
File transfer protocol (FTP);File Transfer Protocol (FTP)
Asking questions & querying data;Fragen stellen & Daten erfassen
Functional skills;Funktionale Fähigkeiten
Computer functional scheme;Funktionsschema eines Computers
Appropriate/not appropriate;Geeignet / ungeeignet
Gadgets;Geräte
