Foreign Language Learning;Fremdsprachenlernen
Listening Actively;Aktives Zuhören
Reading Other Forms of Text;Andere Textsorten lesen
Writing Other Forms of Text;Andere Textsorten schreiben
Usage;Anwendung
Performing;Aufführen
Post-Reading Activities;Aufgaben nach dem Lesen
Post-Writing Activities;Aufgaben nach dem Schreiben
Post-Speaking activities;Aufgaben nach dem Sprechen
Pre-Reading Activities;Aufgaben vor dem Lesen
Pre-Writing Activities;Aufgaben vor dem Schreiben
During Listening activities;Aufgaben während des Hörens
During Reading Activities;Aufgaben während des Lesens
During Writing Activities;Aufgaben während des Schreibens
During Reading activities;Aufgaben während des Sprechens
Spelling;Aussprache
Sharing;Austauschen
Sharing / Collaborating;Austauschen / Zusammenarbeiten
Webbing / Clustering / Semantic Mapping;Baum / Cluster / Liste
Conferencing;Besprechen
Brainstorming/Listing;Brainstorming / Ideen sammeln
Code Switching;Codeswitching
Descriptive Analysis;Deskriptive Analyse
Discussion;Diskussion
Reading Discussion;Diskussion über den Text
Dramatic Reading / Reader’s Theater;Drama lesen / Theater
Editing;Editieren
Drafting;Entwerfen
Evaluating / Criticizing Speech / Production;Evaluieren / Auswerten
Writing Fiction;Fiktion schreiben
Researching;Forschen
Freewriting / Guided FreeWriting;Freies Schreiben / Gelenktes Schreiben
Mechanics;Funktion
Directed / Guided Reading;Gelenktes Lesen
Performance / Production;Gespräch
Grammar ;Grammatik
Language Errors;Grammatische Fehler
Listening;Hören
Making Predictions;Hypothesen bilden
Organizing Ideas for Writing Activities;Ideen für Schreibaktivitäten organisieren
Critical Analysis / Reflection;Kritische Analyse / Reflexion
Reading;Lesen
Literature Reading;Literatur lesen
Whole Class Literature Study;Literatur studieren
Literature Circles / Book Clubs;Literaturkreis / Buchklub
Higher-order Webbing / Clustering;Logische Abfolge / Gliederung
Multimodal / Multimedia Interaction;Multimediale Interaktion
Note Taking;Notizen machen
Listening Passively;Passives Zuhören
Publishing;Publizieren
Quizzing / Testing;Quiz lösen / Testen
Consulting Resources;Recherchieren
Nonfiction Reading;Sachliteratur lesen
Writing Nonfiction;Sachtexte schreiben
Sentence Analysis;Satzanalyse
Sentence Composing;Sätze verfassen
Writing;Schreiben
Independent Reading;Selbstständiges Lesen
Semantic Analysis;Semantische Analyse
Speaking;Sprechen
Style / Error Analysis;Stil- / Fehleranalyse
Sustained Silent Reading;Stilles Lesen
Completing Scales;Tabellen ausfüllen
Creating Text-Related Artifacts;Textbezogene Artefakte erstellen
Choosing Form / Genre;Textsorte / Gattung wählen
Revising;Überarbeiten
Translation;Übersetzen
Speaking / Speech;Vortrag / Rede halten
Reconstituting / Reconsidering Text;Wiederherstellen / Rekonstruktion
Rereading;Wiederholtes Lesen
Activating / Generating Knowledge;Wissen aktivieren/generieren
Word Analysis;Wortanalyse
Vocabulary;Wortschatz
Vocabulary Use;Wortschatz anwenden
Vocabulary Awareness;Wortschatz bewusst machen
Vocabulary Analysis;Wortschatzanalyse
Doodling;Zeichnen
Sequencing / Outlining / Storyboarding;Zuordnen / Skizzieren / Storyboard erstellen
Summarizing;Zusammenfassen
Identifying Purpose / Audience;Zweck / Zielgruppe identifizieren

