Special Educational Needs;Sonderpädagogik
Anxiety ;Angst
Anger management ;Anti-Aggressivitätstraining
Articulation ;Artikulation
Auditory processing disorder ;Auditive Verarbeitungs- und Wahrnehmungsstörung
Attention ;Aufmerksamkeit
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Aufmerksamkeitsdefizit- /Hyperaktivitätsstörung (ADS / ADHS)
Autism spectrum disorders (ASD) and Asperger Syndrome;Autismusspektrumsstörung (ASS) und Asperger-Syndrom
Gifted and talented ;Begabungen und Talente
Rewards & sanctions ;Belohnungen & Sanktionen
Depression ;Depression
Down's Syndrome ;Down-Syndrom
Dysgraphia ;Dysgraphie
Dyscalculia ;Dyskalkulie
Dyspraxia ;Dyspraxie
Selective mutism ;Elektiver Mutismus
Eating disorders ;Essstörungen
Hearing impairment ;Hörbehinderung
Hyperactivity ;Hyperaktivität
Impulsivity ;Impulsivität
Information ;Informationen
Cognitive impairment: Moderate learning difficulties (MLD) ;Kognitive Beeinträchtigung: geringe Lernbehinderungen
Cognitive impairment: Severe learning difficulties (SLD) ;Kognitive Beeinträchtigung: starke Lernbehinderungen
Communication ;Kommunikation
Communication modes ;Kommunikationsformen
Physical impairments ;Körperbehinderung
Dyslexia ;Legasthenie
Curriculum ;Lehrplan
Curriculum P1 - P3 ;Lehrplan P1 - P3
Curriculum P4 - P7 ;Lehrplan P4 - P7
Curriculum P8 - L2 ;Lehrplan P8 - L2
Curriculum extension ;Lehrplanerweiterung
Motivation ;Motivation
Organisation ;Organisation
Classroom organization ;Organisation im Klassenraum
Physical ;Physisch
Projects ;Projekte
Mental health issues ;Psychische Krankheiten
Bullying ;Schikanierung
Profound and multiple learning difficulties (PMLD) ;Schwerwiegende Lernbehinderungen 
Visual impairment ;Sehbehinderung
Self-harming ;Selbstverletzendes Verhalten
Self-esteem ;Selbstwertgefühl
Sensory ;Sensorisch
Sensory integration disorder ;Sensorische Integrationsstörung
Social skills ;Soziale Kompetenzen
Specific learning difficulties;Spezifische Lernbehinderungen
Speech and language communication difficulties ;Sprach- und Kommunikationsstörungen
Expressive language ;Sprachliche Ausdrucksfähigkeit
Receptive language ;Sprachverständnis
Behavioral, emotional and social difficulties (BESD) ;Störungen des Sozialverhaltens und der Emotionen
Therapy ;Therapie
Tics ;Ticks
Tourette's Syndrome ;Tourette-Syndrom
Environment ;Umfeld
Behavior ;Verhalten
Behavior management ;Verhaltensmanagement
Visual processing disorder ;Visuelle Verarbeitungs- und Wahrnehmungsstörung
Awareness & management of others ;Wahrnehmung von und Umgang mit Anderen
Awareness & management of self ;Wahrnehmung von und Umgang mit sich selbst
Well Being / Emotional Literacy;Wohlbefinden / emotionale Bildung
Access ;Zugang
Obsessive compulsive disorder [OCD] ;Zwangsstörung

