Music;Μουσική
General MIDI;General MIDI
M.I.D.I (Musical Instrument Digital Interface);MIDI 
MP3;MP3 
WAV;WAV
English Horn;Αγγλικό Κόρνο
Auditorium;Αίθουσα ακροατών
Chamber Music Hall;Αίθουσα Μουσικής Δωματίου
Concert Hall;Αίθουσα Συναυλιών
Progression ;Ακολουθία
Earphones;Ακουστικά
Acoustics;Ακουστική
Sound recognition;Αναγνώριση ήχου
Recalling music: aural memory;Ανακαλώντας τη Μουσική: Ακουστική Μνήμη
Sound analysis;Ανάλυση ήχου
Analysing music;Αναλύωντας τη Μουσική
Invert Triads;Ανάστροφα διαστήματα
Whole Tone Scale;Ανημιτονική κλίμακα
Human;Ανθρώπινη φωνή
Responding & reviewing;Ανταπόκριση και ανασκόπηση
Contrapunto;Αντίστιξη
Note values;Αξίες φθόγγων
Aristoxenos;Αριστόξενος
Harmonic Intervals;Αρμονικά Διαστήματα
Harmonics;Αρμονικοί
Harp;Άρπα
Ancient / Roman era;Αρχαία / Ρωμαϊκή εποχή
Bagpipes;Άσκαυλος
Improvising;Αυτοσχεδιάζοντας
Wagner;Βάγκνερ
Bass Drum;Βαθύ
Basso;Βαθύφωνος (Μπάσος)
Verdi;Βέρντι
Vivaldi;Βιβάλντι
Viola;Βιόλα
Violin;Βιολί
Cello;Βιολοντσέλο (Τσέλο)
Byzantine Hymnography;Βυζαντινή υμνογραφία
French Horn;Γαλλικό Κόρνο
Ukulele;Γιουκαλίλι
Johann Christian Bach;Γιόχαν Κρίστιαν Μπάχ
Glockenspiel;Γκλόκενσπηλ
Gong;Γκόνγκ
Grieg;Γκρίγκ
Linguistics;Γλωσσολογία
Gregorian chant;Γρηγοριανό μέλος
Semiquaver;Δέκατο έκτο
Sixteenth note;Δέκατο έκτο
Creating & developing ideas;Δημιουργώντας και αναπτύσσοντας ιδέες
Sequencer;διαδοχέας (σήκουενσερ)
Arranging/accompaniments;Διασκευή/ Προσαρμογή/ Συνοδεία
Intervals;Διαστήματα
Sharp;Δίεση
Double Accidental;Διπλή Αλλοίωση
Structure: form;Δομή / φόρμα
Strings;Έγχορδα
Ethnomusicology;Εθνομουσικολογία
General styles & traditions;Είδη Μουσικής γενικά / Παραδόσεις
Church;Εκκλησία
Music e-learning ;Εκμάθηση Μουσικής με ηλεκτρονικά μέσα
Appraising, responding & reviewing;Εκτίμηση, ανταπόκριση και αναθεώρηση
Minor;Ελάσσονα
Minor Scale;Ελάσσονα Κλίμακα
Minor Triads;Ελάσσονα τρίχορδα
Diminished and Augmented Triads;Ελαττωμένα και Αυξημένα τρίχορδα
Elgar;Έλγκαρ
Controlling sounds;Ελέγχοντας τους ήχους
Orchestration ;Ενορχήστρωση
Sound retrieval;Εξαγωγή ηχητικών χαρακτηριστικών (δεδομένων)
Hemidemisemiquaver ;Εξηκοστό τέταρτο
Sixty-fourth note  ;Εξηκοστό τέταρτο
Repeat Sign;Επανάληψη
Music editing;Επεξεργασία Μουσικής
Online performance ;Επιγραμμισμένη (online) ερμηνεία
Performing/controlling sounds;Ερμηνεία / Έλέγχος των ήχων
Playing instruments: sounds & techniques;Ερμηνεία σε μουσικά όργανα: ήχοι και τεχνικές
Internalising sounds;Εσωτερίκευση ήχων
Live performance;Ζωντανή ερμηνεία
Electric guitar;Ηλεκτρική Κιθάρα
Electric Bass;Ηλεκτρικό Μπάσσο
Electronic Music;Ηλεκτρονική Μουσική
Loudspeaker;Ηχείο
Sound spectrum;Ηχητικό φάσμα
Recorded performance;Ηχογραφημένη ερμηνεία 
Music recording;Ηχογράφηση Μουσικής
Timbre ;Ηχόχρωμα
Theatre Music;Θεατρική Μουσική
Theatre;Θέατρο
Track;Θέση (πεδίο καταγραφής)
Medicine, Psychology;Ιατρική, Ψυχολογία
Music History;Ιστορία Μουσικής
Callas;Κάλλας
Kalomiris;Καλομοίρης
Bell;Καμπάνα
Cadence;Καντέντσα
Castanet;Καστανιέτες
Instrument building / making;Κατασκευή μουσικών οργάνων
Koehler;Κέλερ
Space ;Κενό
Guitar;Κιθάρα
Film music;Κινηματογραφική Μουσική
Clavichord;Κλαβίχορδο
Claudio Monteverdi;Κλαούντιο Μοντεβέρντι
Clarinet;Κλαρινέτο (Ευθύαυλος)
Classical Music;Κλασσική Μουσική
Clef ;Κλειδί
Clementi;Κλεμέντι
Scale ;Κλίμακα
Sociomusicology;Κοινωνική Μουσικολογία
Wave nodes;Κόμβοι κυμάτων
Contrabassoon;Κόντρα Φαγγότο
Double Bass;Κοντραμπάσο (Βαθύχορδο)
Concerto;Κοντσέρτο
Corelli;Κορέλι
Cornet;Κορνέτα
