Cumulative frequency;Αθροιστική συχνότητα
Integer;Ακέραιος
Algebra;Άλγεβρα
Algebra and Number Theory;Άλγεβρα και Θεωρία Αριθμών
Algebraic expression;Αλγεβρική έκφραση
CAS;Αλγεβρικό υπολογιστικό σύστημα 
Algebraic calculation;Αλγεβρικός υπολογισμός
Algebraic Manipulation;Αλγεβρικός Χειρισμός
Algorithms;Αλγόριθμοι
Dynamic interactive geometry environments;Αλληλεπιδραστικά περιβάλλοντα δυναμικής γεωμετρίας
Polyhedron unfold;Αναδίπλωση πολυέδρου
Recursion;Αναδρομή
Analysis;Ανάλυση
Data analysis;Ανάλυση δεδομένων
Polyhedron decomposition;Ανάλυση πολυέδρου
Signal Analysis;Ανάλυση Σήματος
Inequality;Ανισότητα
Rational Inequality;Ανισότητα που περιέχει ρητούς
Spread;Άνοιγμα
Counterexample;Αντιπαράδειγμα
Representativity;Αντιπροσωπευτικότητα
Inverse proportionality function;Αντίστροφη  συνάρτηση αναλογικότητα;
Upper bound;Άνω φράγμα
Direct Proof;Απευθείας Απόδειξη
Simple solid objects;Απλά στέρεα αντικείμενα
Simple event;Απλό γεγονός
Simple calculation of volume;Απλός υπολογισμός όγκου
Proof;Απόδειξη
Proof by contradiction;Απόδειξη δια της εις άτοπου επαγωγής
Coloring Proof;Απόδειξη με χρωματισμό
Absolute frequency;Απόλυτη συχνότητα
Number Concepts;Αριθμητικές έννοιες
Numerical Analysis;Αριθμητική Ανάλυση
Numerical Differentiation;Αριθμητική διαφόριση
Numerical Integration;Αριθμητική Ολοκλήρωση
Arithmetic Sequence;Αριθμητική Σειρά
Computer Arithmetic;Αριθμητική υπολογιστών
Arithmetic;Αριθμητικός
Numbers and Computation;Αριθμοί και υπολογισμοί
Number;Αριθμός
Harmonic Analysis;Αρμονική ανάλυση
Irrational Number;Άρρητος αριθμός
Pigeonhole Principle;Αρχή της περιστεροφωλιάς
Archimedean solid;Αρχιμήδειο στερεό
Increasing and decreasing;Αυξάνεται και μειώνεται
Graduated ruler;Βαθμονομημένος χάρακας
Event;Γεγονός
Global Analysis;Γενικευμένη γεωμετρία
Inequality General;Γενική ανισότητα
Geometry;Γεωμετρία
Geometric Proof;Γεωμετρική Απόδειξη
Geometric Sequence;Γεωμετρική Σειρά
Set square;Γνώμονας
Linear problems;Γραμμικά προβλήματα
Linear Algebra;Γραμμική άλγεβρα
Linear Inequality;Γραμμική ανισότητα
Linear Inequality With One Variable;Γραμμική ανισότητα με μία μεταβλητή
Linear Rational Function;Γραμμική άρτια συνάρτηση
Linear expression;Γραμμική έκφραση
Linear Equation;Γραμμική εξίσωση
Affine function;Γραμμική συνάρτηση
Linear function;Γραμμική συνάρτηση
Line chart;Γραμμικό γράφημα
Linear model;Γραμμικό μοντέλο
Sector chart;Γράφημα τομέα
Plot;Γραφήματα
Graphical display of data;Γραφική αναπαράσταση δεδομένων
Graphical Representation of Function;Γραφική αναπαράσταση συνάρτησης
Graphing Calculator;Γραφικός υπολογιστής
Data;Δεδομένα
