ICT;ΤΠΕ
AJAX;AJAX
Blu-Ray;Blu-Ray
CD-ROM;CD-ROM
CSS;CSS
DVD-ROM;DVD-ROM
HTML;HTML
Java;Java
JavaScript;JavaScript
jQuery;jQuery
Voice/fax/data modems;Modem φωνής/fax/δεδομένων
PHP;PHP
Podcast;Podcast
Web 2.0;Web 2.0
Sensors & software Appropriate/not appropriate;Αισθητήρες & λογισμικό
Bool algebra and logical sets;Άλγεβρα Boole και λογική
Algorithm;Αλγόριθμος
Plausibility;Αληθοφάνεια
Technological change;Αλλαγή στην τεχνολογία
Changing technologies;Αλλαγή τεχνολογιών
Sequencing;Αλληλουχία
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Αναγνώριση θεμάτων ρίσκου, ασφάλειας και ευθύνης γύρω από τα θέματα χρήσης ΤΠΕ
Identification theft;Αναγνώριση κλοπής
Reading for information;Ανάγνωση πληροφορίας
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Αναγώριση ότι πληροφορίες πρέπει να αναλυθούν και να αξιολογηθούν για το σκοπό, συγγραφέα, νομισματική μονάδα και πλαίσιο
Feedback/responding to data;Ανάδραση/ανταπόκριση σε δεδομένα
Finding things out;Αναζήτηση
Search;Αναζήτηση
Internet searching;Αναζήτηση στο διαδίκτυο
Reviewing and reflecting critically on what people produce using ICT;Αναθεώρηση και κριτικός αναστοχασμός πάνω στο τι παράγουν οι χρήστες χρησιμοποιώντας ΤΠΕ
Collate, analyse & evaluate information/data using ICT;Ανάλυση & αξιολόγηση πληροφορίας/δεδομένα σχετικά με ΤΠΕ
Considering 'what if...?'/predicting;Ανάλυση/πρόβλεψη
Data representation;Αναπαράσταση δεδομένων
Web development;Ανάπτυξη ιστότοπων
Developments in software & hardware & their impact;Ανάπτυξη σε λογισμικό & υλικό & οι επιπτώσεις τους
Reflecting on ICT in society;Αναστοχασμός γύρω από τις ΤΠΕ στην κοινωνία
Uploading websites;Ανέβασμα δικτυακών τόπων
Working independently;Ανεξάρτητη εργασία
Spam;Ανεπιθύμητα μηνύματα
Impact of IT on communications;Ανίκτυπος ΤΠΕ στην επικοινωνία
Open Source;Ανοικτού κώδικα
Anti-Virus Program;Αντιικά προγράμματα
Impact of ICT;Αντίκτυπος ΤΠΕ
Simple networking;Απλή δικτύωση
Storing & retrieving data;Αποθήκευση & επανάκτηση δεδομένων
