Foreign Language Learning;Εκμάθηση Ξένων Γλωσσών
Listening;Ακρόαση
Code Switching;Αλλαγή κώδικα
Sequencing / Outlining / Storyboarding;Αλληλουχία/Σύνοψη/Δημιουργία ιστορίας
Identifying Purpose / Audience;Αναγνώριση Σκοπού/Κοινού
Reading;Ανάγνωση
Reading Other Forms of Text;Ανάγνωση άλλων μορφών κειμένου
Dramatic Reading / Reader’s Theater;Ανάγνωση θεατρικού έργου
Literature Reading;Ανάγνωση λογοτεχνίας
Nonfiction Reading;Ανάγνωση μη μυθιστορηματικού λόγου
Style / Error Analysis;Ανάλυση λαθών
Word Analysis;Ανάλυση λέξεων
Vocabulary Analysis;Ανάλυση λεξιλογίου
Sentence Analysis;Ανάλυση προτάσεων
Reconstituting / Reconsidering Text;Ανασύσταση/ Επανεξέταση Κειμένου
Independent Reading;Ανεξάρτητη ανάγνωση
Evaluating / Criticizing Speech / Production;Αξιολόγηση/ Κριτική λόγου/Παραγωγή
Doodling;Αφηρημένη γραφή
Vocabulary Awareness;Γνώση λεξιλογίου
Grammar ;Γραμματική
Writing;Γραφή
Creating Text-Related Artifacts;Δημιουργία τεχνουργημάτων σχετικών με κείμενο
Publishing;Δημοσίευση
Drafting;Δημουργία πρώτης έκδοσης
Webbing / Clustering / Semantic Mapping;Διαδίκτυο/Ομαδοποίηση/Σημασιολογική Απεικόνιση
Sharing;Διαμοίραση
Sharing / Collaborating;Διαμοίραση/Συνεργασία
During Reading Activities;Δραστηριότητες ανάγνωσης
During Writing Activities;Δραστηριότητες γραφής
During Listening activities;Δραστηριότητες κατά τη διάρκεια της ακρόασης
Post-Writing Activities;Δραστηριότητες μετά τη γραφή
Post-Reading Activities;Δραστηριότητες μετά την ανάγνωση 
Post-Speaking activities;Δραστηριότητες μετά την ανάγνωση 
Pre-Writing Activities;Δραστηριότητες πριν τη γραφή
Pre-Reading Activities;Δραστηριότητες πριν την ανάγνωση
Performing;Εκτέλεση
Performance / Production;Εκτέλεση/παραγωγή
Freewriting / Guided Freewriting;Ελεύθερη γραφή/ Καθοδηγούμενη γραφή
Listening Actively;Ενεργητική ακρόαση
Activating / Generating Knowledge;Ενεργοποίηση/Δημιουργία Γνώσης
Rereading;Επανάγνωση
Revising;Επανάληψη
Editing;Επεξεργασία
Choosing Form / Genre;Επιλογή φόρμας/είδους
Researching;Έρευνα
Brainstorming/Listing;Ιδεοθύελλα/ Δημιουργία Λίστας
Directed / Guided Reading;Καθοδηγούμενη ανάγνωση
Quizzing / Testing;Κουίζ/Τεστ
Critical Analysis / Reflection;Κριτική ανάλυση/Σκέψη
Literature Circles / Book Clubs;Κύκλοι λογοτεχνίας / Λέσχες μελέτης
Language Errors;Λάθη σχετικά με τη γλώσσα
Consulting Resources;Λαμβάνοντας  υπόψιν πόρους
Vocabulary;Λεξιλόγιο
Whole Class Literature Study;Μελέτη λογοτεχνίας εντός τάξης
Translation;Μετάφραση
Mechanics;Μηχανική
Higher-order Webbing / Clustering;Ομαδοποίηση προηγμένης δυσκολίας
Speaking;Ομιλία
Speaking / Speech;Ομιλία/λόγος
Organizing Ideas for Writing Activities;Οργάνωση ιδεών για δραστηριότητες γραφής
Spelling;Ορθογραφία
Listening Passively;Παθητική ακρόαση
Descriptive Analysis;Περιγραφική ανάλυση
Summarizing;Περίληψη
Multimodal / Multimedia Interaction;Πολυτροπική/ Αλληλεπίδραση με πολυμέσα
Making Predictions;Προβλέψεις
Semantic Analysis;Σημασιολογική ανάλυση
Sustained Silent Reading;Σιωπηλή  ανάγνωση
Writing Other Forms of Text;Συγγραφή άλλων μορφών κειμένου
Writing Fiction;Συγγραφή μυθιστορήματος
Writing Nonfiction;Συγγραφή πεζού λόγου
Note Taking;Συγγραφή σημειώσεων
Discussion;Συζήτηση 
Reading Discussion;Συζήτηση γύρω από την ανάγνωση
Completing Scales;Συμπλήρωση κλιμάκων
Conferencing;Συνδιάσκεψη
Sentence Composing;Σύνθεση προτάσεων
Usage;Χρήση
Vocabulary Use;Χρήση λεξιλογίου

