Special Educational Needs;Ειδικές Εκπαιδευτικές Ανάγκες
Anxiety ;Άγχος
Sensory ;Αισθητηριακές διαταραχές
Sensory integration disorder ;Αισθητηριακές διαταραχές
Well Being / Emotional Literacy;Αναγνώριση Συναισθημάτων 
Curriculum ;Αναλυτικό πρόγραμμα
Curriculum P1 - P3 ;Αναλυτικό πρόγραμμα
Curriculum P4 - P7 ;Αναλυτικό πρόγραμμα
Curriculum P8 - L2 ;Αναλυτικό πρόγραμμα
Rewards & sanctions ;Ανταμοιβή & κυρώσεις
Articulation ;Άρθρωση
Self-esteem ;Αυτοεκτίμηση
Self-harming ;Βλάβη του εαυτού
Receptive language ;Γλώσσα αντίληψης
Expressive language ;Γλώσσα έκφρασης
Cognitive impairment: Moderate learning difficulties (MLD) ;Γνωστικές δυσλειτουργίες: Μαθησιακές δυσκολίες μετρίου βαθμού
Cognitive impairment: Severe learning difficulties (SLD) ;Γνωστικές δυσλειτουργίες: Σοβαρές μαθησιακές δυσκολίες
Hearing impairment ;Διαταραχές ακοής
Eating disorders ;Διαταραχές στη διατροφή
Auditory processing disorder ;Διαταραχή ακουστικής επεξεργασίας
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Διαταραχή ελλειμματικής προσοχής / υπερκινητικότητα (ΔΕΠ/Υ)
Visual processing disorder ;Διαταραχή οπτικής επεξεργασίας
Anger management ;Διαχείριση θυμού
Behavior management ;Διαχείριση συμπεριφοράς
Dyscalculia ;Δυσαριθμησία 
Dysgraphia ;Δυσγραφία
Speech and language communication difficulties ;Δυσκολίες στο λόγο και στη λεκτική επικοινωνία 
Behavioral, emotional and social difficulties (BESD) ;Δυσκολίες συμπεριφοράς, συναισθηματικές και κοινωνικές
Dyslexia ;Δυσλεξία
Dyspraxia ;Δυσπραξία
Bullying ;Εκφοβισμός
Curriculum extension ;Επέκταση αναλυτικού προγράμματος
Awareness & management of self ;Επίγνωση και διαχείριση του εαυτού
Awareness & management of others ;Επίγνωση και διαχείριση τρίτων
Communication ;Επικοινωνία
Selective mutism ;Επιλεκτική
Projects ;Εργασίες
Therapy ;Θεραπεία
Obsessive compulsive disorder [OCD] ;Ιδεοψυχαναγκαστική διαταραχή
Depression ;Κατάθλιψη
Motivation ;Κίνητρα
Social skills ;Κοινωνικές δεξιότητες
Communication modes ;Μέθοδοι επικοινωνίας
Visual impairment ;Οπτικές διαταραχές
Organisation ;Οργάνωση 
Classroom organization ;Οργάνωση τάξης
Impulsivity ;Παρορμητικότητα
Environment ;Περιβάλλον
Environment ;Περιββάλον
Information ;Πληροφορίες
Mental health issues ;Προβλήματα νοητικής υγείας
Access ;Πρόσβαση
Attention ;Προσοχή
Profound and multiple learning difficulties (PMLD) ;Προφανείς και πολλαπλές μαθησιακές δυσκολίες
Specific learning difficulties;Συγκεκριμένες μαθησιακές δυσκολίες
Behavior ;Συμπεριφορά
Down's Syndrome ;Σύνδρομο Down
Tourette's Syndrome ;Σύνδρομο Tourette
Autism spectrum disorders (ASD) and Asperger Syndrome;Σύνδρομο αυτισμού και σύνδρομο Asperger
Tics ;Τικ
Communication modes ;Τρόποι επικοινωνίας
Hyperactivity ;Υπερδραστηριότητα
Physical ;Φυσικές
Physical impairments ;Φυσικές αναπηρίες
Gifted and talented ;Χαρισματικοί μαθητές

