Science;Ciencia
Landforms;Accidentes geográficos
Acceleration;Aceleración
Angular acceleration;Aceleración angular
Charged particle acceleration;Aceleración de partículas cargadas
Accelerators;Aceleradores
Accelerators & beams;Aceleradores y haces
Accelerometers;Acelerómetros
Acids, alkalis and bases;Ácidos, alcalinos y bases
Solar activity;Actividad solar
Adiabatic;Adiabático
DNA;ADN
Africa;África
Organic Agriculture;Agricultura orgánica, agricultura ecológica
Galaxy clusters;Agrupaciones galácticas
Water;Agua
Drinking water;Agua potable
Water, landscapes & people - general information;Agua, paisajes y personas - información general
Black holes;Agujeros negros
air;Aire
Food as fuel;Alimento como combustible
Geophysical environment;Ambiente geofísico
North America;América del Norte
South & Central America;América del Sur y Central
Wave amplitude;Amplitud de onda
Anatomy;Anatomía
Amphibian;Anfibio
Einstein ring;Anillo de Einstein
Animal;Animal
wild animal;Animal salvaje
Domestic animal;Animales domésticos
Antarctica;Antártida
Antimatter;Antimateria
Circulatory System;Aparato circulatorio, sistema circulatorio
Digestive System;Aparato digestivo, sistema digestivo
Reproductive system;Aparato reproductor, sistema reproductor
Domestic appliances;Aparatos domésticos
Technological applications;Aplicaciones tecnológicas
Arachnid;Arácnido
Tree;Árbol
Rural settlements;Asentamientos rurales
Urban settlements;Asentamientos urbanos
Settlements: change;Asentamientos: cambio
Settlements: size/character/function;Asentamientos: tamaño / carácter / función
Asia;Asia
Asteroids;Asteroides
Astrobiology;Astrobiología
Astrometry;Astrometría
Astronauts;Astronautas
Astronomy;Astronomía
Atlases;Atlas
Atmospheres;Atmósfera
Atoms – generally;Átomos- en líneas generales
Hearing - generally;Audición - en líneas generales
Hearing: noise;Audición: ruido
Aurora;Aurora polar
Goods & services;Bienes y servicios
Big Bang;Big Bang
Biology;Biología
Organic Biology;Biología ecológica
Biomes;Biomas
Biomass;Biomasa
Biosphere;Biosfera
Biotechnology;Biotecnología
Biotope;Biotopo
Forest;Bosque
Wood;Bosque
Botany;Botánica
Gamma ray bursts;Brotes de rayos gamma
AC/DC;CA/CC
Cape;Cabo
Food chain;Cadena trófica
Food chains and webs;Cadenas y redes tróficas
Electrical heating and costs;Calefacción eléctrica y costes
Calorimeters;Calorímetro
Population change;Cambio de la población
Natural population change;Cambio natural de la población
Changes of state;Cambios de estado
Changes in distribution of economic activity & their impact;Cambios en la distribución de la actividad económica y su impacto
Physical changes;Cambios físicos
Chemical changes;Cambios químicos
Central field;Campo central
Conservative force field;Campo de fuerza conservativo
Electric field;Campo eléctrico
Electromagnetic field;Campo electromagnético
Gravitational field;Campo gravitatorio, campo gravitacional
Magnetic field;Campo magnético
Fields;Campos
Wave characteristics - generally;Características de onda - en líneas generales
Carbon;Carbono
Cardiovascular;Cardiovascular
Charge;Carga
Electric charge - generally;Carga eléctrica - en líneas generales
cartography;Cartografía
Catalysts;Catalizadores
Catastrophe;Catástrofe, desastre
Environmental causes of variation;Causas ambientales de la variación
Genetic causes of variation and mutation;Causas genéticas de variación y mutación
Hydroelectric power plant;Central hidroeléctrica
Nuclear power plant;Central nuclear
Centre of mass;Centro de masas
Brain;Cerebro
Life cycle;Ciclo de vida
Lifecycle of products;Ciclo de vida de los productos
Water cycle;Ciclo del agua, ciclo hidrológico
Menstrual cycle;Ciclo menstrual
Thermodynamic Cycle;Ciclo termodinámico
Carbon and nitrogen cycles;Ciclos del carbono y del nitrógeno
Material Science;Ciencia de materiales
Science: historical and contemporary examples;Ciencia: Ejemplos históricos y contemporáneos
Earth science;Ciencias de la tierra
Scientists and inventors;Científicos e inventores
Chemical Kinetics;Cinética química
Asteroid belt;Cinturón de asteroides
Circuits - generally;Circuitos - en líneas generales
Series circuits;Circuitos en serie
Parallel circuits;Circuitos paralelos
Classification/keys;Clasificación / claves
Classifications of economic activity;Clasificación de actividad económica
Grouping materials;Clasificar materiales
Climate;Clima
Cloning, selective breeding and genetic engineering;Clonación, selección artificial e ingeniería genética
Rockets;Cohetes
Elastic collision;Colisión elástica, choque elástico
Inelastic collision;Colisión inelástica, choque inelástico
Collision;Colisión, choque
Colour;Color
Fossil fuels;Combustibles fósiles
Burning;Combustión
Comets and meteors;Cometas y meteoros
Metal complexes;Complejos
Components in circuits: batteries, etc;Componentes en circuitos: baterías, etc.
Combining forces;Composición de fuerzas
Compounds - generally;Compuestos - en líneas generales
Aliphatic Compounds;Compuestos alifáticos
Aromatic Compounds;Compuestos aromáticos
Heterocyclic Compounds;Compuestos heterocíclicos
Conduction, convection and evaporation;Conducción, convección y evaporación
Conservation of mass;Conservación de la materia
Conservation of momentum;Conservación del moméntum
Conservation and dissipation;Conservación y disipación
Physical constants;Constantes físicas
Constellations;Constelaciones
Pollution;Contaminación
Coordinates;Coordenadas
Heart;Corazón
Electric current;Corriente eléctrica
Cosmology;Cosmología
Particle cosmology;Cosmología de partículas
Coasts;Costa
Crater;Cráter
Breeding;Crianza
Chromatography;Cromatografía
Chromosomes;Cromosoma
Quasars;Cuásares
Rigid body;Cuerpo rígido
Open clusters;Cúmulo abierto
Globular clusters;Cúmulo globular
Watercourse;Curso del agua
Light curve;Curva de luz
Rotation curve;Curva de rotación
Darwin;Darwin
Conflicting demands on environments;Demanda conflictiva sobre ambientes
Density;Densidad
Deposition;Deposición
Development & quality of life;Desarrollo y calidad de vida
Desert;Desierto
Nuclear decay;Desintegración nuclear
Redshift;Desplazamiento al rojo
Distillation;Destilación
Particle detectors;Detector de partículas
Detectors;Detectores
Detectors: CCD camera;Detectores: Cámara CCD
Sex determination;Determinación sexual
Hertzsprung-Russell diagram;Diagrama de Hertzsprung-Russel
Teeth;Dientes
Differences in development within countries;Diferencias en el desarrollo en países
