Music;Música
A;A, la
Chord;Acorde
Major chord;Acorde mayor
Sixth and Ninth Chords;Acordes de sexta y novena
Dissonant and Consonant Chords;Acordes disonantes y consonantes
Sus2 and sus4 Chords;Acordes sus2 y sus4
Live performance;Actuación en directo
Online performance;Actuación en línea, actuación online
Recorded performance;Actuación grabada
Performing with others;Actuar con otros
Acoustics;Acústica
Tuning;Afinación
Loudspeaker;Altavoz
Double Accidental;Alteraciones dobles
Alto;Alto
Pitch;Altura
Pitch/melody;Altura / melodía
Music analysis;Análisis de la música
Sound analysis;Análisis de sonido
Analysing music;Analizar música
Aristoxenos;Aristóxeno
Key Signature;Armadura de clave
Harmonica;Armónica
Harmonics;Armónicos
Harp;Arpa
Arranging/accompaniments;Arreglos / acompañamientos
Ars antique;Ars antique
Ars Nova;Ars nova
Auditorium;Auditorio
Earphones;Auriculares
B;B, si
Bach;Bach
Basso;Bajo
Electric Bass;Bajo eléctrico
Banjo;Banyo, banjo
Natural;Becuadro
Beethoven;Beethoven
Flat;Bemol
Bizet;Bizet
Minim note;Blanca
Boccherini;Boccherini
Bass Drum;Bombo
Borodin;Borodin
Bruckner;Bruckner
Music Videoconference Loop;Bucle videoconferencia de música
Byrd;Byrd
C;C, do
Cadence;Cadencia
Snare Drum;Caja
Callas;Callas
Bell;Campana
Song;Canción
Gregorian chant;Canto gregoriano
Singing, including diction, sounds & techniques;Canto, incluyendo dicción, sonidos y técnicas
Musical features;Características musicales
Castanet;Castañuelas
Ceremony;Ceremonia
Cello;Chelo, violonchelo
Circle of Fifths;Círculo de quintas
Zither;Cítara
Clarinet;Clarinete
Claudio Monteverdi;Claudio Monteverdi
Clef;Clave
Harpsichord;Clavecín, clave, clavicémbalo
Clavichord;Clavicordio
Clementi;Clementi
Bar;Compás
Measure;Compás
Time Signature;Compás
Composing, creating & developing;Componer, crear y desarrollar
Reflective composing;Composición reflexiva
Concerto;Concierto
Conservatory of Music;Conservatorio de música
Instrument building / making;Construir / hacer instrumentos
Contemporary;Contemporáneo
Context;Contexto
Double Bass;Contrabajo
Contrabassoon;Contrafagot
Contrapunto;Contrapunto
Controlling sounds;Controlar sonidos
Eighth note;Corchea
Quaver;Corchea
Corelli;Corelli
Cornet;Corneta
English Horn;Corno inglés
Choir;Coro
Couperin;Couperin
Creating & developing ideas;Crear y desarrollar ideas
Quartet;Cuarteto
String Quartet;Cuarteto de cuerda
D;D, re
Strings;De cuerda
Percussions;De percusión
Keyboards;De teclado
Winds;De viento
Debussy;Debussy
Do;Do
Dolby surround;Dolby surround
Donizetti;Donizetti
Duo;Dúo
Dvořák;Dvořák
E;E, mi
Medieval/Middle Ages;Edad medieval / media
Music editing;Edición de música
Digital sound editing;Edición de sonido digital
Music Education;Educación musical
The Renaissance;El renacimiento
Music e-learning;E-learning de música
Musical elements & devices;Elementos y dispositivos musicales
Elgar;Elgar
Rehearsing;Ensayar
Ancient / Roman era;Época antigua / romana
Byzantine era;Época bizantina
Middle Romantic era;Época romántica media
Late Romantic era;Época romántica tardía
Early Romantic era;Época romántica temprana
Scale;Escala
Chromatic Scale;Escala cromática
Whole Tone Scale;Escala de tonos enteros
Major Scale;Escala mayor
Minor Scale;Escala menor
Pentatonic Scale;Escala pentatónica
Music Stage;Escenario
School;Escuela
Music School;Escuela de música
Space;Espacio
Sound spectrum;Espectro del sonido
Arena;Estadio, pabellón, arena
General styles & traditions;Estilos generales y tradiciones
Musical stimuli;Estímulos musicales
Non-musical stimuli;Estímulos no musicales
Structure: form;Estructura: forma
Ethnomusicology;Etnomusicología
Appraising, responding & reviewing;Evaluar, responder y revisar
Musical expression;Expresión musical
F;F, fa
Fa;Fa
Bassoon;Fagot
Physics;Física
Flute;Flauta
Recorder;Flauta dulce
Phonetics;Fonética
Phonology;Fonología
Waveforms;Formas de onda
Fortepiano / Pianoforte;Fortepiano / pianoforte
Frequency;Frecuencia
Fugue;Fuga
Demisemiquaver;Fusa
Thirty-second note;Fusa
G;G, sol
Bagpipes;Gaita
Range of activities;Gama de actividades
General MIDI;General MIDI
Music genres;Géneros musicales
Glockenspiel;Glockenspiel
Gong;Gong
Tape recording;Grabación
Music recording;Grabación de música
Digital sound recording;Grabación de sonido digital
Digital Audio Recorder;Grabador de audio digital
Grieg;Grieg
Ensemble;Grupo
Guitar;Guitarra
Electric guitar;Guitarra eléctrica
Handel;Handel
Haydn;Haydn
Byzantine Hymnography;Himnografía bizantina
Music History;Historia de la música
Holst;Holst
Human;Humano
Hummel;Hummel
Church;Iglesia
Improvising;Improvisar
Instruments & performers;Instrumentos e intérpretes
Musical instruments / Human voice;Instrumentos musicales / Voz humana
Internalising sounds;Interiorizar sonidos
Intervals;Intervalos
Harmonic Intervals;Intervalos armónicos
Melodic Intervals;Intervalos melódicos
Invert Triads;Invertir tríadas
Johann Christian Bach;Johann Christian Bach
Kalomiris;Kalomiris
Koehler;Koehler
Korsakov;Korsakov
La;La
Music as a performance art;La música como arte en vivo
Four Seasons;Las cuatro estaciones
Lassus;Lassus
Lute;Laúd
Leontaritis;Leontaritis
Lyrics;Letra
Tie;Ligadura
Linguistics;Lingüística
Liszt;Liszt
Lully;Lully
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I. (Interfaz Digital de Instrumentos Musicales)
Madrigal;Madrigal
Mahler;Mahler
Mandolin;Mandolina
Maracas;Maracas
Major;Mayor
Medicine, Psychology;Medicina, Psicología
Melody;Melodía
Mendelssohn;Mendelssohn
Minor;Menor
Metallophone;Metalófono
Mi;Mi
Microphone;Micrófono
Mitropoulos;Mitropoulos
Modernism;Modernismo
Motet;Motete
Mozart;Mozart
MP3;MP3
Street music;Música callejera
Film music;Música cinematográfica
Classical Music;Música clásica
Music from Africa;Música de África
Music from Asia;Música de Asia
Music from Australasia;Música de Australasia
Ballet Music;Música de ballet
Chamber Music;Música de cámara
Music from Europe;Música de Europa
Background Music;Música de fondo
Music from the Americas;Música de las Américas
Music from other traditions;Música de otras tradiciones
Music from other places/cultures;Música de otros lugares / culturas
Music of the past;Música del pasado
Music of the present;Música del presente
16th c. Music;Música del siglo 16
17th c. Music;Música del siglo 17
18th c. Music;Música del siglo 18
19th c. Music;Música del siglo 19
20th c. Music (contemporary);Música del siglo 20 (contemporánea)
Electronic Music;Música electrónica
Jazz Music;Música jazz
Computer-enhanced Music;Música mejorada por ordenador
Pop – Rock Music;Música pop - rock
Computer Music;Música por ordenador
Symphonic Music;Música sinfónica
Theatre Music;Música teatral
Traditional Music;Música tradicional
Vocal Music;Música vocal
Music and Science;Música y Ciencia
Music and Physics;Música y física
Music and ICT hardware;Música y hardware TIC
Music and Mathematics;Música y matemáticas
Music and Media;Música y media
Music and ICT software;Música y software TIC
Music and ICT terms;Música y términos TIC
Music and ICT;Música y TIC
Musicology;Musicología
Music Therapy;Musicoterapia
Mussorgsky;Mussorgsky
Crotchet;Negra
Quarter note;Negra
Nocturne;Nocturno
Wave nodes;Nodos de las ondas
Note;Nota
Notation;Notación
Notation / Music Theory / Harmony/Musical Morphology;Notación / teoría musical / armonía / morfología musical
Oboe;Oboe
Octave;Octava
Octet;Octeto
Waves;Ondas
Opera;Ópera
Oratorio;Oratorio
Organ;Órgano
Orchestra;Orquesta
Orchestration;Orquestación
Sound oscillator / Envelope;oscilador / envolvente acústicos
Paganini;Paganini
Palestrina;Palestrina
Tambourine;Pandereta
Score;Partitura
Sheet Music;Partitura
Staff;Pentagrama
Baroque Period;Periodo barroco
Classical Period;Periodo clásico
Romantic Period;Periodo romántico
Piano;Piano
Track;Pista, track
Pythagoras;Pitágoras
Cymbal;Platillos
Symphonic Poem;Poema sinfónico
Polka;Polca
Polyphony;Polifonía
Practising;Practicar
Prelude;Preludio
Presto;Presto
Progression;Progresión
Pronomos;Pronomos
Psychoacoustics;Psicoacústica
Music Psychology;Psicología de la música
Puccini;Puccini
Beat;Pulso
Pitch;Pulso
Dotted Note;Puntillo
Purcell;Purcell
Rachmaninoff;Rachmaninoff
Rameau;Rameau
Rhapsody;Rapsodia
Ravel;Ravel
Re;Re
Performing/controlling sounds;Realizar / controlar sonidos
Recital;Recital
Sound recognition;Reconocimiento de sonido
Recalling music: aural memory;Recordar música: memoria auditiva
Sound retrieval;Recuperación de sonido
Whole;Redonda
Whole note;Redonda
Reicha;Reicha
Relative Minor & major;Relativos mayor y menor
Responding & reviewing;Responder y revisar
Rhythm;Ritmo
Rhythm (duration), pulse/beat;Ritmo (duración), pulso
Rossini;Rossini
Saint Saens;Saint Saens
Concert Hall;Sala de conciertos
Chamber Music Hall;Sala de música de cámara
Salieri;Salieri
Saint Romanos the Melodist;San Romano el Mélodo
Saxophone;Saxofón
Schoenberg;Schoenberg
Schubert;Schubert
Schumann;Schumann
Scriabin;Scriabin
Sequencer;Secuenciador
Semiquaver;Semicorchea
Sixteenth note;Semicorchea
Hemidemisemiquaver;Semifusa
Sixty-fourth note;Semifusa
Dominant 7th's;Séptima dominante
Major and Minor 7ths;Séptimas mayor y menor
Serialism;Serialismo
Si;Si
Ti;Si
Sibelius;Sibelius
Expression Marks;Signos de expresión
Repeat Sign;Signos de repetición
Rest;Silencio
Dotted Rest;Silencio con puntillo
Minim rest;Silencio de blanca
Eighth note rest;Silencio de corchea
Quaver rest;Silencio de corchea
Demisemiquaver rest;Silencio de fusa
Thirty-second note rest;Silencio de fusa
Crotchet rest;Silencio de negra
Whole rest;Silencio de redonda
Sixty-fourth note rest;Silencio de semifusa
Symphony;Sinfonía
Synthesizer;Sintetizador
Synthesizer / Electric Piano;Sintetizador / piano electrónico
Skalkotas;Skalkotas
Sociomusicology;Sociología de la música
Music Software;Software de música
Notation Software;Software de notación
Sol;Sol
Sonata;Sonata
Soprano;Soprano
Mute;Sordina
Sharp;Sostenido
Staccato;Staccato
Stamitz;Stamitz
Strauss;Strauss
Streaming;Streaming
Table of Key Signature;Tabla de armaduras de clave
Tchaikovsky;Tchaikovsky
Theatre;Teatro
Telemann;Telemann
Tempo;Tempo
Tenoro;Tenor
Timpani;Timbales
Timbre;Timbre
Playing instruments: sounds & techniques;Tocar instrumentos: sonidos y técnicas
Tonality;Tonalidad
Tonality/harmony;Tonalidad / armonía
Tonic;Tónica
Triplet;Tresillo
Diminished and Augmented Triads;Tríadas aumentadas y disminuidas
Major Triads;Tríadas mayores
Minor Triads;Tríadas menores
Triangle;Triángulo
Trio;Trío
Treble;Triple
Trombone;Trombón
French Horn;Trompa, corno francés
Trumpet;Trompeta
Troubadours and trouvères;Trovadores y troveros
Tuba;Tuba
Ukulele;Ukelele
Using the voice;Uso de la voz
Note values;Valor de las notas
Verdi;Verdi
Viola;Viola
Violin;Violín
Vivaldi;Vivaldi
Voice;Voz
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis
Xylophone;Xilófono

