Business Studies;Estudios empresariales
Financial Statement Analysis;Análisis de estados contables
Negotiation and Auction Analysis;Análisis de la negociación y la subasta
Market Analysis;Análisis de mercado
Systems Analysis;Análisis de sistemas
Break-Even Analysis;Análisis del punto de equilibrio
Organizational Learning;Aprendizaje organizativo
Balance Sheets;Balance general, balance de situación
Balance of Payments;Balanza de pagos
Banking;Banca
Commercial and Investment Banking;Banca comercial y de inversión
Benefits and Implications of International trade;Beneficios e implicaciones del comercio internacional
Distribution Channels;Canales de distribución
Working Capital;Capital de trabajo
Private Equity and Venture Capital;Capital privado y capital de riesgo
Decision Science;Ciencias de la decisión
Coaching;Coaching, entrenamiento
Collaboration;Colaboración
E-Commerce;Comercio electrónico
International Trade;Comercio internacional
Competition;Competencia
Contestability;Competitividad
Consumer Behaviour;Comportamiento del consumidor
Organizational Behaviour and Leadership;Comportamiento organizativo y liderazgo
Electronic Communication;Comunicación electrónica
Communications and Interpersonal Skills;Comunicación y habilidad interpersonal
Accounting;Contabilidad
Financial Accounting;Contabilidad financiera
Contracts;Contratos
Growing a business;Crecimiento de una empresa
Organizational Culture;Cultura organizativa
Investment Decisions;Decisiones de inversión
Delegation;Delegación
Aggregate Demand and Aggregate Supply;Demanda agregada y oferta agregada
Competition Law;Derecho de la competencia
Employment Law and Legislation;Derecho laboral y legislación, derecho del trabajo y legislación
Business Law;Derecho mercantil
Professional Development;Desarrollo profesional
Economies of Scale;Economía de escala
Business Economics;Economía de la empresa
Development Economics;Economía del desarrollo
Economics of Work and Leisure;Economía del trabajo y el ocio
Transport Economics;Economía del transporte
Global Economics;Economía global
National Economy;Economía nacional
Entrepreneurship Education;Educación para el espíritu emprendedor
Allocative Efficiency;Eficiencia asignativa, eficiencia de asignación
Economic Efficiency;Eficiencia económica
Productive Efficiency;Eficiencia productiva, eficiencia técnica
Decision Making Under Uncertainty;Elección bajo incertidumbre, decisión bajo incertidumbre
Social Entrepreneurship;Emprendimiento social
Enterprise;Empresa
Teams and Groups;Equipos y grupos
Stability and Policy Effectiveness;Estabilidad y eficacia de la política
Profit and Loss Accounts;Estado de resultados, estado de pérdidas y ganancias, estado de rendimiento económico
Leadership Styles;Estilos de liderazgo
Price Strategies;Estrategia de precios
IT Strategy;Estrategia TI
Strategy and Corporate Social Responsibility;Estrategia y responsabilidad social corporativa
Product Strategies/Brands;Estrategias / marcas de productos
Communication Strategies;Estrategias de comunicación
Branding strategies;Estrategias de marca
Retailing Strategies;Estrategias de venta al por menor
Market Structure;Estructura de mercado
Corporate Structures;Estructuras corporativas
Business Studies;Estudios empresariales
Business Ethics;Ética empresarial
Organizational Evolution and Growth;Evolución y crecimiento organizativos
Market Failure;Fallo de mercado
Corporate Finance;Finanzas corporativas
Business Finance;Finanzas empresariales
International Finance;Finanzas internacionales
Circular Flow of Income and Multiplier Effect;Flujo circular de la renta y efecto multiplicador
Cash Flow;Flujo de caja, flujo de fondos
Sources of Funds;Fuentes de fondos
Mergers and Takeovers;Fusiones y absorciones
Mergers and acquisitions;Fusiones y adquisiciones
Value-Based Management;Gestión basada en el valor, gerencia basada en el valor
Data and Information Management;Gestión de datos e información
Operations Management;Gestión de la producción
Customer Relationship Management;Gestión de la relación con el cliente
Marketing Management;Gestión de marketing
Project Management;Gestión de proyectos
Resource Management;Gestión de recursos
Human Resource Management;Gestión de recursos humanos
Risk Management;Gestión de riesgos
Change Management;Gestión del cambio
Knowledge Management;Gestión del conocimiento
Cost Management;Gestión del coste
Economic Management;Gestión económica
Business Management;Gestión empresarial
Globalisation;Globalización
e-Government;Gobierno electrónico
Self-motivation Skills;Habilidad de automotivación
Negotiation Skills;Habilidad de negociación
Taxation;Impuestos
Inflation;Inflación
IT Infrastructures;Infraestructuras TI
Innovation;Innovación
Organizational Innovation;Innovación organizativa
Data Interpretation;Interpretación de datos
Free Trade;Libre comercio
B2B (Business to Business) Marketing;Marketing B2B (business to business)
B2C (Business to Consumer) Marketing;Marketing B2C (business to consumer)
Services Marketing;Marketing de servicios
Strategic Marketing;Marketing estratégico
International Marketing;Marketing internacional
Performance Measurement;Medición del rendimiento
Measures of Development;Medidas de desarrollo
Capital Markets;Mercados de capitales
Financial Markets and Institutions;Mercados de capitales e instituciones
Marketing;Mercadotecnia, Marketing
Statistical Methods;Métodos estadísticos
Negotiation;Negociación
E-Business;Negocio electrónico
International Accounting Standards;Normas internacionales de contabilidad
Creative Thinking;Pensamiento creativo
Power and Politics;Poder y política
Supply Side Policy;Política del lado de la oferta
Fiscal Policy;Política fiscal
Macroeconomic Policy;Política macroeconómica
Monetary Policy;Política monetaria
Budgets;Presupuestos
Data privacy;Privacidad de datos
Entrepreneurial Process;Proceso de emprendimiento
Production;Producción
Forecasting;Pronóstico
Intellectual Property;Propiedad intelectual
Protecting Ideas;Protección de ideas
Protectionism;Proteccionismo
What Efficiency is;Qué es la eficiencia
Accounting and Financial Ratios;Ratios financieros
Social Networks;Redes sociales
Corporates Restructuring;Reestructuración corporativa
Regulations;Reglamentos
Trading regulations;Regulaciones comerciales
Public Relations;Relaciones públicas
Conflict Resolution;Resolución de conflictos
Segmentation and Positioning;Segmentación y posicionamiento
Inspiring Followership;Seguimiento al líder inspirador
Sense of Initiative and Entrepreneurship;Sentido de la iniciativa y espíritu emprendedor
Business Software;Software empresarial
Business Size;Tamaño de las empresas
Bookkeeping;Teneduría de libros
Behavioural Decision Theory;Teoría de la decisión conductual
ICT in business;TIC en la empresa
Exchange Rates;Tipo de cambio, tasa de cambio
European Union;Unión Europea
Sales;Ventas
Vision and Mission;Visión y misión

