Special Educational Needs;Necesidades educativas especiales
Access;Acceso
Bullying;Acoso
Environment;Ambiente
Anxiety;Ansiedad
Attention;Atención
Self-esteem;Autoestima
Self-harming;Autolesión
Behavior;Comportamiento, conducta
Communication;Comunicación
Awareness & management of others;Conocimiento y manejo de los demás
Awareness & management of self;Conocimiento y manejo de uno mismo
Curriculum;Currículo
Curriculum P1 - P3;Currículo P1 – P3
Curriculum P4 - P7;Currículo P4 – P7
Curriculum P8 - L2;Currículo P8 – L2
Hearing impairment;Deficiencia auditiva
Cognitive impairment: Moderate learning difficulties (MLD);Deficiencia cognitiva: Dificultades de aprendizaje moderadas (MLD)
Cognitive impairment: Severe learning difficulties (SLD);Deficiencia cognitiva: Dificultades de aprendizaje severas (SLD)
Physical impairments;Deficiencia motora
Visual impairment;Deficiencia visual
Depression;Depresión
Profound and multiple learning difficulties (PMLD);Dificultades de aprendizaje profundas y múltiples (PMLD)
Behavioral, emotional and social difficulties (BESD);Dificultades de conducta, emocionales y sociales (BESD)
Speech and language communication difficulties;Dificultades del habla y el lenguaje
Specific learning difficulties;Dificultades específicas de aprendizaje
Dyscalculia;Discalculia
Dysgraphia;Disgrafía
Dyslexia;Dislexia
Dyspraxia;Dispraxia
Well Being / Emotional Literacy;Educación para el bienestar / emocional
Articulation;Expresión
Curriculum extension;Extensión curricular
Physical;Física
Social skills;Habilidades sociales
Hyperactivity;Hiperactividad
Impulsivity;Impulsividad
Information;Información
Expressive language;Lenguaje  expresivo
Receptive language;Lenguaje receptivo
Behavior management;Manejo de la conducta
Anger management;Manejo de la ira
Communication modes;Modos de comunicación
Motivation;Motivación
Selective mutism;Mutismo selectivo
Organisation;Organización
Classroom organization;Organización del aula
Mental health issues;Problemas de salud mental
Projects;Proyectos
Rewards & sanctions;Recompensas y castigos
Sensory;Sensorial
Down's Syndrome;Síndrome de Down
Tourette's Syndrome;Síndrome de Tourette
Gifted and talented;Superdotados y talentosos
Therapy;Terapia
Tics;Tics
Sensory integration disorder;Trastorno de integración sensorial
Auditory processing disorder;Trastorno del procesamiento auditivo
Visual processing disorder;Trastorno del procesamiento visual
Obsessive compulsive disorder [OCD];Trastorno obsesivo-compulsivo [TOC]
Attention deficit / and hyperactivity disorder (ADD / ADHD);Trastorno por déficit de atención / con hiperactividad (TDA / TDAH)
Autism spectrum disorders (ASD) and Asperger Syndrome;Trastornos de espectro autista (TEA) y síndrome de Asperger
Eating disorders;Trastornos de la alimentación

