Africa;Aafrika
Asia;Aasia
Seasons;aastaajad
Atomic Absorption Spectroscopy;aatomi neeldumisspekter
Atomic structure;aatomi struktuur
Atoms – generally;aatomid – üldiselt
AC/DC;AC/DC
Adiabatic;adiabaatiline
Garden;aed
Space-Time Information;aegruumi informatsioon
Space-time symmetries ;aegruumi sümmeetriad
Gardening;aiandus
States of matter;ainete seisund
Brain;aju
Accelerometers;aktseleromeeter
Fields;Alad
Alpha radiation;alfakiirgus
Aliphatic Compounds;alifaatsed ühendid
Arachnid;ämblikulaadsed
Ampere's law;Amperi seadus
Analysis Tools;analüüsi vahendid
Analytical Chemistry;Analüütiline keemia
Anatomy;Anatoomia
Detectors;andurid
Detectors: CCD camera;andurid: CCD kaamera
Inorganic chemistry ;Anorgaaniline keemia
Antarctica;Antarktika
Antimatter ;antiaine
Development & quality of life;areng ja elukvaliteet
Differences in development within countries;arengu erinevused riigisiseselt
Factors influencing development;arengut mõjutavad faktorid
Breeding;aretamine
Aromatic Compounds;aromaatsed ühendid
Asexual reproduction;aseksuaalne paljundamine
Asteroids;asteroidid
Asteroid belt;asteroidide vöö
Astrobiology;astrobioloogia
Astrometry;astromeetria
Astronauts;astronaudid
Astronomy;Astronoomia
Location of settlements;asustus
Urban settlements;asustus linnades
Settlements: change;Asustus: muutused
Settlements: size/character/function;Asustus: suurus/iseloom/funktsioon
atmospheric phenomenon ;atmosfääri fenomenid
Atmospheric Pressure;atmosfääri rõhk
Atmospheres;atmosfäärid
Beta radiation;beetakiirgus
Binary stars;binaartähed
Biology;Bioloogia
Biomass;biomass
Biomes;bioomid
Biosphere;biosfäär
Biotechnology;biotehnoloogia
Biotope;biotüüp
Botany;Botaanika
Botany ;botaanika
Darwin;Darwin
Distillation;destillatsioon
Diffraction;difraktsioon
Dinosaur;dinosaurus
DNA;DNA
Doppler effect;Doppleri efet
Dynamic Shape;dünaamiline kuju
Dynamometers;dünamomeetrid
Einstein ring;Einsteini universum
Exo/endothermic;ekso-/endotermiline
Elastic collision;elastiline kollisioon
Electricity ;elekter
Electricity and magnetism;Elekter ja magnetism
Electricity generation/National Grid;elektri genereerimine / riigi võrgustik
Electrical quantities - generally;elektri kogus – üldiselt
Electrical energy ;elektrienergia
Electrical heating and costs;elektriküte ja maksumus
Electric charge - generally;elektrilaeng - üldiselt
Electric force;elektriline jõud
Electric motors;elektrimootorid
Electrical resistance/conductivity;elektritakistus / juhtimisvõime
Electric field;elektriväli
Electric current;elektrivool
Electrochemistry;elektrokeemia
Electrolysis;elektrolüüs
Electromagnetic field;elektromagnetiline väli
Electromagnetic spectrum;elektromagnetiline väli
Electromagnetism - generally;elektromagnetism – üldiselt
Electrons – generally;elektronid – üldiselt
Role of electrons in reactions;elektronide roll reaktsioonides
Electrostatic forces;elektrostaatilised jõud
Electrostatic phenomena and uses;elektrostaatilised nähtused ja kasutusviis
Elements;elemendid
Elliptical galaxy;elliptiline galaktika
Life processes;Eluprotsessid
Life cycle;elutsükkel
Energy;Energia
Energy ;Energia
Energy - using electricity;energia – elektri kasutamine
Energy transfer and storage;energia edasikanne ja talletamine
Energy and ecosystems;energia ja ökosüsteemid
Energy production and energy resources research;energia tootmine ja energia ressurside otsing
Energy resources;energiaallikad
Enzymes;ensüümid
Entropy;entroopia
Epithelial;epiteel
Separation - other;eraldamine – muu
Separation - generally;eraldamine – üldiselt
Stimulus and response;erguti ja tundlikkus
Erosion;erosioon
First scientific revolution;esimene teaduslik revolutsioon
European Union;Euroopa Liit
European countries outside the European Union;Euroopa riigid väljaspool Euroopa Liitu
Evolution - generally;Evolutsioon – üldiselt
Phase;faas
Phases;faasid
Pharmaceutics;farmaatsia
Filtration;filtreerimine
fossil ;fossiil
Fossil resources - generally;fossiilide ressursid – üldiselt
Fossil fuels;fossiilküte
Photography and cinematography;fotograafia ja kinematograafia
Photosynthesis;fotosüntees
Foucault pendulum;Foucaulti pendel
Physics;Füüsika
Physical chemistry;Füüsikaline keemia
Physical constants ;füüsikalised konstandid
Physical patterns;füüsilised mustrid
Physical changes;füüsilised muutused
Physical processes;füüsilised protsessid
Gas;gaas
Gas pressure and diffusion;gaasi rõhk ja difusioon
Galaxies and Dwarf galaxies;galaktikad ja kääbusgalaktikad
Intergalactic medium;galaktikatevaheline meedium
Galactic wind;galaktiline tuul
Gamma radiation;gammakiirgus
Gamma rays;gammakiirgus
Gamma ray bursts;gammakiirte pursked
Genetic engineering;geenitehnoloogia
Genetics;geneetika
Generators and transformers;generaatorid ja transformaatorid
Genome;genoom
Geophysical environment;geofüüsikaline keskkond
Geography;Geograafia
Geography and Earth Science;Geograafia ja maateadus
Geographical distribution of economic activity;geograafiline jaotus ökonoomilises tegevuses
Geographical variations in weather & climate;geograafiline muutlikkus ilmas ja kliimas
Topical geographical issues;geograafilised teemad teemad kaupa
geology ;geoloogia
geological phenomenon ;geoloogiline nähtus
Geomorphological processes - general information;geomorfoloogia protsess – üldine informatsioon
geomorphologic phenomenon ;geomorfoloogiline nähtus
Giants;gigandid
GIS;GIS
Global distribution of tectonic activity;globaalne jaotus tektoonilises aktiivsuses
Global scale;globaalne skaala
Gravitational field;gravitatsiooni väli
Gravitational force and gravity;gravitatsioonijõud ja gravitatsioon
Gravitational lenses;gravitatsiooniläätsed
Open clusters;hajusparved
Halogens;halogeenid
Halos;halonähtused
Teeth;hambad
Acids, alkalis and bases;happed, alkaloidid ja alused
Acid rain ;happevihm
Education for sustainable development ;haridus jätkusuutliku arengu välja töötamiseks
Endangered species;hävimisohus liigid
Light curve;heleduskõver
Sound;Heli
Sound sources;heli allikad
Properties of sound - generally;heli seaded – üldiselt
Pitch;helikõrgus
Sound techniques;helitehnikad
Loudness;helitugevus
Hertzsprung-Russell diagram;Hertzsprung-Russeli diagramm
Heterocyclic Compounds;heterotsüklilised ühendid
Higgs particle ;Higgsi osake
HII region;HII regioon
Friction;hõõrdumine
Horizontal throw;horisontaalne vise
Horology;horoloogia
Hubble expansion;Hubble edasiarendus
Hydroelectric power plant ;hüdroelektrijaam
Everyday materials;igapäevased materjalid
Weather;ilm
Climatic phenomenon ;ilmastiku nähtused
Mammal;imetaja
Impulse;impulss
Conservation of momentum;impulsside säilitamine
Inertia;inerts
Moment of inertia;inertsimoment
Inflation;inflatsioon
Information transmission, analogue and digital signals;informatsiooni üleanne, analoogid ja digitaalsed signaalid
Infrared;infrapuna
Human health: teeth;Inimese tervis: hambad
Human health: smoking;Inimese tervis: suitsetamine
Humans and animals;Inimesed ja loomad
Human patterns;inimeste käitumismustrid
Human influences on ecosystems;inimeste mõju ökosüsteemidele
Human processes;inimeste protsessid
Insulin;insuliin
Ionic bonds;ioonsidemed
Isothermal;isotermiline
Isovolumetric ;isovolumeetriline
Waste management ;jäätmekäitlus
Rigid body;jäik keha
Lake ;järv
Rivers;jõed
Drinking water;joogivesi
Forces and motion;Jõud ja liikumine
Combining forces;jõudude ühendamine
Conduction, convection and evaporation;juhtivus, konvektsioon ja aurustumine
Root hair;juurekarvad
Mains electricity - generally;kaablite elekter – üldiselt
Mains electricity safety;kaablite elektri ohutus
Weight;kaal
Maps & plans;kaardid ja plaanid
Atlases;kaardikogud
Mining;kaevandamine
Mining ;kaevandamine
Amphibian;kahepaikne
Conservation and dissipation;kaitse ja hajumine
Fish ;kala
Fishery;kalandus
Calorimeters ;kalorimeeter
cartography;kartograafia
Useful materials and products;Kasulikud materjalid ja tooted
Greenhouse effect ;kasvuhoone efekt
Catalysts;katalüsaatorid
Catastrophe ;katastroof
Goods & services;kaubad ja teenused
Remote Laboratories;kauglaboratooriumid
Tongue;keel
Chemical Reactions;Keemia reaktsioonid
Chemical Kinetics;keemiline kineetika
Chemical Thermodynamics;keemiline termodünaamika
Chemical changes;keemilised muutused
Kepler's laws;Kepleri seadus
Ceramics production;keraamika tootmine
Globes;kerad
Globular clusters;kerasparved
Environment;keskkond
Environment ;Keskkond
Environmental issues;keskkonna küsimused
Environmental Education;Keskkonnaharidus
Environmental education ;keskkonnaharidus
Environmental protection;Keskkonnakaitse
Environmental protection ;keskkonnakaitse
Central field;keskmine ala
stratum;kiht
Accelerators;kiirendi
Accelerators & beams ;kiirendid ja kiired
Acceleration;kiirendus
Radiation;kiirgus
Radiation transfer;kiirguse ülekanne
Velocity;kiirus
Kinetic energy;kineetiline energia
Writing ad press;kirjutamine ja ajakirjandus
Fossil fuels;kivimite kütused
Fossil resources - generally;kivimite ressursid – üldiselt
Rock types;kivimite tüübid
Useful substances from rocks & minerals;kivimitest ja mineraalides sisalduvad kasulikud ained 
Useful substances from rocks and minerals;Kivimitest ja mineraalidest saadud kasulikud ained
Fossil record;kivistis
Glass production;klaasi tootmine
Classification/keys;klassifikatsioonid/võtmed
Climate;kliima
Climate ;Kliima
Climatic phenomenon ;kliima fenomen
Climatic influences on ecosystems;kliima mõju ökosüsteemidele
Cloning, selective breeding and genetic engineering;kloonimine, selektiivne aretus ja geenitehnoloogia
Domestic animal;koduloom
Domestic appliances;kodused seaded
Tissues;koed
Local scale;kohalik skaala
Sound ;kõla
Collision;kollisioon
Comets and meteors;komeedid ja meteoriidid
Conservative force field;konservatiivne jõuväli
Coordinates;koordinaadid
Desert ;kõrb
High Energy Physics;Kõrge energia füüsika
Irregular galaxy;korrapäratu galaktika
The ear;kõrv
Extraterrestrial life;kosmiline elu
Cosmic background radiation;kosmiline taustkiirgus
Cosmic rays;kosmilised valgusvihud
Cosmology;kosmoloogia
Space ships;kosmoselaevad
Space flight;kosmoselend
Covalent bonds;kovalentsed sidemed
Crater;kraater
Chromatography;kromatograafia
Chromosomes;kromosoomid
Kuiper belt objects;Kuiperi vöö
Coulomb law;Kuloni seadus
Moon;Kuu
Phases of the Moon;kuufaasid
Hearing - generally;kuulamine – üldiselt
Hearing: noise;kuulamine: müra
Audible ranges;kuuldavad vahemikud
Lunar eclipse;kuuvarjutus
Quantum Chemistry;kvantkeemia
Quarks & hadrons ;kvargid ja hadronid
Quasars;kvasarid
Laboratory glassware;laboratooriumi klaasnõud
Laboratory measuring instruments, including sensors and meters;laboratooriumi mõõduvahendid, sisaldades sensoreid ja mõõtjaid
Laboratory equipment – generally;laboratooriumi varustus – üldiselt
Deposition;ladestumine
Charge;laeng
Charged particle acceleration ;laetud osakeste kiirendi
Solubility;lahustuvus
Wave characteristics - generally;laine iseloom – üldiselt
Wave frequency;laine sagedus
Wave amplitude;laine ulatus
Waves;Lained
Wave speed;lainekiirus
Wavelength;lainepikkus
Nitrogenous fertilizers;lämmastikväetis
Alkali metals;leelismetallid
Leaf;leht
Leptons ;leptonid
Flower;lill
Bird;lind
Milky Way;linnutee
Tides;looded
Natural phenomenon ;looduslik nähtus
Natural resources;looduslikud ressursid
Natural resources ;looduslikud ressursid
Natural resources ;Loodusressursid
Animal;loom
Lorentz force;Lorentzi jõud
South & Central America;Lõuna - ja Kesk-Ameerika
Meadow;luht
Luminescent;luminestseeriv
Earth;Maa
Near-earth objects;Maa lähedal asuvad objektid
exploration of the earth ;Maa uurimine
Land use;maakasutus
Rural settlements;maakohtade asustus
Landscape;maastik
Earth science;Maateadus
