16th c. Music;16. saj muusika
17th c. Music;17. saj muusika
18th c. Music;18. sajandi muusika
19th c. Music;19. sajandi muusika
20th c. Music (contemporary);20. saj muusika
A;A
Music from Africa;Aafrika muusika
Music from Asia;Aasia muusika
Time Signature;aja signatuur
Chord;akord
Acoustics;akustika
Alto;alt
Music from the Americas;Ameerika muusika
Ensemble;ansambel
Arena;areen
Aristoxenos;Aristoxenos
Ars antique;Ars antique
Ars Nova;Ars Nova
Computer-enhanced Music;arvuti poolt täiustatud muusika
Computer Music;arvutimuusika
Auditorium;auditoorium
Music from Australasia;Austraalia muusika
B;B
Bach;Bach
Ballet Music;ballett
Banjo;banjo
Baroque Period;Barokk
Basso;bass
Bass Drum;basstrumm
Beethoven;Beethoven
Bizet;Bizet
Boccherini;Boccherini
Borodin;Borodin
Bruckner;Bruckner
Byzantine era;Bütsantsi ajastu
Byrd;Byrd
Byzantine Hymnography;Byzantine
C;C
Callas;Callas
Claudio Monteverdi;Claudio, Monteverdi
Clementi;Clementi
Corelli;Corelli
Couperin;Couperin
D;D
Debussy;Debussy
Ti;di
Bar  ;diagramm
Digital Audio Recorder;digitaalne audio salvestaja
Digital sound recording;digitaalne heli salvestamine
Digital sound editing;digitaalse kõla muutmine
Dissonant and Consonant Chords;dissonantsed ja konsonantsed akordid
Do;do
Dolby surround;Dolby surround
Dominant 7th's;Dominant 7
Donizetti;Donizetti
Duo;duo
Dvořák;Dvořák
Jazz Music;džäss
E;E
Progression ;edasiminek
Live performance;elav esitus
Electric guitar;elektrikitarr
Electric Bass;elektriline bass
Electronic Music;elektrooniline muusika
Elgar;Elgar
Performing/controlling sounds;Esitlus / helide kontrollimine
Ethnomusicology;etnomusikoloogia
Music from Europe;Euroopa muusika
F;F
Fa;fa
Bassoon;fagott
Film music;filmimuusika
Flute;flööt
Phonetics;foneetika
Phonology;fonoloogia
Fortepiano / Pianoforte;fortepiano / pianoforte
Fugue;fuuga
Physics;Füüsika
G;G
Gong;gong
Gregorian chant;Gregoriuse laul
Grieg;Grieg
Voice;hääl
Using the voice;hääle kasutamine
Tuning;häälestus
Handel;Handel
Harp;harf
Rehearsing;harjutamine
Harmonics;harmoonika
Harmonic Intervals;harmoonilised intervallid
Haydn;Haydn
Sound analysis;heli analüüs
Sound recognition;heli ära tundmine
Sound oscillator / Envelope;heli ossillaator / ümbrik
Sound spectrum;heli spekter
Sound retrieval;heli taastamine
Controlling sounds;helide kontrollimine
Pitch;helikõrgus
Pitch ;helikõrgus
Pitch/melody;helikõrgus / meloodia
Mute;helitu
Late Romantic era;Hilisromantiline ajastu
Holst;Holst
Hummel;Hummel
Creating & developing ideas;ideede loomine
Improvising;improviseerimine
English Horn;inglise sarv
Human;Inimene
Instruments & performers;instrumendid ja esitajad
Instrument building / making;instrumentide ehitamine / tegemine
Playing instruments: sounds & techniques;Instrumentidel mängimine: hääled ja tehnikad
Intervals;intervallid
Track;jälg
Sequencer;järgnevuse leidja
Sharp;järsk
Johann Christian Bach;Johann Christian Bach
Double Accidental;juhuslik topelt
Contemporary;Kaasaeg
Eighth note rest;kaheksanda noodi sisestuskoht
Quaver rest;kaheksandiknoodi sisestuskoht
Quaver;kaheksandiknoot
Eighth note  ;kaheksas noot
Kalomiris;Kalomiris
Chamber Music;kammermuusika
Chamber Music ;kammermuusika
Chamber Music Hall;kammermuusika hall
Zither;kannel
Castanet;kastanjetid
Strings;Keelpillid
String Quartet;Keelpillikvartett
Bell;kell
Medieval/Middle Ages;Keskaeg
Middle Romantic era;Keskromantiline ajastu
Presto ;kiiresti
Church;kirik
Guitar;kitarr
Keyboards;Klahvpillid
Clarinet;klarnet
Classical Music;klassikaline muusika
Classical Period;Klassikaline periood
Piano;klaver
Harpsichord;klavessiin
Clavichord;klavikord
Koehler;Koehler
Thirty-second note ;kolmekümne teine noot
Thirty-second note rest;kolmekümne teise noodi sisestuskoht
Demisemiquaver rest;kolmekümnekahendiknoodi sisestuskoht
Demisemiquaver;kolmekümnekahendiknoot
Triplet;kolmikud
Composing, creating & developing;Kompositsioon, loomine
Conservatory of Music;konservatoorium
Context;Kontekst
Contrabassoon;kontrabass
Contrapunto;kontrapunkt
Concert Hall;kontserdihall
Concerto;kontsert
School;kool
Choir;koor
Staff;koosseis
Repeat Sign;kordusmärk
Treble ;kõrged toonid
Cornet;kornet
Arranging/accompaniments;korraldamine / saade
Korsakov;Korsakov
Earphones;kõrvaklapid
Chromatic Scale;kromaatiline skaala
Glockenspiel;ksülofon
Xylophone;ksülofon
Sixty-fourth note rest;kuuekümne neljanda noodi sisestuskoht
Sixty-fourth note  ;kuuekümne neljas noot
Hemidemisemiquaver ;kuuekümneneljandiknoot
Sixth and Ninth Chords;kuues ja üheksas akord
Sixteenth note;kuueteistkümnediknoot
Semiquaver;kuueteistkümnendiknoot
Quartet ;kvartett
