Absolute frequency;Absoluutne sagedus
Affine function;Afiinne funktsioon
Lower bound;Alamtõke
Primes;Algarvud
Distribution of primes;Algarvude jaotus
Algebra;Algebra
Algebra and Number Theory;Algebra ja numbriteooria
Algebraic calculation;Algebralik arvutamine
Algebraic calculation;Algebraline arvutamine
Algebraic expression;Algebraline avaldis
Algebraic Manipulation;Algebraline Manipulation
Algebraic Manipulation;Algebraline manipulatsioon
Algebraic calculation;Algebralised arvutused
Algorithms;Algoritmid
Analysis;Analüüs
Data analysis;Andmeanalüüs
Data;Andmed
Graphical display of data;Andmete graafiline näitamine
Graphical display of data;Andmete graafiline visualiseerimine
Data collect;Andmete kogumine
Archimedean solid;Arhimeedilised kehad
Arithmetic;Aritmeetika
Arithmetic Sequence;Aritmeetiline jada
Number Concepts;Arusaamine arvudest
Fallacy;Arutlusviga
Number;Arv
Cardinal number;Arvsõna
Ratio of numbers;Arvtegur
Number Theory;Arvuteooria
Mathematics for Computer;Arvutialane matemaatika
CAS;Arvutialgebra süsteem (CAS)
Computer Arithmetic;Arvutiaritmeetika
Power;Aste
Skewness;Asümmeetriakoefitsent
Expression;Avaldis
Ampliation;Avardamine
Bisector-Plane;Bisektortasand
Cartesian coordinates;Cartesiuse koordinaadid
Deductive method;Deduktiivmeetod
Deductive method;Deduktiivne meetod
Derivative;Derivatiiv
Diagram;Diagramm
Data chart features;Diagrammandmete funktsioonid
Local and global description of a plot;Diagrammi kohalik ja globaalne kirjeldus
Construction of a plot;Diagrammi koostamine
Plots;Diagrammid
Pigeonhole Principle;Dirichlet' printsiip
Discrete random variable;Diskreetne juhuslik muutuja
Dodecahedron;Dodekaeeder
Dynamic interactive geometry environments;Dünaamilise geomeetria keskkonnad
Experiments;Eksperimendid
Exponential function;Eksponentfunktsioon
Sample space;Elementaarsündmuste hulk
Ellipse;Ellips
Equation of an ellipse;Ellipsi võrrand
Multiple chart;Erinevad diagrammid
Fibonacci Sequence;Fibonacci jada
Functional Analysis;Funktionaalanalüüs
Function plot features;Funktsionaaldiagrammide omadused
Function;Funktsioon
Graphical representation of function;Funktsiooni graafiline kujutamine
Graphical Representation of Function;Funktsiooni kujutamine graafikul
Function attribute;Funktsiooni omadus
Wording of a function;Funktsiooni sõnastus
Formula of a function;Funktsiooni valem
Function Topic;Funktsiooniteema
Geometry;Geomeetria
Geometric Sequence;Geomeetriline jada
Solid objects;Geomeetrilised kujundid
Simple solid objects;Geomeetrilised primitiivid
Global Analysis;Globaalanalüüs
Graphing Calculator;Graafiline kalkulaator
Graphing Techniques;Graafilised meetodid
Graph Theory;Graafiteooria
Gradient;Gradient
Gradient Vector;Gradientvektor
Harmonic Analysis;Harmooniline analüüs
Sets and Set Operations;Hulgad ja tehteud hulkadega
Set Theory;Hulgateooria
Polyhedron deformation;Hulktahuka deformatsioon
Polyhedron decomposition;Hulktahuka dekompositsioon
Polynomial function;Hulktahuka funktsioon
Polynomial graph;Hulktahuka graaf
Polyhedron dualize;Hulktahuka kahekordistamine
Polyhedron composition;Hulktahuka kompositsioon
Polyhedron movement;Hulktahuka liigutamine
Polyhedron transformation;Hulktahuka muutmine
Polyhedron unfold;Hulktahuka pinnalaotus
Polyhedron truncating;Hulktahuka tömbistamine
Polyhedron;Hulktahukas
Hyperbola;Hüperbool
Hyperbolic function;Hüperboolsed funktsioonid
Hypothesis;Hüpotees
Identity;Identsus
Real world problem;Igapäevane probleem
Real world problem;Igapäevase probleemi lahendamine
Icosahedron;Ikosaeeder
Inductive method;Induktiivne meetod
Engineering Mathematics;Insenerimatemaatika
Integral Transforms;Integraalide transformatsioon
Interpolation;Interpolatsioon
Irrational Number;Irratsionaalarv
Irrational Number;Irratsionaalarvud
Remainder;Jääk
Sequence;Jada
Dividend;Jagatav
Divisibility;Jagatavus
Quotient;Jagatis
Divisibility;Jaguvus
Ordinal numbers;Järgarv
Line chart;Joondiagramm
Equation of curve;Joone võrrand
Construct with ruler and compass;Joonlaua ja sirkli kasutamine
Ruler;Joonlaud
Random variable;Juhuslik muutuja
