What if scenarios, ICT in action;„aga kui“ stsenaariumid, IKT tegevuses
History & development of ICT;ajalugu ja IKT loomine
Algorithm;algorütm
Creating database;andmebaasi loomine
Database terminology & definitions;andmebaasi terminoloogia ja definitsioonid
Databases;andmebaasid
Databases management;andmebaaside haldamine
Database stucture;andmebaaside struktuur
Data protection act;andmekaitse toiming
Data presentation;andmete esitlus
Data representation;andmete esitlus
Interpretation of data;andmete interpretatsioon
Use & misuse of data;Andmete kasutamine ja väärtarvitamine
Data collection;andmete kogumine
Data Encryption;andmete krüpteerimine
Data concepts;Andmete mõisted
Data capture;andmete püüdmine
Data logging;andmete registreerimine
Datalogging;andmete regitreerimine
Planning what data to record;andmete salvestamise planeerimine
Entering data;andmete sisestamine
Storing & retrieving data;andmete talletamine ja vastuvõtt
Data Security;andmete turvalisus
Misuse of data;andmete väärkasutus
Data processing;andmetöötlus
Animation;animatsioon
Archive;arhiiv
Considering 'what if...?'/predicting;arvesse võttes „Mis siis kui..?“ / ennustamine
Numbers;arvud
Computer architecture;Arvuti arhitektuur
Computer functional scheme;arvuti funktsionaalne skeem
Computer addition;arvuti lisa
Connecting computer parts;arvuti osade ühendamine
Computer application;arvuti rakendus
Computer game;arvutimäng
Computer literacy;arvutioskus
Building computers & networks;arvutite ehitamine ja võrgustikud
Computer science;arvutiteadus
Finding things out;Asjade leidmine
Audio;audio
Automating events;automaatsed üritused
Automation;automatiseerimine
Copyright;autoriõigus
Public information systems;Avalikud infosüsteemid
Open Source;avatud lähtekoodiga
Number bases;baaside arv
Bibliography;bibliograafia
Biotechnology;biotehnoloogia
Blu-Ray;Blu-Ray
Bool algebra and logical sets;Boole`i algebra ja loogilised hulgad
CD-ROM;CD-ROM
Computer-assisted-instruction (CAI software);Computer-assisted-instruction (CAI tarkvara)
CSS;CSS
Diagrams;diagrammid
Digital citizens;digitaalkodanikud
Digital literacy;digitaalne kirjaoskus
Digital presentations;digitaalsed esitlused
Digital cameras;digitaalsed kaamerad
Digital scanners;digitaalsed skännerid
Digital Products;Digitaalsed tooted
Integration of digital products;digitaalsete toodete integratsioon
Design;disain
Floppy Drive;disketidraiv
Documentiation;dokumentatsioon
DVD-ROM;DVD-ROM
Electronic journal;E-ajakiri
Advantages & disadvantages;eelised ja puudused
Screen;ekraan
Electronic journal;elektrooniline ajakiri
Electronic day books;elektroonilised päevaraamatud
E-mail;E-post
E-book readers & other gadgets;e-raamatute lugejad ja teised vahendid
Presentation software;esitluse tarkvara
Faxes;faksid
Fantasy;fantaasia
File transfer protocol (FTP);file transfer protocol (FTP)
Functional skills;Funktsionaalsed oskused
Graphics and sounds;Graafika ja helid
Graphics;graafikud
Voice/fax/data modems;hääl / faks / modem
Hacking;häkkimine
Sound;heli
Sounds;helid
Latest digital products;hiljutised digitaalsed tooted
HTML;HTML
Hypermedia;hüpermeedia
Identification theft;identiteedi vargus
Identity Hacking;identiteedi vargus
Everyday use;igapäevane kasutamine
ICT;IKT
Stepping back from ICT;IKT eemaldumine
ICT & me;IKT ja mina
Reliance on ICT & risk assessment;IKT ja riskide hinnangu usaldusväärsus
Using ICT;IKT kasutamine
Applying ICT in other contexts;IKT lisamine teistesse kontekstidesse
Impact of ICT;IKT mõju
Reflecting on ICT in society;IKT peegeldamine ühiskonda
ICT in society;IKT ühiskonnas
Reviewing and reflecting critically on what people produce using ICT;IKT vahendeid kasutavate inimeste poolt jagatava info ülevaatamine ja kriitiline kajastamine
ICT tools;IKT vahendid
ICT tools – generally;IKT vahendid – üldiselt
ICT tools: database;IKT vahendid: andmebaas
ICT tools: datalogging software;IKT vahendid: andmesisestuse tarkvara
ICT tools: spreadsheet;IKT vahendid: arvutustabel
ICT tools: bitmap graphics software;IKT vahendid: bitmapi graafikute tarkvara
ICT tools: presentation software;IKT vahendid: esitluse tarkvara
ICT tools: control software;IKT vahendid: kontrolli tarkvara
ICT tools: multimedia authoring software;IKT vahendid: multimeedia autoriseerimise tarkvara
ICT tools: music & sound software;IKT vahendid: muusika ja heli tarkvara
ICT tools: adventure games/simulations;IKT vahendid: seiklusmängud / simulatsioonid
ICT tools: word processor;IKT vahendid: tekstitöötlusprogramm
ICT tools: desktop publishing (DTP);IKT vahendid: töölaual avaldamine (DPT)
ICT tools: web authoring software;IKT vahendid: veebi autoriseerimise tarkvara
ICT tools: web browser;IKT vahendid: veebibrauser
ICT tools: vector graphics program;IKT vahendid: vektori graafika diagrammid
ICT opportunities;IKT võimalused
Reading for information;info lugemine
Informational website design;informatiivne veebilehe disain
Information;Informatsioon
Information ;informatsioon
Information source;informatsiooni allikas
Presentation of information & data;informatsiooni ja andmete esitlus
Information literacy;informatsiooni kirjutamise oskus
Collecting information;informatsiooni kogumine
Information Owner;informatsiooni omaja
Information skills;informatsiooni oskused
Record information/data using ICT;informatsiooni salvestamine / IKT andmete kasutamine
Synthesising information;informatsiooni süntees
Interpret information;informatsiooni tõlgendamine
Interpreting information;informatsiooni tõlgendamine
Information Security Guidelines/Policy/Plan/Risk Assessment;informatsiooni turvalisuse juhised / poliitika / plaan / riskianalüüs
Information network;informatsiooni võrgustik
Information system;infosüsteem
Information processing;infotöötlus
Infrared communications;infrapuna suhtlus
Instructions;instruktsioonid
Interactive digital display design;interaktiivne digitaalse ekraani disain
Interactive material;interaktiivne materjal
Internet;Internet
The Internet: searching and interpreting;Internet: otsing ja tõlgendamine
Internet searching;interneti otsing
Internet service providers;interneti teenused
Internet based entertainment;internetil põhinev meelelahutus
Interoperabiloty;interoperabiilsus
jQuery;iQuery
Working independently;iseseisvalt töötamine
Impact of IT on communications;IT infovahenduse mõju
Using IT safely;IT turvaline kasutamine
Share ideas;jaga ideid
Sequencing;järgnevuste loomine
Collate, analyse & evaluate information/data using ICT;järjesta, analüüsi, hinda informatsiooni / andmete kasutamine IKTs
Java;Java
JavaScript;JavaScript
Maps and plans;kaardid ja plaanid
Character;karakter
Benefits & problems of data collection;kasud ja andmete kogumise probleemid
Benefits & problems;kasum ja probleemid
Use text, tables, images and sound to develop ideas;kasuta teksti, tabeleid, pilte ja heli, et ideid luua
Cataloguing;kataloogimine
Draft/manipulate information/data using ICT;Kavand / manipuleeriv informatsioon / IKT andmete kasutamine
Language;keel
Disk drive/hard disk;kettadraiv / kõvaketas
Classification;klassifikatsioon
Keyboard Mouse;klaviatuuri hiir
Customer service;klienditeenindus
Coding;kodeerimine
Local data collection & holding;kohalike andmete kollektsioon ja säilitamine
Local Area Network;kohtvõrk
Communications & entertainment;Kommunikatsioon ja meelelahutus
Confidentiality issues;konfidentsiaalsed küsimused
Contextualised use of text/image processing;kontekstis vaadeldud teksti kasutus / pilditöötlus
Controlling;kontrollimine
Control technology;kontrollimise tehnoloogia
Control concepts;Kontrollivad mõisted
Assembler;koostaja
Collaboration;koostöö tegemine
High level programming languages;kõrge tasemega programmeerimiskeeled
Critical evaluation;Kriitiline hindamine
Cryptography;krüptograafia
Cyberbullying;küberkiusamine
Asking questions & querying data;küsimuste küsimine ja andmete kogumine
Quality & accuracy;kvaliteet ja täpsus
Wide Area Network;laia ala võrgustik
Laser printers;laserprinter
Lexis;leksika
Access Control;ligipääsu kontroll
Access Control List;ligipääsu kontrolli nimekiri
Access Rights;ligipääsu õigused
Simple networking;lihtne võrgustiku loomine
