Brainstorming/Listing;ajurünnak / loetlemine
Listening Actively;aktiivne kuulamine
Activating / Generating Knowledge;aktiviseerimine / teadmiste genereerimine
Publishing;avaldamine
Identifying Purpose / Audience;eesmärgi identifitseerimine / kuulajaskond
Making Predictions;ennustamine
Performing;esitlemine
Performance / Production;esitlus / tootmine
Grammar ;Grammatika
Evaluating / Criticizing Speech / Production;hindamine / kõne kritiseerimine / lavastamine
Organizing Ideas for Writing Activities;Ideede genereerimine kirjutamistegevuste jaoks
Writing Fiction;ilukirjanduse kirjutamine
Independent Reading;iseseisev lugemine
Sharing;jagamine
Sharing / Collaborating;jagamine / koostöö tegemine
Rereading;järellugemine
Sequencing / Outlining / Storyboarding;järgnevuste loomine/ visandamine / süžeeskeemi loomine
Usage;kasutus
Drafting;kavandamine
Language Errors;keelevead
Literature Reading;kirjanduse lugemine
Literature Circles / Book Clubs;kirjandusringid / raamatuklubid
Spelling;kirjapilt
Descriptive Analysis;kirjeldav analüüs
Writing;Kirjutamine
During Writing Activities;Kirjutamisaegsed tegevused
Pre-Writing Activities;Kirjutamiseelsed tegevused
Summarizing;kokkuvõtte tegemine
Consulting Resources;konsultatsiooni allikad
Conferencing;konverentsi kavandamine
Higher-order Webbing / Clustering;kõrgemat järku „webbing“ / klastrite loomine
Critical Analysis / Reflection;kriitiline analüüs 
Quizzing / Testing;küsitlemine / testimine
Listening;Kuulamine
During Listening activities;Kuulamistegevuste aegsed tegevused
Sentence Composing;lause loomine
Sentence Analysis;lausete analüüs
Reading;Lugemine
During Reading Activities;Lugemisaegsed tegevused
Pre-Reading Activities;Lugemiseelsed tegevused
Note Taking;märkmeid tegema
Doodling;märkuste kirjutamine
Mechanics;mehaanika
Multimodal / Multimedia Interaction;multimodaalne / multimeedia vastastikune mõju
Listening Passively;passiivne kuulamine
Speaking;Rääkimine
Speaking / Speech;rääkimine / kõne
Semantic Analysis;semantiline analüüs
Completing Scales;skaalade täitmine
Word Analysis;sõnade analüüs
Vocabulary;Sõnavara
Vocabulary Analysis;sõnavara analüüs
Vocabulary Use;sõnavara kasutamine
Vocabulary Awareness;sõnavara oskus
Sustained Silent Reading;stabiilne vaikne lugemine
Style / Error Analysis;stiil / vigade analüüs
Directed / Guided Reading;suunatud / juhendatud lugemine
Writing Nonfiction;teadusliku kirjanduse kirjutamine
Nonfiction Reading;teadusliku kirjanduse lugemine
Dramatic Reading / Reader’s Theater;teatraalne lugemine /lugeja teater
Post-Writing Activities;Tegevused pärast kirjutamist
Post-Reading Activities;Tegevused pärast lugemist
Post-Speaking activities;Tegevused pärast lugemist
Code Switching;teisele keelele üleminek
Writing Other Forms of Text;teiste teksti vormide kirjutamine
Reading Other Forms of Text;teiste tekstivormide lugemine
Creating Text-Related Artifacts;tekstiga seotud faktide loomine
Whole Class Literature Study;terve klassi kirjanduse tund
Editing;toimetamine
Translation;tõlge
Revising;ümber töötamine
Reconstituting / Reconsidering Text;uuesti loo moodustamine / teksti uuesti läbi vaatamine
Researching;uuring
Freewriting / Guided Freewriting;vaba kirjutamine / suunatud vaba kirjutamine
Discussion;vestlus
Reading Discussion;vestlus loetu kohta
Foreign Language Learning;Võõrkeelte õppimine
Webbing / Clustering / Semantic Mapping;võrkude loomine / semantiline kaardistamine 
Choosing Form / Genre;vormide / žanrite valimine

