Dyscalculia ;dyscalculia
Dyspraxia ;dyspraxia
Sensory ;aisting
Gifted and talented ;Andekad
Anxiety ;ärevus
Articulation ;artikulatsioon
Autism spectrum disorders (ASD) and Asperger Syndrome;Autismi spektri häire (ASD) ja Aspergeri sündroom
Curriculum P1 - P3 ;Curriculum P1-P3
Curriculum P4 - P7 ;Curriculum P4-P7
Curriculum P8 - L2 ;Curriculum P8-L2
Depression ;depressioon
Down's Syndrome ;Down`i sündroom 
Dysgraphia ;düsgraafia
Dyslexia ;düsleksia
Self-harming ;enese vigastamine
Self-esteem ;enesehinnang
Special Educational Needs;Erikoolituse vajadused
Physical ;füüsiline
Physical impairments ;Füüsilised kahjustused
Well Being / Emotional Literacy;Heaolu / Emotsionaalne mõistmine
Hyperactivity ;hüperaktiivsus
Impulsivity ;impulsiivsus
Information ;informatsioon
Behavior ;käitumine
Behavior management ;käitumisravi
Behavioral, emotional and social difficulties (BESD) ;Käitumuslikud, emotsionaalsed ja sotsiaalsed raskused (BESD)
Environment ;keskkond
Specific learning difficulties;Kindlad õppimisraskused
Bullying ;kiusamine
Cognitive impairment: Moderate learning difficulties (MLD) ;Kognitiivne kahjustus: keskmised õpiraskused (MLD)
Cognitive impairment: Severe learning difficulties (SLD) ;Kognitiivne kahjustus: tõsised õpiraskused (SLD)
Speech and language communication difficulties ;Kõne ja keeleprobleemid suhtlemisel
Classroom organization ;korraldus klassiruumis
Auditory processing disorder ;kuuldud info töötlemise häire
Hearing impairment ;Kuulmiskahjustused
Access ;ligipääs
Tics ;liikumishäired
Mental health issues ;Mentaalsed terviseprobleemid
Motivation ;motivatsioon
Curriculum ;õppekava
Curriculum extension ;õppekava laiendus
Organisation ;organisatsioon
Rewards & sanctions ;preemiad ja sanktsioonid
Projects ;projektid
Selective mutism ;selektiivne tummus
Eating disorders ;söömishäired
Social skills ;sotsiaalsed oskused
Profound and multiple learning difficulties (PMLD) ;Sügavad ja arvukad õppimisraskused (PMLD)
Communication ;suhtlemine
Communication ;suhtlus
Communication modes ;suhtlusviisid
Obsessive compulsive disorder [OCD] ;sundusliku kinnismõtte häire (OCD)
Attention ;tähelepanu
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Tähelepanupuudus ja hüperaktiivsuse häire (ADD / ADHD) 
Awareness & management of self ;teadlikkus ja enda juhtimine
Awareness & management of others ;teadlikkus ja teiste inimeste juhtimine
Therapy ;teraapia
Tourette's Syndrome ;Tourette`i sündroom
Sensory integration disorder ;Tundlikud integratsiooni häired
Sensory ;tunnetuslik
Expressive language ;väljenduskeel
Receptive language ;vastu võetud keel
Anger management ;viharavi
Visual impairment ;Visuaalne kahjustus
Visual processing disorder ;visuaalne töötlushäire

