Music;Musiikki
Mozart; Mozart
Salieri; Salieri
Demisemiquaver;1/32-nuotti
Thirty-second note ;1/32-nuotti
Demisemiquaver rest;1/32-tauko
Thirty-second note rest;1/32-tauko
Hemidemisemiquaver ;1/64-nuotti
Sixty-fourth note  ;1/64-nuotti
Sixty-fourth note rest;1/64-tauko
16th c. Music;1500-luvun musiikki
17th c. Music;1600-luvun musiikki
18th c. Music;1700-luvun musiikki
19th c. Music;1800-luvun musiikki
20th c. Music (contemporary);1900-luvun musiikki (nykymusiikki)
A;A
Wave nodes;Aallon solmukohdat
Waves;Aallot
Waveforms;Aaltomuodot
Sound analysis;Äänen analysointi
Sound retrieval;Äänen haku
Sound spectrum;Äänen spektri
Sound recognition;Äänen tunnistus
Performing/controlling sounds;Äänten esittäminen/hallinta
Controlling sounds;Äänten hallinta
Internalising sounds;Äänten sisäistäminen
Music from Asia;Aasialainen musiikki
Music from Africa;Afrikkalainen musiikki
Creating & developing ideas;Ajatusten luominen & kehittäminen
Acoustics;Akustiikka
Flat;Alennusmerkki
Alto;Altto
Viola;Alttoviulu
Music from the Americas;Amerikkalainen musiikki
Ancient / Roman era;Antiikki / Rooman aika
Arena;Areena
Aristoxenos;Aristoksenos
Ars antique;Ars antique
Ars Nova;Ars nova
Appraising, responding & reviewing;Arviointi, reagointi & tarkastelu
Scale ;Asteikko
Auditorium;Auditorio
Music from Australasia;Australaasialainen musiikki
Bach;Bach
Ballet Music;Balettimusiikki
Banjo;Banjo
Baroque Period;Barokki
Basso;Basso
Bass Drum;Bassorumpu
Beethoven;Beethoven
Bizet;Bizet
Boccherini;Boccherini
Borodin;Borodin
Bruckner;Bruckner
Byrd;Byrd
Byzantine era;Bysantti
Byzantine Hymnography;Bysanttilainen hymnografia
C;C
Callas;Callas
Harpsichord;Cembalo
Claudio Monteverdi;Claudio Monteverdi
Clementi;Clementi
Corelli;Corelli
Couperin;Couperin
D;D
Debussy;Debussy
Digital sound editing;Digitaalinen äänen editointi
Digital Audio Recorder;Digitaalinen äänentallennin
Digital sound recording;Digitaalinen äänentallennus
Treble ;Diskantti
Do;Do
Dolby surround;Dolby surround
Dominant 7th's;Dominanttiseptimisointu
Donizetti;Donizetti
Duo;Duo
Major;Duuri
Major Scale;Duuriasteikko
Major Triads;Duurikolmisoinnut
Major chord;Duurisointu
Dvořák;Dvořák
E;E
Non-musical stimuli;Ei-musiikilliset ärsykkeet
Live performance;Elävä esitys
Electronic Music;Elektroninen musiikki
Elgar;Elgar
Film music;Elokuvamusiikki
English Horn;Englannintorvi
Ensemble;Ensemble
Rehearsing;Esityksen harjoitukset
Expression Marks;Esitysmerkit
Ethnomusicology;Etnomusikologia
Music from Europe;Eurooppalainen musiikki
F;F
Fa;Fa
Bassoon;Fagotti
Phonetics;Fonetiikka
Phonology;Fonologia
Fortepiano / Pianoforte;Fortepiano / Pianoforte
Fugue;Fuuga
Physics;Fysiikka
G;G
Gong;Gongi
Gregorian chant;Gregoriaaninen laulu
Grieg;Grieg
B;H
Handel;Händel
Practising;Harjoittelu
Harmonics;Harmonia
Harmonic Intervals;Harmoniset intervallit
Harp;Harppu
Haydn;Haydn
Holst;Holst
Flute;Huilu
Hummel;Hummel
Harmonica;Huuliharppu
Using the voice;Ihmisäänen käyttö
Human;Ihmisäänet
Voice;Ihmisääni
Improvising;Improvisointi
Instruments & performers;Instrumentit & esiintyjät
Playing instruments: sounds & techniques;Instrumenttien soittaminen: äänet & tekniikat
Intervals;Intervallit
Jazz Music;Jazz
Johann Christian Bach;Johann Christian Bach
String Quartet;Jousikvartetti
Strings;Jousisoittimet
Invert Triads;Käänteiskolmisoinnut
Tie ;Kaari
Cadence;Kadenssi
Eighth note  ;Kahdeksasosanuotti
Quaver;Kahdeksasosanuotti
Eighth note rest;Kahdeksasosatauko
Quaver rest;Kahdeksasosatauko
Loudspeaker;Kaiutin
Double Accidental;Kaksoisetumerkki
Kalomiris;Kalomiris
Chamber Music;Kamarimusiikki
Chamber Music ;Kamarimusiikki
Chamber Music Hall;Kamarimusiikkisali
Traditional Music;Kansanmusiikki
Castanet;Kastanjetit
Street music;Katumusiikki
French Horn;Käyrätorvi
Bell;Kello
Glockenspiel;Kellopeli
Repeat Sign;Kertausmerkki
Medieval/Middle Ages;Keskiaika
Linguistics;Kielitiede
Church;Kirkko
Guitar;Kitara
Clarinet;Klarinetti
Classical Period;Klassinen kausi
Classical Music;Klassinen musiikki
Clavichord;Klavikordi
Koehler;Köhler
Whole;Kokonainen
Whole note ;Kokonuotti
Whole Tone Scale;Kokosävelasteikko
Whole rest;Kokotauko
Concert Hall;Konserttisali
Concerto;Konsertto
