Social Studies;Yhteiskunta-oppi
Nobility;Aatelisto
Affect;Affekti
Agressiveness;Aggressiivisuus
Adultness;Aikuisuus
Acculturation;Akkulturaatio
Activism;Aktivismi
Activist;Aktivisti
Craftsman;Ammatinharjoittaja
Craft;Ammatti 
Trade Union;Ammattiliitto
Craftsmanship;Ammattitaito
Anthropology;Antropologia
Archaeology;Arkeologia
Army;Armeija
Scarnification;Arpeuttaminen
Scar;Arpi
Prestige;Arvovalta
Assimilation;Assimilaatio
Authenticity;Autenttisuus
Autochthony;Autoktonia
Divorce;Avioero
Marriage;Avioliitto
Assistance;Avustus
Biomedicine;Biolääketiede
Bio-power;Biovalta
Brand;Brändi
Degeneration;Degeneraatio
Decolonization;Dekolonisaatio
Democracy;Demokratia
Determinism;Determinismi
Detribalization;Detribalisaatio
Devolution;Devoluutio
Diffusionism;Diffusionismi
Discrimination;Diskriminointi
Dogma;Dogma
Doctrine;Doktriini
Ego;Ego
Exogamy;Eksogamia
Animality;Eläimellisyys
Animal;Eläin
Life;Elämä
Life-style;Elämäntapa
Elite;Eliitti
Organ;Elin
Emancipation;Emansipaatio
Emotion;Emootio
Endogamy;Endogamia
Energy;Energia
Prejudice;Ennakkoluulot
Altruism;Epäitsekkyys
Differentiation;Erilaistuminen
Ancestor worship;Esi-isien palvonta
Ethnicity;Etnisyys
Ethnodiversity;Etnodiversiteetti
Ethnography;Etnografia
Ethnomedicine;Etnolääketiede
Ethnolinguistic;Etnolingvistinen
Ethnology;Etnologia
Ethnometodology;Etnometodologia
Ethnocentrism;Etnosentrismi
Ethnoscience;Etnotiede
Evolution;Evoluutio
Femminism;Feminismi
Philanthropy;Filantropia
Focus Group;Fokusryhmä
Functionalism;Funktionalismi
Futurology;Futurologia
Georeference;Georeferointi
Globalization;Globalisaatio
Interview;Haastattelu
Governmentality;Hallinnallisuus
Administrative Sciences;Hallintotieteet
Government;Hallitus
Shame;Häpeä
Observation;Havainnointi
Fertility;Hedelmällisyys
Tribe;Heimo
Person;Henkilö
Monster;Hirviö
Cure;Hoito
Commodity;Hyödyke
Beneficence;Hyväätekevä
Welfare state;Hyvinvointivaltio
Identity;Identiteetti
Human Ecology;Ihmisen ekologia
Age;Ikä
Global Warming;Ilmaston lämpeneminen
Individualism;Individualismi
Initiation;Initiaatio
Inculturation;Inkulturaatio
Incest;Insesti
Institution;Instituutio
Integrationism;Integraatio
Internet;Internet
Egoism;Itsekkyys
Order;Järjestys
Membership;Jäsenyys
Gangs;Jengit
Leadership;Johtajuus
Crowd;Joukko 
Mass-communication;Joukkoviestintä
Struggle;Kamppailu
Cannibalism;Kannibalismi
People;Kansa
Nation;Kansakunta
Folk culture;Kansankulttuuri
Folklore;Kansanperinne
Charisma;Karisma
Artisanship;Käsityöläisammatti
Castration;Kastraatio
Educational Sciences;Kasvatustieteet
City;Kaupunki
Causalism;Kausalismi
Behaviour;Käyttäytyminen
Behavioural sciences;Käyttäytymistieteet
Body;Keho
Body and body-experiences ;Keho ja kehon kokemukset
Body-practice;Kehon harjoittaminen
Stratification;Kerroksellisuus
Middle-age;Keski-ikä
Central Administration;Keskushallinto
Linguistics;Kielitiede
Literacy;Kirjoituksellisuus
Mobbing;Kiusaaminen
Colonialism;Kolonialismi
Comparatism;Komparatismi
Conflict;Konflikti
Interest;Korko
Corporatism;Korporatismi
Integration;Kotouttaminen
School of thought;Koulukunta
Crisis;Kriisi
Xenophobia;Ksenofobia
Culture;Kulttuuri
Culture and Cultural Theory ;Kulttuuri ja kulttuuriteoria
Cultural Model;Kulttuurimalli
Cultural Theory;Kulttuuriteoria
Consumption;Kulutus
Honour;Kunnia
Death;Kuolema
Questionnaire;Kysely
Qualitative research;Laadullinen tutkimus
Doctor;Lääkäri
Medicine, health and sickness ;Lääketiede, terveys ja sairaus
Approach;Lähestymistapa
Gift;Lahja
Loan;Laina
Legislation;Lainsäädäntö
Law;Laki
Levirate;Leviraattiavioliitto
Liberism;Liberismi
Libertarianism;Libertarismi
Movement;Liike
Mobility;Liikkuvuus
Reproduction;Lisääntyminen
Logo;Logo
Class;Luokka
Biodiversity;Luonnon monimuotoisuus
Wild (-ness);Luonnontilainen (-tilaisuus)
Resources;Luonnonvarat
Nature;Luonto
Nature and environment;Luonto ja ympäristö
Confidence;Luottamus
Immigration;Maahanmuutto
Quantitative research;Määrällinen tutkimus
Countryside;Maaseutu
Emigration;Maastamuutto
Agriculture;Maatalous
Magic;Magia
Advertising;Mainonta
Landscape;Maisema
Marginality;Marginaalisuus
Marginalization;Marginalisaatio
Marxism;Marxismi
Mass;Massa
Material base;Materiaalinen perusta
Mechanisation;Mekanisaatio
Method;Metodi
Method and Methodology;Metodi ja metodologia
Methodology;Metodologia
Hunting;Metsästys
Opinion;Mielipide 
Survey;Mielipidetutkimus
Man;Mies
Male;Miespuolinen
Militia;Miliisi
Modernization;Modernisaatio
Modernism;Modernismi
Monarchy;Monarkia
Polygamy;Moniavioisuus
Multiculturalism;Monikulttuurisuus
Fashion;Muoti
Migration;Muuttoliike
Mythology;Mytologia
Myth;Myytti
Woman;Nainen
Female;Naispuolinen
Nationalism;Nationalismi
Naturalism;Naturalismi
Name;Nimi
Witchcraft;Noituus
Youth;Nuoruus
Law;Oikeus
Juridical System;Oikeusjärjestelmä
Jurisprudence;Oikeustiede
Legal Sciences;Oikeustieteet
Possession;Omaisuus
Orality;Oraalisuus
Organization;Organisaatio
Slavery;Orjuus
Stock;Osakkeet
Participant Observation;Osallistuva havainnointi
Decision-making;Päätöksenteko
Decision;Päätös
Local Administration;Paikallishallinto
Healing;Parantuminen
Family;Perhe
Tradition;Perinne
Traditional Knowledge;Perinnetieto
Heritage;Perintö
Heritage (Natural and Cultural);Perintö (luonnollinen ja kulttuurillinen)
Basis;Perusta
Founder;Perustaja
Fast-food;Pikaruoka
Police;Poliisi
Political life and organization ;Poliittinen elämä ja järjestäytyminen
Policy;Poliittinen linjaus
Politics;Politiikka
Popular;Populaari
Pornography;Pornografia
Bourgeoisie;Porvaristo
Post-modernism;Postmodernismi
Pragmatism;Pragmatismi
Primitive;Primitiivinen
Proxemics;Proksemiikka
Proletariat;Proletariaatti
Propaganda;Propaganda
Prostitution;Prostituutio
Psychology;Psykologia
Psyche;Psyyke
Sacred;Pyhä
Money;Raha
Trust;Rahasto
Finance;Rahoitus
Racism;Rasismi
Rationality;Rationaalisuus
Rationalism;Rationalismi
Rationalization;Rationalisointi
Relativism;Relativismi
Rite;Riitti
Possession;Riivaus
Crime;Rikollisuus
Criminality ;Rikollisuus
Role;Rooli
Race;Rotu
Foranging;Ruoan etsintä
Food;Ruoka
Body;Ruumis
Corpse;Ruumis (kuollut)
Group;Ryhmä
Pollution;Saastuminen
Hospital;Sairaala
Nursing;Sairaanhoito
Illness;Sairaus
Sickness;Sairaus
Secret Society;Salaseura
Hero;Sankari
Sexuality;Seksuaalisuus
Seniority;Senioriteetti
Soul;Sielu
Rite of passage;Siirtymäriitti
Mutilation;Silpominen
Social Geography;Sosiaalimaantiede
Social mobility;Sosiaalinen liikkuvuus
Social Norm;Sosiaalinen normi
Sociology;Sosiologia
War;Sota
Applied Social Sciences;Soveltavat yhteiskuntatieteet
Standard;Standardi
Kinship;Sukulaisuus
Generation;Sukupolvi
Melting pot;Sulatusuuni
Patronage;Suojelijana toimiminen
Mourning;Sureminen
Planning;Suunnittelu
Symbol;Symboli 
Symbolism;Symbolismi
Syncretism;Synkretismi
Syncretism ;Synkretismi
Birth;Syntymä
Recession;Taantuma
Economy;Talous
Economy ;Talous
Economics;Taloustiede
Habit;Tapa
Republic ;Tasavalta
Desease;Tauti
Technics;Tekniikka
Industry;Teollisuus
Theory;Teoria
Theory,  Approach and Author ;Teoria, lähestymistapa ja tekijä
Health;Terveys
Discipline;Tieteenala
Action;Toiminta
Totemism;Totemismi
Trauma;Trauma
Trend;Trendi
Tribalism;Tribalismi
Future;Tulevaisuus
Judge;Tuomari
Cycle of production;Tuotantokierto
Mean of production;Tuotantoväline
Commuting;Työmatkat
Worker;Työntekijä
Unemployment;Työttömyys
Labour;Työvoima
Unionism;Unionismi
Universalism;Universalismi
Urban space;Urbaani tila
Urbanism;Urbanismi
Sport;Urheilu
Religion, belief and practice;Uskonto, usko ja harjoitus
Instinct;Vaisto
Dispute;Väittely
Violence;Väkivalta
Choice;Valinta
Revolution;Vallankumous
Power;Valta
State;Valtio
Handicap;Vamma
Old-age;Vanhuus
Prison;Vankila
Counterculture;Vastakulttuuri
Video-recording;Videotallennus
Alienation;Vieraantuminen
Visual research;Visuaalinen tutkimus
Association;Yhdistys
Society;Yhteiskunta
Society and its features;Yhteiskunta ja sen piirteet
Community;Yhteisö
Corporation;Yhtymä
Monogamy;Yksiavioisuus
Individual;Yksilö
Public opinion;Yleinen mielipide
Luxury;Ylellisyys
Environment ;Ympäristö 
Environmentalism;Ympäristönsuojelu
Entrepreneur;Yrittäjä
Firm;Yritys

