ICT;ICT
Lexis; Sanasto
Semantics; Semantiikka
Syntax; Syntaksi
Customer service; Asiakaspalvelu
Operating system; Käyttöjärjestelmä
Algorithm; Algoritmi
Coding; Koodaus
Correction; Korjaus
Programm; Ohjelma
Problem solving; Ongelmanratkaisu
Pseudocode; Pseudokoodi
Specification; Spesifikaatio
Planning; Suunnittelu
Testing; Testaus
Flow chart; Vuokaavio
Maintaining; Ylläpito
Considering 'what if...?'/predicting;"Entä jos…?" -ajattelu / ennustaminen
Sounds;Äänet
Sound;Ääni
Voice/fax/data modems;Ääni/fax/datamodeemit
Share ideas;Ajatusten jakaminen
AJAX;AJAX
Animation;Animaatio
Archive;Arkisto
Finding things out;Asioiden selvittäminen
Assembler;Assembler
Audio;Audio
Automation;Automaatio
Open Source;Avoin lähde
Bibliography;Bibliografia
Biotechnology;Biotekniikka
Blu-Ray;Blu-Ray
Bool algebra and logical sets;Boolen algebra ja loogiset sarjat
CD-ROM;CD-ROM
Chat;Chat
CSS;CSS
Data concepts;Dataan liittyviä käsitteitä
Data presentation;Datan esitys
Data processing;Datan käsittely
Benefits & problems of data collection;Datan keräyksen hyödyt & ongelmat
Data collection;Datan keräys
Data representation;Datan kuvaus
Storing & retrieving data;Datan säilytys & nouto
Data logging;Datan tallennus lokitiedostoon
Datalogging;Datan tallennus lokitiedostoon
Data capture;Datan talteenotto
Interpretation of data;Datan tulkinta
Desktop publishing software;Desktop publishing -ohjelmat
Diagrams;Diagrammit
Digital cameras;Digitaalikamerat
Digital literacy;Digitaalilukutaito
Digital presentations;Digitaaliset esitystavat
Digital citizens;Digitaaliset kansalaiset
Digital scanners;Digitaaliskannerit
Integration of digital products;Digitaalisten tuotteiden integrointi
Digital Products;Digitaalituotteet
Documentiation;Dokumentointi
DVD-ROM;DVD-ROM
Advantages & disadvantages;Edut & haitat
Electronic day books;Elektroniset päiväkirjat
Presentation;Esittäminen
Presentation software;Esitysohjelmisto
Fantasy;Fantasia
Faxes;Faxit
Graphics;Grafiikka
Graphics and sounds;Grafiikka ja äänet
Character;Hahmo
Malware;Haittaohjelmat
Hacking;Hakkerointi
Search;Haku
Search techniques;Hakutekniikat
Identity Hacking;Henkilötietojen hakkerointi
HTML;HTML
Benefits & problems;Hyödyt & ongelmat
Hypermedia;Hypermedia
Combating ICT & IT crime;ICT- & IT-rikollisuuden torjuminen
ICT & me;ICT & minä
ICT in society;ICT yhteiskunnassa
History & development of ICT;ICT:n historia & kehitys
ICT opportunities;ICT:n käyttömahdollisuudet
Stepping back from ICT;ICT:n pohdintaa
Applying ICT in other contexts;ICT:n soveltaminen muissa yhteyksissä
Impact of ICT;ICT:n vaikutukset
Reliance on ICT & risk assessment;ICT-riippuvuus & riskiarviot
ICT tools;ICT-työkalut
ICT tools – generally;ICT-työkalut – yleisesti
ICT tools: bitmap graphics software;ICT-työkalut: bittikarttagrafiikan ohjelmistot
ICT tools: datalogging software;ICT-työkalut: Datalokiohjelmat
ICT tools: desktop publishing (DTP);ICT-työkalut: desktop publishing (DTP)
ICT tools: presentation software;ICT-työkalut: esitysohjelmistot
ICT tools: multimedia authoring software;ICT-työkalut: multimedian laatimisohjelmistot
ICT tools: music & sound software;ICT-työkalut: musiikki- & ääniohjelmistot
ICT tools: control software;ICT-työkalut: ohjausohjelmat
ICT tools: adventure games/simulations;ICT-työkalut: seikkailupelit/simulaatiot
ICT tools: spreadsheet;ICT-työkalut: taulukkolaskenta
ICT tools: word processor;ICT-työkalut: tekstinkäsittely
ICT tools: database;ICT-työkalut: tietokanta
ICT tools: vector graphics program;ICT-työkalut: vektorigrafiikkaohjelma
ICT tools: web browser;ICT-työkalut: verkkoselain
