Foreign Language Learning;Vieraiden kielten oppiminen
Brainstorming/Listing;Aivorhiihi/listat
Organizing Ideas for Writing Activities;Ajatusten organisointi kirjoittamista varten
Listening Actively;Aktiivinen kuuntelu
Consulting Resources;Apuneuvojen käyttö
Completing Scales;Asteikkojen täyttäminen
Descriptive Analysis;Deskriptiivinen analyysi
Dramatic Reading / Reader’s Theater;Dramaattinen lukeminen / Lukijan teatteri
Editing;Editointi
Making Predictions;Ennusteiden tekeminen
Performing;Esittäminen
Performance / Production;Esitys / tuottaminen
Independent Reading;Itsenäinen lukeminen
Sharing;Jakaminen
Sharing / Collaborating;Jakaminen / yhteistyö
Sequencing / Outlining / Storyboarding;Jaksotus / hahmotelmat / kuvakäsikirjoitus
Publishing;Julkaiseminen
Translation;Kääntäminen
Writing Fiction;Kaunokirjallisuuden kirjoittaminen
Discussion;Keskustelu
Usage;Kielenkäyttö
Grammar ;Kielioppi
Language Errors;Kielivirheet
Literature Reading;Kirjallisuuden lukeminen
Literature Circles / Book Clubs;Kirjallisuuspiirit / kirjakerhot
Writing;Kirjoit-taminen
During Writing Activities;Kirjoittamisen aikainen toiminta
Post-Writing Activities;Kirjoittamisen jälkeinen toiminta
Pre-Writing Activities;Kirjoittamista edeltävä toiminta
Whole Class Literature Study;Koko luokan kirjallisuustutkimus
Code Switching;Koodinvaihto
Critical Analysis / Reflection;Kriittinen analyysi / pohdinta
Listening;Kuunte-leminen
During Listening activities;Kuuntelun aikainen toiminta
Quizzing / Testing;Kysely /testaus
Sentence Analysis;Lauseanalyysi
Sentence Composing;Lauseiden muodostaminen
Reading;Lukemi-nen
During Reading Activities;Lukemisen aikainen toiminta
Post-Reading Activities;Lukemisen jälkeinen toiminta
Reading Discussion;Lukemisesta keskustelu
Pre-Reading Activities;Lukemista edeltävä toiminta
Drafting;Luonnostelu
Mechanics;Mekaniikka
Writing Other Forms of Text;Muiden tekstimuotojen kirjoittaminen
Reading Other Forms of Text;Muiden tekstimuotojen lukeminen
Note Taking;Muistiinpanojen tekeminen
Multimodal / Multimedia Interaction;Multimodaalinen / multimediallinen vuorovaikuts
Choosing Form / Genre;Muodon / genren valinta
Revising;Muokkaus
Conferencing;Neuvonpito
Directed / Guided Reading;Ohjattu / opastettu lukeminen
Spelling;Oikeinkirjoitus
Listening Passively;Passiivinen kuuntelu
Sustained Silent Reading;Pitkäaikainen äänetön lukeminen
Evaluating / Criticizing Speech / Production;Puheen / tuotannon arviointi / kritisointi
Speaking;Puhumi-nen
Speaking / Speech;Puhuminen / puhe
Post-Speaking activities;Puhumisen jälkeinen toiminta
Doodling;Raapustelu
Word Analysis;Sana-analyysi
Vocabulary;Sanasto
Vocabulary Analysis;Sanastoanalyysi
Vocabulary Use;Sanaston käyttö
Vocabulary Awareness;Sanastotietoisuus
Semantic Analysis;Semanttinen analyysi
Identifying Purpose / Audience;Tarkoituksen / yleisön tunnistaminen
Creating Text-Related Artifacts;Tekstiin liittyvien esineiden luominen
Reconstituting / Reconsidering Text;Tekstin muokkaus /miettiminen uudelleen
Activating / Generating Knowledge;Tietämyksen aktivointi / luominen
Writing Nonfiction;Tietokirjallisuuden kirjoittaminen
Nonfiction Reading;Tietokirjallisuuden lukeminen
During Reading activities;Toiminta puhumisen aikana
Researching;Tutkiminen
Style / Error Analysis;Tyyli- / virheanalyysi
Rereading;Uudelleen lukeminen
Freewriting / Guided Freewriting;Vapaa kirjoittaminen / ohjattu vapaa kirjoittaminen
Webbing / Clustering / Semantic Mapping;Yhdistely / klusterit / semanttinen kartoitus
Summarizing;Yhteenvedon tekeminen
Higher-order Webbing / Clustering;Ylemmän tason yhdistely / klusterit

