Music;Musique
Repeat Sign;Abréviation
Chord;Accord
Sixth and Ninth Chords;Accord à sixte ajouté
Diminished and Augmented Triads;Accord de quinte diminué et accord de quinte augmentée
Major Triads;Accord de quinte majeur
Minor Triads;Accord de quinte mineur
Invert Triads;Accord de quinte renversé
Major chord;Accord majeur
Tuning;Accordage
Dominant 7th's;Accords de septième de dominante
Major and Minor 7ths;Accords de septième majeur et mineur
Dissonant and Consonant Chords;Accords dissonants et consonants
Acoustics;Accoustiques
Double Accidental;Altération
Alto;Alto
Viola;Alto
Sound analysis;Analyse de son
Music analysis ;Analyse musicale
Analysing music;Analyser une musique
Ancient / Roman era;Antiquité/ère romaine
Arena;Arène
Aristoxenos;Aristoxenus
Key Signature;Armure
Arranging/accompaniments;Arranger/accompagnements
Ars antique;Ars antiqua
Ars Nova;Ars nova
Auditorium;Auditorium
Bach;Bach
Banjo;Banjo
Basso;Basse
Electric Bass;Basse électrique
Bassoon;Basson
Beat ;Battement
Beethoven;Beethoven
Flat;Bémol
Bizet;Bizet
Minim note;Blanche
Boccherini;Boccherini
Borodin;Borodin
Bruckner;Bruckner
Byrd;Byrd
Cadence;Cadence
Snare Drum;Caisse claire
Callas;Callas
Musical features;Caractéristiques musicales
Castanet;Castagnettes
Ceremony;Cérémonie
Song;Chanson
Gregorian chant;Chant grégorien
Singing, including diction, sounds & techniques;Chanter, incluant la diction, les sons et autres techniques
Choir;Chœur
Zither;Cithare
Clarinet;Clarinette
Claudio Monteverdi;Claudio Monteverdi
Harpsichord;Clavecin
Clavichord;Clavicorde
Keyboards;Claviers
Clef ;Clef
Clementi;Clementi
Bell;Cloche
Composing, creating & developing;Composer, créer et développer
Reflective composing;Composition méditative
Concerto;Concerto
Conservatory of Music;Conservatoire de musique
Contemporary;Contemporain
Context;Contexte
Double Bass;Contrebasse
Contrabassoon;Contrebasson
Contrapunto;Contrepoint
Controlling sounds;Contrôler des sons
French Horn;Cor
English Horn;Cor anglais
Strings;Cordes
Corelli;Corelli
Bagpipes;Cornemuse
Cornet;Cornet à pistons
Couperin;Couperin
Creating & developing ideas;Créer et développer des idées
Eighth note  ;Croche
Quaver;Croche
Circle of Fifths;Cycle des quintes
Cymbal;Cymbale
Debussy;Debussy
Early Romantic era;Début période romantique
Minim rest;Demi-pause
Eighth note rest;Demi-soupir
Quaver rest;Demi-soupir
Sharp;Dièse
C;Do
Do;Do
Dolby surround;Dolby Surround
Donizetti;Donizetti
Semiquaver;Double-croche
Sixteenth note;Double-croche
Duo;Duo
Dvořák;Dvořák
Chromatic Scale;Echelle chromatique
School;Ecole
Music School;Ecole de musique
Earphones;Ecouteurs
Music Education;Education musicale
Church;Eglise
Music e-learning ;E-learning musical
Musical elements & devices;Elements et dispositifs musicaux
Elgar;Elgar
Music recording;Enregistrement de musique
Digital sound recording;Enregistrement numérique sonore
Tape recording;Enregistrement/bande sonore
Digital Audio Recorder;Enregistreur audionumérique
Ensemble;Ensemble musical
Byzantine era;Ere byzantine
Space ;Espace
Ethnomusicology;Ethnomusicologie
Appraising, responding & reviewing;Evaluer, répondre et  faire la critique
Performing/controlling sounds;Executer/contrôler des sons 
Musical expression;Expression musicale
