Discrete Mathematics; Mathématiques discrètes ( mathématiques finies)
Coordinates of a point;Abscisse Et Ordonnée D'Un Point
Randomness;Aléatoire
Algebra;Algèbre
Algebra and Number Theory;Algèbre et théorie des nombres
Linear Algebra – Number Theory;Algèbre linéaire - Théorie des nombres
Algorithms;algorithmes
Ampliation;Ampliation
Analysis;Analyse
Complex Analysis;Analyse complexe
Data analysis;Analyse des données
Signal Analysis;Analyse des signaux
Functional Analysis;Analyse fonctionnelle
Global Analysis;Analyse globale
Harmonic Analysis;Analyse Harmonique
Numerical Analysis;Analyse numérique
Real Analysis;Analyse réel
Statistical analysis;Analyse Statistiques
Conformal Mappings;Applications Conformes
Tree diagram;Arborescence
Arithmetic;Arithmétique
Computer Arithmetic;Arithmétique Des Ordinateurs
Skewness;Asymétrie
Function attribute;Attribut De Fonction
Bias;Biais
Bisector-Plane;Bissectrice-Plane
Bound;Borne
Lower bound;Borne Inférieure
Upper bound;Borne Supérieure
Algebraic calculation;Calcul algébrique
Calculator;Calculatrice
Graphing Calculator;Calculatrice Graphique
Programmable Calculator;Calculatrice Programmable
Algebraic calculation;Calculs Algébriques
Pie chart;Camembert
Function plot features;Caractéristiques De Parcelles De Fonction
Cardinality;Cardinal
Square Number;Carré Parfait
Circle;Cercle
Circumcircle;Cercle Circonscrit
Circle of latitude;Cercle De Latitude
Incircle;Cercle Inscrit
Modal class;Classe Modale
Data collect;Collecte De Données
Coloring Proof;Coloration De Preuve
Combinations;Combinaisons
Combinatorics;combinatoire
Compass;Compas
Polyhedron composition;Composition De Polyèdre
Number Concepts;Concepts des nombres
Cone;Cône
Congruences;Congruences
Construction of a plot;Construction Du Graphe D'Une Fonction
Construct with ruler and compass;Construire Avec La Règle Et Au Compas
Continuity and discontinuity;Continuité Et Discontinuité
Counterexample;Contre-Exemple
Convexity;Convexité
Coordinates;Coordonnées
TwoD coordinates;Coordonnées 2D
ThreeD coordinates;Coordonnées 3D
Cartesian coordinates;Coordonnées Cartésiennes
Polar Coordinates;Coordonnées Polaires
Cosine;Cosinus
Increasing and decreasing;Croissance Et Décroissance
Cube;Cube
Cuboid;Cuboid
Cylinder;Cylindre
Polyhedron decomposition;Décomposition De Polyèdre 
Polyhedron deformation;Déformation De Polyèdre 
Proof;Démonstration
Probability density;Densité De Probabilité
Movement;Déplacement
Derivative;Dérivée
Polyhedron unfold;Dérouler De Polyèdre 
Local and global description of a plot;Description Locale Et Globale D'Un Tracé
Diagram;Diagramme
Bar chart;Diagramme À Barres
Circular chart;Diagramme Circulaire
Frequency diagram;Diagramme Des Effectifs
Cumulative frequency diagram;Diagramme Des Effectifs Cumulés
Box plot;Diagramme En Boîtes
Sector chart;Diagramme En Secteur
Venn Diagrams;Diagrammes De Venn
Numerical Differentiation;Différentiation Numérique
Differential and Difference Equation;Différentielle et équation différentielle
Spread;Dispersion
Disc;Disque
Probability distribution;Distribution
Distribution of primes;Distribution des nombres premiers
Dividend;Dividende
Divisibility;Divisibilité
Dodecahedron;Dodécaèdre
Domain and range;Domaine Et Image
Data;Données
Statistical data;Données Statistiques
Standard deviation;Écart Type
Sample;Echantillon
Random sample;Echantillon Aléatoire
Random sampling;Échantillonage Aléatoire
Absolute frequency;Effectif
Frequency;Effectif
Cumulative frequency;Effectifs Cumulés
Frequencies;Effectifs Et Fréquences
Equality;Egalité
Equality;Égalité
Data chart features;Éléments Attachés À Un Diagramme
Ellipse;Ellipse
Sets and Set Operations;Ensembles Et Opérations
Natural number;Entier Naturel
Integer;Entier Relatif
Dynamic interactive geometry environments;Environnements De Géométrie Dynamique Et Interactif
Equation of a cycloid;Equation cycloïdale
Linear Equation;Équation Du Premier Degré
Quadratic Equation;Équation Du Second Degré
Equation of a plane;Equation d'un plan
Equation of curve;Equation d'une courbe
Equation of a cycloid;Equation D'Une Cycloide
Equation of an ellipse;Equation d'une ellipse
Equation of a parabola;Equation d'une parabole
Equation of a parabola;Équation D'Une Parabole
Equation of a spiral;Equation d'une spirale
Equation of a straight line;Equation linéaire
Equations;Equations
Set square;Équerre
Error in a plot;Erreur Dans Un Complot
Sample space;Espace Fondamental
Inner product spaces;Espaces De Produit Interne
Statistical range;Etendue D'Une Série Statistique
Event;Événement
Simple event;Événement Élémentaire
Complex event;Événements Complexes
Experiments;Expériences
Expression;Expression
Algebraic expression;Expression algébrique
Formula of a function;Expression Algébrique D'Une Fonction
Linear expression;Expression Linéaire
Symbolic Expression;Expression symbolique
Divisibility;Facteur
Scale factor;Facteur D'Échelle
Factorization;Factorisation
Graphing Techniques;Faire Un Graphique
Function;Fonction
Affine function;Fonction Affine
Concave Function;Fonction Concave
Convex Function;Fonction Convexe
Inverse proportionality function;Fonction De Proportionnalité Inverse
Quadratic function;Fonction Du Second Degré
Exponential function;Fonction Exponentielle
Hyperbolic function;Fonction Hyperbolique
Linear function;Fonction Linéaire
Logarithmic function;Fonction Logarithmique
Polynomial function;Fonction Polynomiale
Rational Function;Fonction Rationnelle
Linear Rational Function;Fonction Rationnelle Linéaire
Function Topic;Fonction sujet
Trigonometric function;Fonction Trigonométrique
Formula;Formula
Wording of a function;Formulation D'Une Fonction
Formula;Formule
Formula for angle;Formule d'un angle
Formula for length;Formule Longueur
Formula for angle;Formule Pour Angle
Formula for area;Formule Pour La Zone
Formula for volume;Formule Pour Le Volume
Fraction;Fraction
Relative frequency;Fréquence
Common frequency;Fréquence Commune
Template;Gabarit
Geometry;Géométrie
Elementary plane geometry;Géométrie plane élémentaire
Gradient;Gradient
Gradient Vector;Gradient Vector
Function Plotter;Grapheur De Fonctions
Line chart;Graphique Linéaire
Histogram;Histogramme
Enlargement;Homothétie
Hyperbola;Hyperbole
Hypothesis;Hypothèse
Icosahedron;Icosaèdre
Identity;Identité
Inequality;Inégalité
Rational Inequality;Inégalité Rationelle
Linear Inequality With One Variable;Inéquation Du Premier Degré À Une Variable
Linear Inequality;Inéquation Lineaire
Engineering Mathematics;Ingénierie des mathématiques
Integral Transforms;Integral Transforms
Numerical Integration;Intégration Numérique
Interpolation;Interpolation
Equation of curve;L'Équation De La Courbe
Equation of an ellipse;L'Équation D'Une Ellipse
Equation of a straight line;L'Équation D'Une Ligne Droite
Equation of a spiral;L'Équation D'Une Spirale
Intersections with the axis;Les Intersections Avec L'Axe
Solid objects;Les Objets Solides
Trigonometric ratio;Ligne Trigonométrique
Inequality General;L'Inégalité Générale
Polynomial Inequality;L'Inégalité Polynomiale
Quadratic Inequality;L'Inégalité Quadratique
Spreadsheet Software;Logiciel De Tableur (Tableur)
Logic;Logique
Logic and Foundations;Logique et fondements
Algebraic Manipulation;Manipulation algébrique
Mathematics for Computer;Matématiques informatique
Mathematics;Mathématiques
Applied Mathematics;Mathématiques appliquées
Mathematical Biology;Mathématiques biologiques
Mathematical Economics;Mathématiques économiques
Mathematical Physics;Mathématiques physique
Mathematics for Humanities;Mathématiques pour les sciences humaines
Mathematics for Social Sciences - Software;Mathématiques pour les sciences humaines - Logiciel
Maxima and minima;Maximum Et Minimum
Meridian;Méridien
Variability measure;Mesure De La Variabilité
Central tendency measure;Mesure De Tendance Centrale
Measurement;Mesures
Deductive method;Méthode Déductive
Inductive method;Méthode Inductive
Mode;Mode
Linear model;Modèle Linéaire
Nonlinear model;Modèle Non Linéaire
Methods of Proof;Modes De Preuve
Piecewise-function;Morceaux De Fonction
Polyhedron movement;Mouvement De Polyèdres
Mean;Moyenne
Number;Nombre
Number;Nombre (chiffre)
Cardinal number;Nombre cardinal
Case count;Nombre De Cas
