Social Studies;Sciences sociales
Acculturation;Acculturation
Action;Action
Activism;Activisme
Membership;Adhésion
Central Administration;Administration centrale
Adultness;Adultness
Affect;Affecter
Age;Âge
Agressiveness;Agressivité
Agriculture;Agriculture
Alienation;Aliénation
Altruism;Altruisme
Soul;Âme
Seniority;Ancienneté
Animal;Animal
Animality;Animalité
Anthropology;Anthropologie
Approach;Approche
Archaeology;Archéologie
Money;Argent
Army;Armée
Craftsman;Artisan
Artisanship;Artisanat
Assimilation;Assimilation
Assistance;Assistance
Association;Association
Authenticity;Authenticité
Autochthony;Autochtonie
Future;Avenir
Opinion;Avis
Basis;Base
Beneficence;Bienfaisance
Biodiversity;Biodiversité
Bio-power;Bio-énergie
Biomedicine;Biomédecine
Body-practice;Body-pratique
Bourgeoisie;Bourgeoisie
Corpse;Cadavre
Gift;Cadeau
Countryside;Campagne
Cannibalism;Cannibalisme
Castration;Castration
Causalism;Causalisme
Charisma;Charisme
Hunting;Chasse
Choice;Choix
Unemployment;Chômage
Scar;Cicatrice
Class;Classe
Colonialism;Colonialisme
Community;Communauté
Comparatism;Comparatisme
Behaviour;Comportement
Confidence;Confiance
Trust;Confiance
Conflict;Conflit
Dispute;Conflit
Consumption;Consommation
Counterculture;Contre-
Corporation;Corporation
Body;Corps
Body and body-experiences ;Corps et expériences corporelles
Race;Course
Craft;Craft
Crime;Crime
Criminality ;Criminalité
Crisis;Crise
Culture;Culture
Culture and Cultural Theory ;Culture et théories culturelles
Cycle of production;Cycle de production
Mass-communication;De communication de masse
Luxury;De luxe
Death;Décès
Decision;Décision
Degeneration;Dégénérescence
Democracy;Démocratie
Video-recording;D'enregistrement vidéo
Commuting;Déplacements entre le domicile
Trade Union;Des syndicats
Desease;Desease
Determinism;Déterminisme
Detribalization;Détribalisation
Mourning;Deuil
Devolution;Dévolution
Differentiation;Différenciation
Diffusionism;Diffusionnisme
Discrimination;Discrimination
Divorce;Divorce
Doctrine;Doctrine
Dogma;Dogme
School of thought;École de pensée
Human Ecology;Écologie humaine
Economy ;Economie
Economics;Économie
Economy;Économie
Ego;Ego
Egoism;Égoïsme
Elite;Élite
Emancipation;Émancipation
Emigration;Émigration
Emotion;Émotion
Endogamy;Endogamie
Energy;Énergie
Entrepreneur;Entrepreneur
Environment ;Environnement
Slavery;Esclavage
State;État
Welfare state;État providence
Ethnocentrism;Ethnocentrisme
Ethnodiversity;Ethnodiversité
Ethnography;Ethnographie
Ethnolinguistic;Ethnolinguistique
Ethnology;Ethnologie
Ethnomedicine;Ethnomédecine
Ethnometodology;Ethnometodology
Ethnoscience;Ethnoscience
Evolution;Évolution
Exogamy;Exogamie
Family;Famille
Fast-food;Fast-food
Female;Féminin
Woman;Femme
Femminism;Femminism
Firm;Ferme
Fertility;Fertilité
Finance;Financer
Folklore;Folklore
Founder;Fondateur
Foranging;Foranging
Crowd;Foule
Futurology;Futurologie
Gangs;Gangs
Generation;Génération
Social Geography;Géographie sociale
Georeference;Géoréférencement
Government;Gouvernement
Governmentality;Gouvernementalité
Group;Groupe
Focus Group;Groupe de discussion
Cure;Guérir
Healing;Guérison
War;Guerre
Habit;Habitude
Handicap;Handicap
Hero;Héros
Man;Homme
Honour;Honneur
Shame;Honte
