ICT;TIC
Lexis; Lexis
Semantics; Sémantiques
Syntax; Syntaxe
Pseudocode;Pseudocode
Specification;Spécification
Testing;Tester
Algorithm;Agorithme
Coding;Codage
Correction;Correction
Flow chart;Diagramme de flux
Programm;Programmer
Problem solving;Résoudre les problèmes
Maintaining; Maintenir
Planning; Planifier
Misuse of data;Abus de données
Awareness-raising activities;Activités de sensibilisation
Computer addition;Addition informatique
Security Administrator;Administrateur de la sécurité
AJAX;AJAX
Bool algebra and logical sets;Algèbre et ensembles logiques
Animation;Animation
Digital cameras;Appareils numériques
Computer application;Application informatique
Applying ICT in other contexts;Appliquer les TIC dans d'autres contextes
Appropriate/not appropriate;Appropriée/non appropriée
Computer architecture;Architecture informatique
Archive;Archive
Audio;Audio
Automation;Automatisation
Automating events;Automatiser des évènements
Advantages & disadvantages;Avantages et désavantages
Benefits & problems;Avantages et problèmes
Benefits & problems of data collection;Avantages et problèmes de collecte de données
Databases;Base de données
Number bases;Bases de numérations
Bibliography;Bibliographie
Library;Bibliothèque
Media library;Bibliothèque média
Biotechnology;Biotechnologie
Blu-Ray;Blu-Ray
Connecting computer parts;Brancher pièces d'ordinateur
Newsletter, poster, flyer production;Bulletin d'information, affiche, brochure
Sensors & software Appropriate/not appropriate;Capteurs et logiciels adapter/pas adapter
Screencast;Capture d'écran
Website design features;Caractéristiques de création de site web
Maps and plans;Cartes et plans
Cataloguing;Catalogage
CD-ROM;CD-ROM
Changing technologies;Changement de technologies
Technological change;Changement technologique
Uploading websites;Chargement de site web
Chat;Chat
Research a problem using ICT;Chercher un problème en utilisant les TIC
Digital citizens;Citoyens numériques
Classification;Classification
Malicious code;Code malveillant
Collaboration;Collaboration
Data collection;Collecte de données
Local data collection & holding;Collecte de données locales et détenir
Collecting information;Collecte d'information
Datalogging;Collecteur de données
Combining software tools to produce a system;Combiner des outils de logiciels pour produire un système
Communication;Communication
Chat;Communication en ligne
Communications & entertainment;Communication et divertissement
Infrared communications;Communication infrarouge
Communicating;Communiquer
Communicative competence;Compétence communicative
Communicative competence;Compétence en communication
Information skills;Compétences en information
Functional skills;Compétences techniques et fonctionnelles
Understanding of terminology;Compréhension de terminologie
Understanding of audience;Compréhension et audience
Understanding of hardware and software;Comprendre matériel et logiciel
Reliance on ICT & risk assessment;Confiance accordée au TIC et évaluation des risques
Privacy and personal information;Confidentialité et information personnelle
Computer literacy;Connaissances informatiques
Considering 'what if...?'/predicting;Considérer "et si…?"/prédire
Access Control;Contrôle d'accès
Controlling;Contrôler
Control technology;Contrôler la technologie
Number conversion;Conversion de nombre
Copyright;Copyright
Building computers & networks;Création d'ordinateurs et de réseaux
Interactive digital display design;Création d'un affichage numérique intéractif
Informational website design;Création d'un site web d'informations
Creating database;Création d'une base de données
Creating websites;Créer des sites web
Creating & editing images;Créer et éditer des images
Draft/manipulate information/data using ICT;Créer/manipuler de l'information/données en utilisant les TIC
Data Encryption;Cryptage de données
Cryptography;Cryptographie
CSS;CSS
Digital literacy;Culture numérique
Cyberbullying;Cyberintimidation
Database terminology & definitions;Définition et terminologie d'une base de données
Latest digital products;Derniers produits numériques
Design;Design
Developments in software & hardware & their impact;Développement de logiciels et matériels et leur impact
Web development;Développement web
Future developments;Développements futurs
Diagrams;Diagrammes
Dictionary;Dictionnaire
Disk drive/hard disk;Disque dur
Internet based entertainment;Divertissement basé sur l'Internet
Documentation;Documentation
Access Rights;Droits d'accès
DVD-ROM;DVD-ROM
Screen;Ecran
liquid crystal display panels;Ecrans d'affichage à cristaux liquides
Media education;Education des médias
Media education;Education par les médias
Technological education;Education technologique
E-mail;E-mail
Record information/data using ICT;Enregistrer de l'information/des données en utilisant les TIC
Video recorders;Enregistreurs vidéos
Computer-assisted-instruction (CAI software);Enseignement assisté par ordinateur (logiciel EAO)
Input;Entrée
Entering data;Entrer des données
Communication Environments;Environnements de communication
Labelling;Etiquetage
Critical evaluation;Evaluation critique
Finding things out;Faire des découvertes
Reviewing and reflecting critically on what people produce using ICT;Faire la critique et faire une réflexion sur ce qu'on produit en utilisant TIC
Fantasy;Fantaisie
Faxes;Fax
Internet service providers;Fournisseurs de services internet
Gadgets;Gadgets
Databases management;Gestion d'une base de données
Graphics;Graphisme
Graphics and sounds;Graphismes et sons
History of technology;Histoire de la technologie
History & development of ICT;Histoire et développement de TIC
HTML;HTML
Hypermedia;Hypermédia
Online identity;Identité en ligne
Images;Images
Still images - generally;Images fixes - généralement
Still images: bitmap graphics;Images fixes - graphiques bitmap
Still images: graphs;Images fixes : graphiques
Still images: pictograms;Images fixes : pictogrammes
Still images: vector graphics;Images fixes : vecteurs 
Impact of IT on communications;Impact des TI sur les communications
Impact of ICT;Impact des TIC
Printout;Impression
Printer;Imprimante
Laser printers;Imprimantes laser
Information;Information
Information ;Information
Computer science;Informatique
Security Breach/Incident;Infraction à la sécurité
Engineering;Ingénierie
Instructions;Instructions
Integration of digital products;Intégration de produits digitaux
Artificial intelligence;Intelligence artificielle
Internet;Internet
The Internet: searching and interpreting;Internet : recherche et interprétation
Interoperabiloty;Intéropérabilité
Interpretation of data;Interprétation de données
Interpreting information;Interprétation d'informations
Interpret information;Interpréter l'information
Java;Java
JavaScript;JavaScript
Computer game;Jeux d'ordinateur
Games & gaming machines;Jeux et appareils de jeux
Programmable toy;Jouet programmable
Electronic journal;Journal électronique
jQuery;jQuery
Language;Langage
Programming language;Langage de programmation
Machine language;Langage machine
Low level languages;Langages bas niveau
Floppy Drive;Lecteur de disquettes
E-book readers & other gadgets;Lecteurs de e-book et autres gadgets
Media literacy;L'éducation aux médias
Health & safety legislation;Législation relative à la santé et la sécurité
Limitations/advantages;Limites/avantages
Reading for information;Lire des informations
Access Control List;Liste de contrôle d'accès
Electronic day books;Livres électroniques
Desktop publishing software;Logiciel de microédition
Presentation software;Logiciel de présentation
Word processing software;Logiciel de traitement de texte
Software;Logiciels
Open Source;Logiciels libres
Data protection act;Loi sur la protection des données
Combating ICT & IT crime;Lutter contre les crimes TIC et IT 
Tape-recorders;Magnétophones
Information literacy;Maîtrise de l'information
Malware;Malware
Hardware;Matériel
Interactive material;Matériel intéractif
MIDI hardware;Matériel MIDI
Teaching materials;Matériels pédagogiques
Media;Média
Mass media;Médias de masse
Memory;Mémoire
Mnemonics;Mnémoniques
Patterns;Modèles/schémas
Modelling;Modélisation
Assembler;Montage
Password security;Mot de passe de sécurité
Multimedia;Multimédia
Numbers;Nombres
Numerical notation;Notation numérique
Control concepts;Notions de contrôle
Data concepts;Notions de données
Basic computer concepts;Notions d'informatiques basiques
New technologies & tools;Nouvelles technologies et outils
ICT opportunities;Opportunités des TIC
Planning what data to record;Organiser enregistrement de données
Reference material;Outils de référence
ICT tools;Outils TIC
ICT tools – generally;Outils TIC - généralement
ICT tools: database;Outils TIC : base de données
ICT tools: adventure games/simulations;Outils TIC : jeux d'aventure/simulations
ICT tools: datalogging software;Outils TIC : logiciel de collecte de données
ICT tools: control software;Outils TIC : logiciel de contrôle
ICT tools: multimedia authoring software;Outils TIC : logiciel de création de multimédia
ICT tools: web authoring software;Outils TIC : logiciel de création web
ICT tools: presentation software;Outils TIC : logiciel de présentation
ICT tools: music & sound software;Outils TIC : logiciel musique et son
ICT tools: bitmap graphics software;Outils TIC : logiciels de graphiques bitmap
ICT tools: web browser;Outils TIC : navigateur internet
ICT tools: vector graphics program;Outils TIC : programme de graphiques vectoriels
ICT tools: desktop publishing (DTP);Outils TIC : publication du bureau
ICT tools: spreadsheet;Outils TIC : tableur
ICT tools: word processor;Outils TIC : traitement de texte
Web 2.0 tools;Outils Web 2.0
Share ideas;Partager des idées
Input & output devices;Périphérique d'entrée et de sortie
Storage devices;Périphériques de stockage
Character;Personnage
PHP;PHB
Hacking;Piratage
Identity Hacking;Piratage d'identité
Computer functional scheme;Plan de fonctionnement d'un oridnateur
Plausibility;Plausibilité
Podcast;Podcast
Asking questions & querying data;Poser des questions et s'interroger sur des données
Stepping back from ICT;Prendre du recul sur les TIC
Presentation;Présentation
Data presentation;Présentation de données
Presentation of information & data;Présentation d'information et de données
Digital presentations;Présentations numériques
Presenting measured data;Présenter des données mesurées
Present work effectively;Présenter son travail avec efficacité
Communications issues;Problèmes de communication
Confidentiality issues;Problèmes de confidentialité
Procedures/macros/templates;Procédures/macros/modèles
Processor;Processeur
Digital Products;Produits numériques
Programming;Programmation
High level programming languages;Programmation de langages de haut niveau
Anti-Virus Program;Programme anti-virus
Information Owner;Propriétaire d'information
File transfer protocol (FTP);Protocole de transfert de fichiers (PTF)
Publishing on the web;Publication sur le web
Advertising;Publicité
Quality & accuracy;Qualité et précision
Collate, analyse & evaluate information/data using ICT;Rassembler, analyser et évaluer des données/information en utilisant les TIC
Feedback/responding to data;Réactions/répondre aux données
Concept keyboard;Réaliser clavier
Augmented Reality;Réalité augmentée
Virtual reality;Réalité virtuelle
Search;Recherche
Internet searching;Recherche internet
Safe searching;Recherche sécurisée
Recognising issues of risk, safety and responsibility surrounding the use of ICT;Reconnaître des questions de risque, sécurité et de responsabilité autour de l'utilisation de l'ICT
Recognising that information must be analysed and evaluated for its purpose, author, currency and context;Reconnaître que l'information doit être analysée et évaluée pour son usage, auteur, devise et contexte
Retrieving information that has been stored;Récupération d'information qui a été stockée
Reflecting on ICT in society;Réflexion sur les TIC dans notre société
Relationships & rules;Relations et règles
Data representation;Représentation de données
Network;Réseau
Information network;Réseau d'information
Wide Area Network;Réseau étendu
Local Area Network;Réseau local
Simple networking;Réseautage simple
Social networking;Réseautage social
Robotics;Robotique
Data capture;Saisie de données
Digital scanners;Scanners numériques
What if scenarios, ICT in action;Scénario "Et si?", TIC en action
Security;Sécurité
Data Security;Sécurité des données
Information Security Guidelines/Policy/Plan/Risk Assessment;Sécurité d'informationDirectives/Politique/Plan/Evaluation des risques
Security for Electronic Transaction - SET;Sécurité pour transactions électroniques - STE
Security technology;Sécurité technologique
Security, accuracy & plagiarism;Sécurité, exactitude et plagiat
Security, password selection & protection;Sécurité, sélection de mot de passe et protection
Select and use ICT tools and techniques appropriately, safely and efficiently;Sélectionner et utiliser des outils TIC et techniques de manière appropriée, sure et efficace
Select from and add to information for particular purposes;Sélectionner puis ajouter à de l'information pour des usages particuliers
Sequencing;Séquençage
Customer service;Service clientèle
Simulating;Simulation
Website;Site web
Sound;Son
Sounds;Sons
Output;Sortie
Information source;Source d'information
Spam;Spam
Data logging;Stockage de données
Storing & retrieving data;Stocker et retrouver des données
Structure of systems;Structure de systèmes
Database stucture;Structure d'une base de données
Linked databases & database structures;Structures et liens de base de données 
Synthesising information;Synthetiser des informations 
Operating system;Système d'exploitation
Information system;Système d'information
Systems;Systèmes
Public information systems;Systèmes d'information publique
Systems in context;Systèmes en contexte
Keyboard Mouse;Tapis de souris
Search techniques;Techniques de recherche
Technology;Technologie
Web technologies;Technologies Web
Video conferencing;Téléconférenc/vidéoconférence
Terminology;Terminologie
Text;Texte
ICT in society;TIC dans la société
ICT & me;TIC et moi
Data processing;Traitement de données
Processing text & images;Traitement de texte et d'images
Information processing;Traitement d'information
Working with cameras & video;Travailler avec la caméra et vidéo
Working with mobile technology;Travailler avec la technologie mobile
Working independently;Travailler indépendemment
Trojan;Trojan
Using applications;Usage d'applications
Contextualised use of text/image processing;Usage de texte contextualisé/ traitement d'image
Everyday use;Usage quotidien
Basic computer usage and possibilities;Usage simple des ordinateurs et ses possibilités
Use of queries, forms, reports, macros;Utilisation de demandes, formes, rapports, macros
Using ICT;Utilisation de TIC
Use & misuse of data;Utilisation et abus de données
Using images & text;Utiliser des images et du texte
Use text, tables, images and sound to develop ideas;Utiliser du texte, tableaux, images et du son pour développer des idées
Using IT safely;Utiliser IT en toute sécurité
Video;Vidéo
Video & audio;Vidéo et audio
Virus;Virus
Vocabulary;Vocabulaire
Voice/fax/data modems;Voix/fax/modems de données
Identification theft;Vol d'identité
Web 2.0;Web 2.0
Wide Area Information Servers (WAIS);Wide Area Information Servers (WAIS)

