Foreign Language Learning;Apprentissage langue étrangère
Activating / Generating Knowledge;Activer/générer des connaissances
During Reading Activities;Activités pendant la lecture
Post-Speaking activities;Activités post-discussion
Post-Writing Activities;Activités post-écriture
Post-Reading Activities;Activités post-lecture
Pre-Reading Activities;Activités pré-lecture
Pre-Writing Activities;Activités pré-lecture
Critical Analysis / Reflection;Analyse critique/Réflexion
Style / Error Analysis;Analyse de style erronée
Vocabulary Analysis;Analyse de vocabulaire
Descriptive Analysis;Analyse descriptive
Semantic Analysis;Analyse sémantique
Word Analysis;Analyser un mot
Sentence Analysis;Analyser une phrase
Literature Circles / Book Clubs;Cercles littéraires/clubs de lecture
Code Switching;Changement de code
Choosing Form / Genre;Choisir forme/genre
Completing Scales;Compléter des barèmes
Conferencing;Conférence
Consulting Resources;Consulter des ressources
Creating Text-Related Artifacts;Créer des artefacts du domaine du texte
Discussion;Discussion
Listening;Ecouter
Listening Actively;Ecouter activement
Listening Passively;Ecouter passivement
Writing;Ecrire
Writing Other Forms of Text;Ecrire d'autres formes de texte
Writing Fiction;Ecrire de la fiction
Writing Nonfiction;Ecrire de la non-fiction
Freewriting / Guided Freewriting;Ecriture libre/écriture libre dirigée
Editing;Editer
Language Errors;Erreurs de langage
Whole Class Literature Study;Etude de littérature avec la classe
Evaluating / Criticizing Speech / Production;Evaluer/Discours critique/Production
Performing;Executer
Making Predictions;Faire des prédictions
Grammar ;Grammaire
Doodling;Griffonner
Reading Discussion;Groupe de lecture
Identifying Purpose / Audience;Identifier objectif/audience
Multimodal / Multimedia Interaction;Intéraction multimodal/multimédia
Quizzing / Testing;Interroger/Evaluer
Literature Reading;Lecture de littérature
Nonfiction Reading;Lecture de non-fiction
Directed / Guided Reading;Lecture dirigée/guidée
Dramatic Reading / Reader’s Theater;Lecture dramatique/Théâtre du lecteur
Independent Reading;Lecture indépendante
Sustained Silent Reading;Lecture silencieuse soutenu
Reading;Lire
Reading Other Forms of Text;Lire d'autres formes de texte
Mechanics;Méchaniciens
Organizing Ideas for Writing Activities;Organiser des idées pour des activités d'écriture
Spelling;Orthographe
Speaking;Parler
Speaking / Speech;Parler/discours
Sharing;Partager
Sharing / Collaborating;Partager/Collaborer
During Reading activities;Pendant les activités de orales
During Listening activities;Pendant les activités d'écoute
During Writing Activities;Pendant les activités d'écriture
Performance / Production;Performance/production
Note Taking;Prendre des notes
Publishing;Publier
Researching;Recherche
Reconstituting / Reconsidering Text;Reconstituer/Reconsidérer un texte
Drafting;Rédiger
Sentence Composing;Rédiger une phrase
Higher-order Webbing / Clustering;Regrouper/relier de manière supérieure
Webbing / Clustering / Semantic Mapping;Regrouper/relier des champs sémantiques
Rereading;Relecture
Summarizing;Résumer
Revising;Réviser
Vocabulary Awareness;Sensibilisation au vocabulaire
Sequencing / Outlining / Storyboarding;Séquençage/Esquisser/Scénariser
Translation;Traduction
Brainstorming/Listing;Trouver des idées/dresser une liste
Usage;Usage
Vocabulary Use;Utilisation de vocabulaire
Vocabulary;Vocabulaire

