Science;Eolaíocht
Astronomy;Réalteolaíocht
Asteroid belt;Crios astaróideach
Asteroids;Astaróidigh
Astrobiology;Réaltbhitheolaíocht
Astrometry;Réaltmhéadracht
Astronauts;Spásairí
Atmospheres;Atmaisféir
Aurora;Gealán
Big Bang;Ollphléasc
Binary stars;Dé-réaltaí
Black holes;Poll dubha
Brown dwarfs;Abhaic donna
Comets and meteors;Coiméid agus méitéir
Constellations;Realtbhuíonta
Coordinates;Comhórdanáidí
Cosmic background radiation;Radaíocht chúlra chosmach
Cosmic rays;Gathanna cosmacha
Cosmology;Cosmoelaíocht
Crater;Craitéar
Dark energy;Fuinneamh dorcha
Dark matter;Domhna dorcha
Density waves;Tonnta dlúis
Dust;Deannach 
Earth;An Domhan
Eclipses;Éiclipsí
Einstein ring;Fáinne Einstein
Elliptical galaxy;Réaltra éilipseach
Escape velocity;Treoluas éalaithe
Extrasolar planets;Plainéid eachtarghréiní
Extraterrestrial life;Saol eachtardhomhandach
Formation;Foirmiu
Galactic wind;Gaoth réaltrach
Galaxies and Dwarf galaxies;Reéaltraí agus abhacréaltraí
Galaxy clusters;Braislí réaltracha
Gamma ray bursts;Roiseanna ghama ghathacha
Gas;Gás
Giants;Fathaigh
Globular clusters;Braislí chruinneogacha 
Gravitational lenses;Lionsaí imtharraingthe
Halos;Luanta
Hertzsprung-Russell diagram;Léaráid Hertzsprung-Russell
HII region;Reigiún HII
Hubble expansion;Fairsingiú Hubble
Inflation;Boilsciu
Intergalactic medium;Méan idir-réaltrach
Interstellar medium;Méan idir-réaltach
Irregular galaxy;Réaltra neamhrialta
Jets;Scairdeanna
Kuiper belt objects;Crios Kuiper--rudaí
Light curve;Cuar an tsolais
Lunar eclipse;Éiclips na gealaí
Main sequence;Priomhsheicheamh
Mass loss;Caillteanas maise
Meteor;Méitear
Meteorite;Dreigit
Microlensing effect;Tionchar micrilionsach
Milky Way;Bealach na Bó Finne
Moon;An ghealach
Near-earth objects;Rudaí gar don Domhan
Nebula;Réaltnéal
Neutron stars;Neudrónréaltaí
Nucleosynthesis;Nuicléisintéis
Open clusters;Braislí oscailte
Orbit;Fithisigh
Origin and evolution of the universe;Bunús agus éabhlóid na cruinne
Phases;Pasanna
Phases of the Moon;Pasanna na gealaí
Planetary nebula;Réaltnéal plainéadach
Planets;Plainéid 
Pulsars;Pulsáir
Quasars;Cuasáir
Redshift;Deargaistriú
Rockets;Roicéid
Rotation curve;Cuar rothlúcháin
Satellites: natural satellites;Satalaítí: satalaítí nadurtha
Satellites: artificial satellites;Satalaítí: satalaítí shaorga
Seasons;Seasúir
Solar activity;Grianghníomhaíocht
Solar eclipse;Éiclips na gréine
Solar system;An grianchóras
Solar-terrestrial relations;An grianchaidreamh domhanda
Space flight;Spéseitilt
Space ships;Spáslonga
Space stations;Spásstaisíun
Spiral galaxy;Réltra bíseach
Star chart;Cairt réaltra
Stars;Réaltaí
Sun;An ghrian
Sunspots;Spotaí gréine
Supernova;Ollnova
Supernova remnants;Iarsmaí ollnova
Theory of relativity;Teoiric na coibhneasachta
Tides;Na taoidí
Universe – generally;An chruinne i gcoitinne
Variable stars;Réaltaí athraitheacha
Zodiac;An stodiaca
Zodiacal light;Solas stodiacach
Biology;Bitheolaíocht
Ecology;Éiceolaíocht
Biomass;Bithmhais
Biosphere;Bithsféar
Carbon and nitrogen cycles;Timthriall carbóin is nítrigine
Energy and ecosystems;Fuinneamh agus éiceachórais
Food as fuel;Bia mar bhreosla
Food chains and webs;Slabhraí bia agus gréasáin
Organic Agriculture;Talamhaíocht orgánach
Organic Biology;Bitheolaíocht orgánach
Botany;Luibheolaíocht
Plants;Plandaí
Flowering plants/parts of plants;Plandaí bhlathacha/codanna de phlandaí
Flower;Bláth
Fruit;Torthaí
Gardening;Garraíodaireacht
Leaf;Duilleog
Life cycle;Saolré
Parasite;Seadán
Photosynthesis;Fótaisintéis
Plant nutrition and growth;Planda-cothú agus fás
Seeds;Síolta
Transport and water in plants;Iompair agus uisce i bplandaí
Tree;Crann
Anatomy;Anatamaíocht
Brain;Inchinn
Blood;Fuil
Blood vessels;Fuileadáin
Cardiovascular;Cardashoithíodh
Circulatory System;Córas imshruthaithe
Digestive System;Córas díleáite
Endocrine System;Córas inchríneach
Heart;An croi
Integumentary System;Córas inchríneach
Liver;Ae
Muscles;Matáin
Nerve;Nearóg
Nervous system ;An nearchóras
Organs;Orgáin
Pancreas;Pancréas 
Skeleton and muscles;Cnámharlach agud matáin
Stomach;Goile
Reproductive system;Córas atáirgthe
Teeth;Fiacla
Tongue;Teanga
Humans and animals;Daoine agus ainmhithe
Animal;Ainmhí
Amphibian;Amfaibiach
Arachnid;Araicnid
Bird;Éan
Breeding;Porú
Domestic animal;Ainmhí clóis
Endangered species ;Speicis i mbaol
Fish ;Iasc
Fishery;Iascach
Food chain;An biashlabhra
Genetic engineering;Innealtóireacht ghéiniteaach
Genetics;Géinitic
Genome;Géanóm
Human health: smoking;Sláinte an duine:tobac a chaitheamh
Human health: teeth;Sláinte an duine:na fiacla
Insulin;Inslin
Insect;Feithid
Invertebrate;Inveirteabrach
Mammal;Mamach
Menstrual cycle;Timthriall míosta
Microbiology ;Micribhitheolaíocht
Micro-organism ;Miocrorgánach
Nutrition and digestion - generally;Cothú agus dílea- i gcoitinne
Puberty/adolescence;Caithreachas/ógántacht
Reproduction;Sliochtmhaireacht
Reptile;Reiptíl
Senses;Ceadfaí
Stimulus and response;Spreagadh agus freagairt
Stomach acid and bile;Aigéad agus domhlas sa bholg
Transport of reactants/products;Imoibreaín/tairgí a iompair
Vertebrate;Veirtreabrach
wild animal ;Ainmhí fiáin
Life processes;Próisis na beatha
Biotechnology;Biteicneolaíocht
Cell processes - generally;Próiséis na gceall i gcoitinne
Cell structure;Cilldéanmhas
Cell types - generally;Cinéalacha cille-igcoitinne
Cell types – other;Cinéalacha cille-eile
Chromosomes;Crómasóim
Epithelial;Eipitéiliach
Fertilisation;Toirchiú
Luminescent;Lonrach
Meiosis;Méóis
Mitosis;Miotóis
Ova;Ubháin
Root hair;Fréamhribe
Sperm;Speirm
Toxin;Tocsain
Tissues;Fiocháin
Variation, inheritance and evolution;Athrú, oidhreacht agus éabhlóid
Asexual reproduction;Sliochtmhaireacht éignéasach
Classification/keys;Aicmiúcháin/eochracha
Cloning, selective breeding and genetic engineering;Clónáil/roghnú le haghaidh porú agus innealtóireacht ghéiniteach
Darwin;Darwin
Dinosaur;Dineasár
DNA;ADN
Environmental causes of variation;Cúiseanna comhshaoil d' éagsulachtaí
Evolution - generally;Éabhlóid--i gcoitinne
Extinction;Díothú
Fossil record;Taifead iontaiseach
Genetic causes of variation and mutation;Cúiseanna géiniteacha na nathrúcháin agus socháin
Inheritance - generally;Oidhreachtúlacht-i gcoitinne
Inherited diseases;Galair oidhreachtaithe
Monohybrid inheritance;Oidhreacht mhonaihibrideach
Sex determination;Idirdhealú ar bhonn gnéis
Taxonomy;Tacsanomaíocht
Variation – generally;Éagsúlachtaí-i gcoitinne
Chemistry;Ceimic
Physical chemistry;Ceimic fhisiciúil
Chemical Thermodynamics;Teirmidinimic cheimiceach
Chemical Kinetics;Cinéitic cheimiceach
Quantum Chemistry;Candamceimic
Statistical mechanics;Meicnic staitistiúil
Electrochemistry;Leictriceimic
Solid State Chemistry;Ceimic dlúthstaide
 Material Science;Ábhareolaíocht
Plastics/polymers;Plaistigh/polaiméiri
 Analytical Chemistry;Ceimic Anáilíseach
Atomic structure;Struchtúr adamhach
Atomic Absorption Spectroscopy;Speictriméadar ionsú adamhaigh
Atoms – generally;Adaimh-i gcoitinne
Bonding – generally;Nascadh-i gcoitinne
Chromatography;Crómatagrafaíocht
Covalent bonds;Nascanna comhfhiúsacha
Electrons – generally;Leictreoin-i gcoitinne
Ionic bonds;Nascanna ianacha
Molecules – generally;Moilíní-i gcoitinne
Nucleus: protons, neutrons;Nuicléis:protóin:nodróin
Other types of bonding;Cinéalacha nascaidh eile
Role of electrons in reactions;Ról na leictreon in im-oibriúcháin
Chemical Reactions;Imoibrithe Ceimiceacha
Burning;Dó/Dócháin
Chemical changes;Athruithe ceimeacha
Physical changes;Athruithe fisiceacha
Solubility;Intuaslagthacht
Water cycle;Timthriall an uisce
States of matter;Stáid damhnaí
Acids, alkalis and bases;Áigéid,alcailí agus boinn
Conservation of mass;Caomhnú maise
Displacement reactions;Frithghníomhuithe dí-aitithe
Enzymes;Einsimí
Equations and formulae;Cothromóidí agus foirmlí
Exo/endothermic;Eisi/inteirmeach
Oxidation and reaction;Ocsáidiú agus imoibriúchán
Patterns in reactions;Patrúin in imoibrithe
Reaction rates;Rátaí imoibriú
Reactions with metals;Imoibrithe le miotail
Reactivity series;Sraith imoibríochtaí
Reversible reactions;Imoibrithe inchúlaithe
Thermal decomposition;Dianscaoileadh teirmeach
Inorganic chemistry ;An Cheimic Neamhorgánach
Alkali metals;Miotail alcaile
Catalysts;Catalaigh
Compounds - generally;Comhdhúile-i gcoitinne
Distillation;Dríogadh
Extraction of metal from ore;Éastoscadh miotail
Elements;Dúile
Electrolysis;Leictrealú
Filtration;Scagachán
Halogens;Halaigíní
Mixtures;Meascáin
Minerals;Mianraí
Metals – generally;Miotal i gcoitinne
Metal complexes;Coimpléisc miotail
Useful substances from rocks & minerals;Substaintí usáideacha o charraigeacha agus mianraí
Periodic table;Tábla peiriadach
Separation - generally;Deighilt-go ginearálta
Separation - other;Deighilt-eile
Transition metals;Miotal trasdultach
Organic chemistry;An Cheimic Orgánach
Aliphatic Compounds;Cumaisc alafatacha
Aromatic Compounds;Cumaisc aramatacha
Carbon;Carbón
Fossil resources - generally;Acmhainní iontaise-go ginearálta
Fossil fuels;Breoslaí iontaise
Heterocyclic Compounds;Comhdhúile heitreafháinneacha
Hydrocarbons;Hidreacarbóin
Organic Polymers;Polaiméirí órgánacha
Organic Reaction;Frithghníomhú orgánach
Environmental Education;Oideachas Comhshaoil
Climate ;An Aeráid
Climatic phenomenon ;Féinméan clíomach
Meteorology ;Meiteareolaíocht
Energy ;Fuinneamh
Electrical energy ;Fuinneamh leictreach
Electricity ;Leictreachas
Hydroelectric power plant ;Planda cumhachta hidrileictreach
Nuclear energy ;Fuinneamh núicleach
Nuclear physics;Fisic núicleach
Nuclear power plant ;Planda cumhachta núicleach
Renewable energy ;Fuinneamh in-athnuaite
Natural resources ;Acmhainní nadurtha
Environment ;An Comhshaol
Geophysical environment;An comhshaol gheofisiceach
Desert ;Gaineamhlach
Forest ;Foraoís
Forestry;Foraoiseacht
Wood ;Coill
Island ;Oiléan
Lake ;Loch
Meadow;Móinear
