Music;Ceol
Music as a performance art;Ceol mar ealaín feidhmíochta
Appraising, responding & reviewing;Measunú,freagairt agus athbhreithniú
Internalising sounds;Fuaimeanna a hinmhéanú
Recalling music: aural memory;Meabhrú ceoil:cuimhne cluas
Analysing music;Anailsiú ceoil
Context;Comhthéacs
Live performance;Léiriú beo
Recorded performance;Léiriú taifeadta
Concert Hall;Ceoláras
Arena;Aréine
Music Stage;Ceolstáitse
Ceremony;Searmanas
Church;Séipéal
School;Scoil
Music School;Scoil cheoil
Conservatory of Music;Árdscoil cheoil
Chamber Music Hall;Halla ceol aireagail
Street music;Ceol sráide
Theatre;Amharclann
Auditorium;Halla éisteaachta
Music Stage;Stáitse/céim ceoil
Music genres;Seanraí-cheol
Traditional Music;Ceol traidisiúnta
Ballet Music;Ceol bailé
Classical Music;Ceol clasaiceach
Jazz Music;Snagcheol 
Pop – Rock Music;Rac/pop-cheol
Chamber Music;Ceol airgeail
Electronic Music;Ceoil leictreonach
Vocal Music;Ceol gutha
Symphonic Music;Ceol siansach
16th c. Music;Ceol san 16ú aois
17th c. Music;Ceol san 17ú aois
18th c. Music;Ceol san 18ú aois
19th c. Music;Ceol san 19ú aois
20th c. Music (contemporary);Ceol san 20ú aois(comhaimseartha)
General styles & traditions;Stíleannna ghinearálta agus tradisiúin
Music from Europe;Ceol ón Eoraip
Music from Africa;Ceol na h-Afraice
Music from the Americas;Ceol na Meiricéanacha
Music from Asia;Ceol na  h- Aise
Music from Australasia;Ceol na h-Astraláise
Music from other places/cultures;Ceol ó áiteanna eile/cultúir eile
Music from other traditions;Ceol ó traidisiun eile
Music of the past;Ceol ó ama caite
Music of the present;Ceol an lae inniu
Musical stimuli;Spreaghthaigh ceol
Non-musical stimuli;Spreaghthaigh neamh ceoil
Range of activities;Raon gníomhartha
Performing/controlling sounds;Ag feidhmiú/ag rialú fuaimeanna
Controlling sounds;Rialú fuaimeanna
Using the voice;Baint usaíde as an  nguth
Singing, including diction, sounds & techniques;Ag canadh le briathraíocht,fuaimeanna agus teicnící san áireamh
Playing instruments: sounds & techniques;Ag seinm úirlisí ceoil:fuaimeanna agus teicnící 
Practising;Cleactadh
Rehearsing;Réamchleactadh
Performing with others;Ag seinm le daoine eile
Composing, creating & developing;Cumadh,cruthú agus forbairt
Creating & developing ideas;Smaointí a chruthú agus a fhorbairt
Improvising;Seiftiú
Reflective composing;Cumadh frithchaitheamhach
Arranging/accompaniments;Socrú/tionlacan
Responding & reviewing;Freagairt agus áthbhreithniú
Music and Media;Ceol agus Méain
Film music;Ceoil scannáin
Theatre Music;Ceol amharclainne
Background Music;Ceol cúlra
Musical instruments / Human voice;Téada
Strings;
Banjo;Bainseó
Cello;Dordveidhil
Double Bass;Dord dúbailte
Guitar;Gíotar
Harp;Cláirseach
Lute;Liúit
Mandolin;Maindilín
Ukulele;Ucailéile
Viola;Viola
Violin;Veidhlín
Electric Bass;Dord leictreach
Electric guitar;Gíotar leictreach
Zither;Siotar
Keyboards;Eochairchlár
Clavichord;Clabhchórda
Harpsichord;Cruitchlár
Piano;Piano
Synthesizer / Electric Piano;Sintéiseoir/piano leictreach
Organ;Orgán
Fortepiano / Pianoforte;Piano
Winds;Gaotha
Recorder;Taifeadán
Saxophone;Sacsafón
Trombone;Trombón
Trumpet;Trumpa
Tuba;Tiúba
Bagpipes;Píbmhala
Bassoon;Basún
Clarinet;Clarnéid
Contrabassoon;Olldord
Cornet;Coirnéad
Flute;Fliúit
Harmonica;Armónach
Oboe;Obó
French Horn;Corn Francach
English Horn;Corn Sasnach
Percussions;Cnagadh
Bass Drum;Dordruma
Bell;Clog
Castanet;Castainéid
Cymbal;Ciombal
Glockenspiel;Glocainspíl
Gong;Gang
Maracas;Maracas
Metallophone;Miotalafón
Snare Drum;Sreangdhruma
Tambourine;Tambóirín
Timpani;Timpani
Triangle;Triantán
Xylophone;Xileafón
Human;Daonna
Soprano;Soprán
Alto;Alt
Tenoro;Tenoro
Basso;Basso
Music Education;Oideachais Ceoil
Music History;Stair an cheoil
Ancient / Roman era;Sean ré/Románaigh
Aristoxenos;Aristoxenos
Pythagoras;Pythagoras
Pronomos;Pronomos
Byzantine era;An Ré Bhíosantach
Saint Romanos the Melodist;Naomh Romas,an Tiúineoir
Byzantine Hymnography;Grafiomann Biosántach
Medieval/Middle Ages;Méanaoiseach/Na Méanaoiseanna
Gregorian chant;Cantaireacht Ghreagórach
Troubadours and trouvères;Trúbadóirí agus trouveres
Ars antique;Seanda Ars
Ars Nova;Nóva Ars
The Renaissance;An t-Ábheochan
Polyphony;Polyphony
Madrigal;Madrigal
Palestrina;Palestrina
Lassus;Lassus
Byrd;Byrd
Leontaritis;Leontaritis
Motet;Motet
Baroque Period;Ré Baróchais
 Bach;Bach
 Handel;Handel
 Vivaldi;Vivaldi
Telemann;Telemann
Lully;Lully
Corelli;Corelli
Couperin;Couperin
Claudio Monteverdi;Claudio Monteverdi
Rameau;Rameau
Purcell;Purcell
Four Seasons;Ceithre Seasúir
Concerto;Coinséarto
Oratorio;Oratóir
Tonality;Tónlacht
Classical Period;Tréimhse Chlasaiceach
Stamitz;Stamitz
Haydn;Haydn
Johann Christian Bach;Johann Christian Bach
 Salieri;Salieri
Clementi;Clementi
 Mozart;Mozart
Boccherini;Boccherini
Romantic Period;Tréimhse Rómánsúil
Beethoven;Beethoven
Hummel;Hummel
Reicha;Reicha
Paganini;Paganini
Rossini ;Rossini
Donizetti;Donizetti
Schubert;Schubert
Mendelssohn;Mendelssohn
Schumann;Schumann
Liszt;Liszt
Verdi;Verdi
Wagner;Wagner
Bruckner;Bruckner
Strauss;Strauss
Borodin;Borodin
Saint Saens;Naomh Saens
Bizet;Bizet
Mussorgsky;Mussorgsky
Tchaikovsky;Tchaikovsky
Grieg;Grieg
Dvořák;Dvořák
Korsakov;Korsakov
Koehler;Koehler
Elgar;Elgar
Puccini;Puccini
Mahler;Mahler
Debussy;Debussy
Sibelius;Sibelius
Scriabin;Scriabin
Rachmaninoff;Rachmaninoff
Schoenberg;Schoenberg
Ravel;Ravel
Symphonic Poem;Dán Siansach
String Quartet;Téadcheathairéad
Early Romantic era; Ré Romansúil-luath 
Middle Romantic era;Lár Ré Romansúil
Late Romantic era;Iar Ré Romansúil
Contemporary;Comhaimseartha
Kalomiris;Kalomiris
Holst;Holst
Skalkotas;Skalkotas
Mitropoulos;Mitropoulos
Callas;Callas
Serialism;Srathachas
Modernism;Nuaaoiseachas
Xenakis;Xenakis
Notation / Music Theory / Harmony/Musical Morphology;Nodaireacht/Teoiric an Cheoil/Armóin/Moirfeolaíocht Ceolmhar
A;A
B;B
Bar  ;Barr
Beat ;Buille
C;C
Cadence;Dúnadh
Chamber Music ;Ceol Airgeail
