Mathematics;Matamaitic
Algebra and Number Theory;Ailgéabar agus Uimhirtheoiric
Algebra;Ailgéabar
Algebraic calculation;Áireamh ailgéabrach
Algebraic expression;Slonn ailgéabrach
Algebraic Manipulation;Ionramháil Ailgéabrach
Cardinal number;Bunuimhir
Congruences;Iomchuibheas
Distribution of primes;Dáileadh na n-uimhreacha príomha
Divisibility;Inroinnteacht
Equality;Cothroime
Equation of a cycloid;Cothromóid chioglóidigh
Equation of a parabola;Cothromóid pharabóile
Equation of a plane;Cothromóid phlána
Equation of a spiral;Cothromóid bhíse
Equation of a straight line;Cothromóid dronlíne
Equation of an ellipse;Cothromóid éilips
Equation of curve;Cothromóid chuair
Equations;Cothromóidí
Expression;Slonn
Factorization;Fachtóiriú
Formula;Foirmle
Formula for angle;Foirmle an uillinn
Formula for area;Foirmle an achair
Formula for length;Foirmle an fhaid
Formula for volume;Foirmle na toirte
Graphing Techniques;Teicnící grafa
Identity;Céannacht
Inequality;Éagothroime
Inequality General;Éagothroime Ghinearálta
Inner product spaces;Spásanna iolraigh inmheánaigh
Integer;Slánuimhir
Irrational Number;Uimhir Éagóimheasta
Linear Equation;Cothromóid Líneach
Linear equations system;Córas na gcothromóidí líneacha
Linear expression;Slonn líneach
Linear Inequality;Éagothroime Líneach
Linear Inequality With One Variable;Éagothroime Líneach Le hAthróg Amháin
Natural number;Uimhir aiceanta
Ordinal numbers;Orduimhreacha
Polynomial Inequality;Éagothroime Iltéarmach
Primes;Uimhreacha Príomha
Quadratic Equation;Cothromóid Chearnach
Quadratic Inequality;Éagothroime Chearnach
Rational Inequality;Éagothroime Chóimheasta
Rational Number;Uimhir Chóimheasta
Symbol;Siombail
Symbolic Expression;Slonn Siombalach
System of equations;Córas na gcothromóidí
System with two equations and two unknowns;Córas le dhá chothromóid agus dhá anaithnid
Linear Algebra – Number Theory;Ailgéabar Líneach – Uimhirtheoiric
Analysis;Anailís
Complex Analysis;Anailís Choimpléacsúil
Bounded operators;Oibreoirí cuimsithe
Computer Arithmetic;Uimhríocht Ríomhaire
Conformal Mappings;Mapálacha Comhfhoirmiúla
Construction of a plot;Tógáil an bhreacaidh
Continuity and discontinuity;Leanúnachas agus neamhleanúnachas
Error in a plot;Earráid i mbreacadh
Function plot features;Gnéithe an bhreacaidh feidhme
Gradient;Grádán
Graphical Representation of Function;Léiriú Grafach na Feidhme
Integral Transforms;Trasfhoirmeacha Suimeálacha
Interpolation;Idirshuíomh
Local and global description of a plot;Cur síos áitiúil agus domhanda an bhreacaidh
Numerical Differentiation;Difreáil Uimhriúil
Numerical Integration;Suimeáil Uimhriúil
Plots;Breacthaí
Polynomial graph;Graf iltéarmach
Solutions of Equations;Réitigh na gCothromóidí
Solutions of Systems;Réitigh na gCóras
Unbounded Operators;Oibreoirí Éaguimsithe
Functional Analysis;Anailís ar na Feidhmeanna
Global Analysis;Anailís Domhanda
Harmonic Analysis;Anailís Armónach
Numerical Analysis;Anailís Uimhriúil
Real Analysis;Anailís Fíor
Signal Analysis;Anailís Chomharthaí
Applied Mathematics;Matamaitic Fheidhmeach
Engineering Mathematics;Matamaitic Innealtóireachta
Bar chart;Barrachairt
Bias;Claonadh
Box plot;Breacadh Bhoscaí
Calculator;Áireamhán
CAS;CAS
Case count;Áireamh na gcásanna
Circular chart;Cairt chiorclach
Compass;Compás
Construct with ruler and compass;Tóg le rialróit agus compás
Contingency table;Tábla Teagmhasachta
Cumulative frequency diagram;Léaráid minicíochta carnaí
Data chart features;Gnéithe na cairte sonraí
Diagram;Léaráid
Double entry table;Tábla iontrála dúbailte
Dynamic interactive geometry environments;Timpeallachtaí dinimiciúla na céimseata idirghníomhaí
Experiments;Turgnaimh
Frequency diagram;Léaráid minicíochta
Function Plotter;Breacaire Feidhme
Graduated ruler;Rialtóir grádaithe
Graphical display of data;Taispeántas grafach sonraí
Graphing Calculator;Áireamhán Grafa
Histogram;Histeagram
Line chart;Cairt líneach
Multiple chart;Ilchairt
Outlier;Asluiteach
Pie chart;Píchairt
Polygon of frequencies;Polagán na minicíochtaí
Problems from other subjects;Fadhbanna ó abhair eile
Programmable Calculator;Áireamhán In-ríomhchláraithe
Protractor;Uillintomhas
Real world problem;Fadhb an tsaoil dáiríre
Ruler;Rialtóir
Sector chart;Cairt earnálach
Set square;Dronbhacart
Simulation;Ionsamhlúchán
Skewness;Sceabhacht
Software Tools;Uirlisí Bogearraí
Spreadsheet Software;Bogearraí Scairbhileoige
Statistical table;Tábla staitistiúil
Table;Tábla
Table with several columns;Tábla le roinnt colún ann
Template;Teimpléad
Tool;Uirlis
Tree diagram;Léaráid chrainn
Word problem;Fadhb fhocail
Mathematical Biology;Bitheolaíocht Mhatamaiticiúil
Mathematical Economics;Eacnamaíocht Mhatamaiticiúil
Mathematical Physics;Fisic Mhatamaiticiúil
Mathematics for Computer;Matamaitic don Ríomhaireacht
Science;Eolaíocht
Mathematics for Humanities;Matamaitic do na Daonnachtaí
Mathematics for Social Sciences - Software;Matamaitic do na hEolaíochtaí Sóisialta - Bogearraí
Differential and Difference Equation;Cothromóid Difreálaigh agus Difríochta
Discrete Mathematics;Matamaitic Scoite
Algorithms;Algartaim
Combinations;Teaglamaí
Linear problems;Fadhbanna líneacha
Permutations;Iomalartuithe
Combinatorics;Matamaitic theaglamach
Game Theory;Teoiric Chluichí
Graph Theory;Teoiric Ghraf
Recursion;Athfhilleadh
Geometry;Céimseata
Elementary plane geometry;Céimseata phlánach bunúsach
Ampliation;Aimpliúchán
Archimedean solid;Solad Airciméadach
Bisector-Plane;Plána-Déroinnteora
Circle;Ciorcal
Circle of latitude;Ciorcal leithid
Circumcircle;Imchiorcal
Cone;Cón
Conic Section;Cónghearradh
Cube;Ciúb
Cuboid;Ciúbóideach
Cylinder;Sorcóir
Disc;Diosca
Dodecahedron;Dóideacaihéadrán
Ellipse;Éilips
Enlargement;Méadú
Hyperbola;Hipearbóil
Icosahedron;Icisihéadrán
Incircle;Inchiorcal
Meridian;Fadlíne
Movement;Gluaiseacht
Octahedron;Ochtaihéadrán
Orthogonal projection;Teilgean ortagánach
Orthogonal projection of solid;Teilgean ortagánach de sholad
Parabola;Parabóil
Parallel projection;Teilgean comhthreomhar
Perspective projection;Teilgean peirspictíoch
Plane;Plána
Plane in coordinate system;Plána i gcóras comhordanáideach
Platonic solid;Solas Platónach
Polyhedron;Polaihéadrán
Polyhedron composition;Comhshuíomh polaihéadráin
Polyhedron decomposition;Dianscaoileadh polaihéadráin
Polyhedron deformation;Díchumadh polaihéadráin
Polyhedron dualize;Déachas polaihéadráin
Polyhedron movement;Gluaiseacht pholaihéadráin
Polyhedron transformation;Trasfhoirmiú polaihéadráin
Polyhedron truncating;Teascadh polaihéadráin
Polyhedron unfold;Nochtadh polaihéadráin
Prism;Priosma
Projection;Teilgean
Pyramid;Pirimid
Reduction;Laghdú
Reflection;Frithchaitheamh
Reflection in a line;Frithchaitheamh i líne
Reflection in a plane;Frithchaitheamh i bplána
Reflection in a point;Frithchaitheamh i bpointe
Revolution Solid;Solad Rothlaithe
Right-Prism;Dron-Phriosma
Right parallelepiped;Dron chomhthreomharóid
Rotation;Rothlú
Simple solid objects;Ábhair soladacha simplí
Simple calculation of volume;Áireamh simplí na toirte
Solid objects;Ábhair soladacha
Sphere;Sféar
Symmetry plane;Plána na siméadrachta
Tetrahedron;Teitrihéadrán
ThreeD Object;Ábhar Tríthoiseach
Transformation;Trasfhoirmiú
Translation;Aistriú
Volume;Toirt
Geometric Proof – Solid Geometry;Cruthúnas Céimseatúil – Céimseata Sholadach
Logic and Foundations;Loighic agus Bunúis
Logic;Loighic
Cardinality;Bunuimhreacht
Coloring Proof;Cruthúnas Dathúcháin
Counterexample;Frithshampla
Deductive method;Modh déaduchtach
Direct Proof;Cruthúnas Díreach
Fallacy;Fallás
Inductive method;Modh ionduchtach
Methods of Proof;Modhanan Cruthúnais
Pigeonhole Principle;Prionsabal Pholl Clóiséidín
Proof;Cruthúnas
Proof by contradiction;Cruthúnas trí bhréagnú
Sets and Set Operations;Tacair agus Oibríochtaí ar Thacair
Venn Diagrams;Léaráidí Venn
Set Theory;Tacartheoiric
Numbers and Computation;Uimhreacha agus Ríomhaireacht
Arithmetic;Uimhríocht
Approximate value;Garluach
Arithmetic Sequence;Seicheamh Uimhríochta
Bound;Cuimse
Cartesian coordinates;Comhordanáidí Cairtéiseacha
Coordinates;Comhordanáidí
Coordinates of a point;Comhordanáidí pointe
Cosine;Comhshíneas
Decimal number;Uimhir dheachúlach
Dividend;Rannann
Fibonacci Sequence;Seicheamh Fibonacci
Fraction;Codán
Frequency;Minicíocht
Geometric Sequence;Seicheamh Céimseata
Lower bound;Cuimse íochtair
Number;Uimhir
Number Theory;Uimhirtheoiric
Percentage;Céatadán
Polar Coordinates;Comhordanáidí Polacha
Power;Cumhacht
Quotient;Líon
