Social Studies;Staidéar Shóisialta
Discipline;Disciplín
Administrative Sciences;Eolaíocht Riaracháin
Anthropology;Antraipeolaícht
Applied Social Sciences;Eolaíochtaí Sóisialta Feidhmeach
Archaeology;Seandalaíocht
Behavioural sciences;Eolaíochtaí Iompraíochta
Economics;Eacnamaíocht
Educational Sciences;Eolaíochtaí Oideachais
Ethnology;Eitneolaíocht
Futurology;Todhceolaíocht
Legal Sciences;Eolaíochtaí Dlí
Linguistics;Teangeolaíocht
Psychology;Siceolaíocht
Social Geography;Geografíocht Shóisialta 
Sociology;Sochaolaíocht
Theory,  Approach and Author ;Teoiric, Cuir chuige agus Údar
Approach;Cur chuige
Causalism;Cúisíochas
Comparatism;Inchomparáideachas
Determinism;Cinnteachas
Diffusionism;Aonfhoinseachas
Environmentalism;Comhshaolachas
Ethnocentrism;Eitnealárnachas
Ethnolinguistic;Eitnoteangeolaíocht
Ethnometodology;Eitnea-mhodeolaíocht
Ethnoscience;Eitneaeolaíocht
Femminism;Feimineachas
Functionalism;Feidhmiúlachas
Human Ecology;Eiceolaíocht Dhaonna
Liberism;Liobrálachais
Libertarianism;Liobraíochas
Marxism;Marxachas
Modernism;Nua-aoiseachas
Mythology;Déscéalaíocht
Post-modernism;Iar Nua-aoiseachas
Pragmatism;Praymatachas
Proxemics;Procsaeimic
Rationalism;Réasúnachas
School of thought;Scoil Smaointeoireachta
Symbolism;Siombalachas
Theory;Teoiric
Unionism;Aontachas
Method and Methodology; 
Ethnography;Eitneagrafaíocht
Focus Group;Grúpa fócais
Georeference;Geogshuigh/Geogshuíomh
Interview;Agallamh
Method;Modh
Methodology;Modheolaíocht
Observation;Breathnóireacht
Participant Observation;Breathnóireacht Rannpháirteach
Qualitative research;Taighde Cáilíochtúil
Quantitative research;Taighde Cainníochtúil
Questionnaire;Ceistneoir
Survey;Suirbhé
Video-recording;Fís-taifead
Visual research;Amharc Taighde
Culture and Cultural Theory ;Cultúr agus Teoiric Cultúrtha
Acculturation;Athchultúrú
Assimilation;Comhshamhlú
Authenticity;Barántúlacht
Autochthony;Uatheascartachas
Colonialism;Coilíneachas
Counterculture;Frithchultúr
Cultural Model;Samhail Cultúrtha
Cultural Theory;Teoiric Cultúrtha
Culture;Cultúr
Decolonization;Díchoilíniú
Degeneration;Meathlúcháin
Detribalization;Frith-Déthreibiú
Differentiation;Difréail
Discrimination;Leithcheal
Emancipation;Fuascailt
Ethnicity;Eitneachas
Evolution;Éabhlóid
Folk culture;Cultúr na nDaoine
Inculturation;Ionchultúrú
Individualism;Indibhidiúlachas
Integrationism;Comhcheangalachas
Literacy;Litrearthacht
Marginalization;Imeallú
Modernization;Nua-aoisiú
Multiculturalism;Ilchultúrthacht
Nationalism;Naisiúnachas
Naturalism;Nadúrachas
Orality;Béalaireacht
Prejudice;Claontacht
Primitive;Cianach
Racism;Ciníochas
Relativism;Coibhneasachas
Syncretism ;Sincréatachas
Tribalism;Treibheachas
Universalism;Uilíochas
Urbanism;Uirbeachas
Xenophobia;Seineafóibe
Nature and environment;Nadúr agus Timpeallacht
Agressiveness;Ionsaitheacht
Animal;Ainmhí
Animality;Ainmhíochas
Behaviour;Iompraíocht
Biodiversity;Bitheagsúlacht
City;Cathair
Countryside;Tuath
Energy;Fuinneamh
Environment ;Comhshaol
Global Warming;Téamh Domhanda
Instinct;Instinn
Landscape;Tírdhreachtaigh
Nature;Nadúr /Dúlra
Pollution;Truailliú
Resources;Acmhainní
Urban space;Spás Uirbheach
Wild (-ness);Fíain (Eiántas)
Body and body-experiences ;Corp agus taithí-coirp
Affect;Mothachtáil
Adultness;Aosachas
Age;Aois
Birth;Breith
Body;Corp
Body-practice;Cleachtas-coirpe
Castration;Coilleadh
Corpse;Corpón
Death;Bás
Ego;Mise
Emotion;Mothúchán
Female;Baineann
Fertility;Torthúlacht
Handicap;Míchumas
Health;Sláinte
Identity;Féiniúlacht
Individual;Duine Aonair
Life;Saol
Male;Fireannach
Man;Fear
Middle-age;Méanaois
Mutilation;Milleadh
Name;Ainm
Old-age;Seanaois
Organ;Orgán
Psyche;Sicé
Scar;Scaradh
Sexuality;Gnéasacht
Trauma;Tráma
Woman;Bean
Youth;Órgánach
Political life and organization ;Saol Polaitiúil agus eagrú
Action;Gníomh
Activism;Gníomhaíochas
Activist;Gníomhaí 
Army;Arm
Assistance;Cabhair
Association;Eagraíocht
Bio-power;Bith-chumacht
Bourgeoisie;Méanaicmeach
Charisma;Carasma
Class;Aicme
Community;Pobal
Confidence;Muinín/urraim
Conflict;Coimhlint
Corporation;Corparáid
Crime;Coir 
Decision-making;Cinnteóireacht
Democracy;Daonlathas
Devolution;Dí-larú
Dispute;Conspóid
Divorce;Colscaradh
Doctrine;Foirceadal
Elite;Scothaicme
Firm;Gnólacht
Gangs;Dronganna
Government;Rialtas
Honour;Onóir
Institution;Institiúid
Judge;Breitheamh
Juridical System;Córas Breithiúnach
Jurisprudence;Dlí-eolaíocht
Law;Dlí 
Law;Dlí
Leadership;Ceannaireacht
Legislation;Reachtaíocht
Membership;Ballraíocht
Militia;Mílíste
Mobbing;Mabáil
Monarchy;Monarcacht
Movement;Gluaiseacht
Nobility;Uaisleacht
Opinion;Barúil
Order;Órdú
Organization;Éagraíocht
Patronage;Pátrúnacht
Planning;Pleanáil
Police;Na Poilíní
Policy;Polasaí
Politics;Polaitíocht
Power;Cumhacht
Prestige;Gradam
Prison;Príosún
Proletariat;Prólatáireacht
Propaganda;Bolscaireacht
Public opinion;Tuairimí an phobail
Republic ;Poblacht
Revolution;Reabhlóid
Seniority;Sinsearacht
Shame;Náire
Slavery;Daoirse
Social mobility;Soghghluaiseacht shóisialta
Social Norm;Norm Sóisialta
State;Stát
Struggle;Streachailt
Trade Union;Ceardchumann
Violence;Foréigean
War;Cogadh
Worker;Oibrí
Economy ;Geilleagar
Advertising;Fógraíocht
Agriculture;Talamhaíocht
Alienation;Coimhthiú
Altruism;Altrúchas
Artisanship;Ceardaíocht
Assistance;Cúnamh
Association;Cumann
Basis;Bonn
Beneficence;Dea-ghníomhaíocht
Brand;Branda
Central Administration;Riaracháin Lárnach
Choice;Rogha
Commodity;Tráchtearra
Consumption;Tomhaltas
Corporation;Comparáid
Craft;Céird
Craftsman;Ceardaí 
Craftsmanship;Ceardaíocht
Criminality ;Coiriúlacht
Crisis;Aothú/Gearrchéim
Cycle of production;Timthriall táirgthe
Decision;Cinneadh
Economy;Eacamíocht
Egoism;Fémspéiseachas
Entrepreneur;Fiontraí
Fashion;Faisean
Fast-food;Mearbhia
Finance;Airgeadais
Food;Bia
Foranging;Sealgaireacht
Gift;Bronntanas
Globalization;Domhandú
Governmentality;Imrialtasach
Heritage (Natural and Cultural);Oidhreacht (Nadúrtha agus Chultúrtha)
Hunting;Ag fiach
Industry;Tionscal
Interest;Suim
Internet;Idirlíon
Labour;Lucht Saothar
Loan;Iasacht
Local Administration;Riarachán  Áitiúil
Logo;Lógó
Luxury;Só
Mass-communication;Mórchumarsáid
Material base;Bonn ábhar
Mean of production;Modhanna Tairgeachta
Mechanisation;Meicniú
Money;Airgead 
Philanthropy;Daonchairdeas
Popular;Móréilimh
Pornography;Pornagrafaíocht
Possession;Seilbh
Prostitution;Striapachas
Rationalization;Cuíchóiriú
Recession;Culú/Meath-lú
Sport;Spórt
Standard;Caighdéan/cáilíocht
Stock;Stoc
Technics;Teicnicí
Trend;Treo/claonadh
Trust;Iontaobhas
Unemployment;Dífhostaíocht
Religion, belief and practice;Religiún, creideamh agus cleachtadh
Ancestor worship;Adhradh sinsir
Cannibalism;Canablacht
Castration;Spocadh/Coilleadh
Corpse;Corpán
Dogma;Dogma
Founder;Bunaitheoir
Future;Todhchaí
Hero;Laoch
Initiation;Tionscnamh/glacadh isteach
Magic;Draíocht
Mourning;Mairgneach
Myth;Miotas
Rite;Deasghnáth
Rite of passage;Deasghnáth aistrithe saoil
Sacred;Sácráilte
Scarnification;Scarneolaíocht
Secret Society;Sochaí Rúnda
Soul;Anam 
Symbol;Siombail
Syncretism;Sincréatchas
Totemism;Tótamas
Society and its features;An tSochaí agus a gnéithe
Commuting;Comaitéireacht
Corporatism;Corparáideachas
Crowd;Slua
Emigration;Eisimirce
Endogamy;Iondógamaíocht
Ethnodiversity;Eitnéagsúlacht
Exogamy;Easgamaíocht
Family;Clann
Folklore;Béaloideas
Generation;Glúin
Group;Grúpa
Habit;Nós
Heritage;Oidhreacht  
Immigration;Inimirce
Incest;Ciorraí coil
Integration;Imeascadh
Kinship;Gaol
Levirate;Déarthair chéile a phósadh
Life-style;Nós maireachtála
Marginality;Imeallacht
Marriage;Pósadh
Mass;Aifreann
Melting pot;Pota leá
Migration;Imirce
Mobility;Soghluaiseacht
Monogamy;Monagamas
Monster;Ollphéist
Nation;Naisiún 
Order;Órd
Organization;Eagraíocht
People;Daoine
Person;Duine  
Polygamy;Polagamas
Race;Cine
Rationality;Reasúnacht
Role;Ról
Society;Sochaí  
Stratification;Srathú
Tradition;Traidisiún
Traditional Knowledge;Faisnéis Traidisúnta
Tribe;Treibh 
Medicine, health and sickness ;Leigheas, Sláinte agus Breoíteacht
Biomedicine;Bithleighneas
Cure;Leigheas
Desease;Galar
Doctor;Dochtúir
Ethnomedicine;Eitnealeigheas
Healing;Cneasú
Hospital;Oispidéal
Illness;Tinneas
Nursing;Altrannas
Reproduction;Sliochtmhaireacht
Sickness;Breoíteacht
Welfare state;Stát leasa 
Witchcraft;An ealaín dhubh
