ICT;TFC
Communications & entertainment;Cumarsáid & Siamsaíocht
Advertising;Fograíocht
Changing technologies;Teicneolaíochtaí ag athrú
Chat;Déan comhrá
Communications issues;Saincheisteanna cumarsáide
Communicative competence;Iniúllacht chumarsáideach
Developments in software & hardware & their impact;Forbairtí i mbogearraíl & crua earraí & a dtionchar
Electronic journal;Ríomh-irishleabhar
Gadgets;Giúréidí
Integration of digital products;Imeascadh tairgí digiteacha
Language;Teanga
Mass media;Mór mheáin
Media education;Meáin oideachas
Video & audio;Fís & fuaim
Web 2.0;Greasán 2.0
Control concepts;Coincheapa rialaithe
Automating events;Uathoibriú ócáidí
Considering 'what if...?'/predicting;Ag plé 'cad más rud é?'/réamh mheas
Controlling;Rialú
Feedback/responding to data;Aischothú/freagra a thabhairt ar shonraí
Instructions;Treoir
Modelling;Samhltú
Procedures/macros/templates;Gnásanna/macraí
Relationships & rules;Gaolmhaireachtaí & rialacha
Sequencing;Seicheamhú
Simulating;Ionsamhlú
Data concepts;Coincheapa sonracha
Appropriate/not appropriate;Oiriúnach/mí-oiriúnach
Benefits & problems of data collection;Buntaistí & fadhbanna de bailithe sonraí
Classification;Rangú
Data capture;Sonraí a ghabháil
Data collection;Bailiú sonraí
Data logging;Logáil sonraí
Data presentation;Leiriú sonraí
Data processing;Próiseaíl sonraí
Data representation;Ionadaíocht sonraí
Database terminology & definitions;Bunachar-- téarmaíocht agus sainmhínithe
Databases;Bunachair
Databases management;Bunachair a bhainistiú
Database stucture;Struchtúr bunachair
Datalogging;Logáil sonraí
Labelling;Lipéadú
Limitations/advantages;Teorainneacha/Buntaistí
Linked databases & database structures;Bunachair nascaithe & a struchtúir
Number bases;Uimhirbhoinn
Number conversion;Uimhir iompú
Numbers;Uimhreacha
Numerical notation;Nodaireacht uimhriúil
Planning what data to record;Ag pleanáil cén sonraí a thaífeadadh
Plausibility;Craicneachas
Presenting measured data;Sonraí tomhaiste a leiriú
Quality & accuracy;Cailaíocht & cruinneas
Storing & retrieving data;Sonraí a storáil/aisghabháil
Search techniques;Teicnicí cuardaigh
Sensors & software Appropriate/not appropriate;Braiteoirí & bogearraí. Oiriúnach/mí-oiriúnach
Sounds;Fuaimeanna
Still images - generally;Íomhanna seasta- go ginearálta
Still images: bitmap graphics;Íomhanna seasta: grafaic ghiontánmhapach
Still images: graphs;Íomhanna seasta: graif
Still images: pictograms;Íomhanna seasta: Picteagraim
Still images: vector graphics;Íomhanna seasta: grafaic inscálaithe
Synthesising information;Eolas a shintéisiú
Text;Téacs
Use of queries, forms, reports, macros;Úsáid iarratais, foirmeacha, tuarascálacha, macraí
ICT tools;TFC
ICT tools – generally;Úirlisí TFC- go ginearálta
ICT tools: adventure games/simulations;Úirlisí TFC: cluichlí eachtraíochta/ionsamhlúcháin
ICT tools: bitmap graphics software;Úirlisí TFC: bogearraí ghrafaic ghiotánmhapach
ICT tools: control software;Úirlisí TFC: bogearraí ceannasach
ICT tools: database;Úirlisí TFC: bunachar sonraí
ICT tools: datalogging software;Úirlisí TFC: logáil sonraí bogearraí
ICT tools: desktop publishing (DTP);Úirlisí TFC: foillsitheoireacht deisce (DTP)
ICT tools: multimedia authoring software;Úirlisí TFC: Bogearraí cheapadóireachta ilmheáin
ICT tools: music & sound software;Úirlisí TFC: bogearraí ceoil & fuaime
ICT tools: presentation software;Úirlisí TFC: bogearraí laithreoireachta
ICT tools: spreadsheet;Úirlisí TFC: scairbhilleog
