Foreign Language Learning;Teanga Iasachta a Fhoghlaim  
Reading;Léitheoireacht
Pre-Reading Activities;Gníomhaíochtaí Réamhléitheoireachta
Making Predictions;Réamhinsintí a dhéanamh
Activating / Generating Knowledge;Faisnéis a Ghiniúnt/Ghniomhachtú
During Reading Activities;Le Linn Léitheoireachta
Directed / Guided Reading;Leitheoireacht Treoraithe/Stiúraithe
Reading Discussion;Díospóireacht Léitheoireachta
Whole Class Literature Study;Staidéar Litríochta don Rang Uile
Literature Circles / Book Clubs;Ciorcail Litríochta/Clubanna Leabhar
Sustained Silent Reading;Léitheoireacht Leanúnach Tostach
Independent Reading;Leitheoireacht Neamhspléach
Rereading;Ath-léitheoireacht
Descriptive Analysis;Anailís thuairisciúil
Critical Analysis / Reflection;Anailís Chriticiúil / Machnamh
Dramatic Reading / Reader’s Theater;Léitheoireacht Dhrámatilú / Amharclann Léitheora
Note Taking;Breacadh Notaí
Literature Reading;Léitheoireacht Litríochta
Nonfiction Reading;Léitheoireacht Neamhfhicsean
Reading Other Forms of Text;Foirmeacha Téacs Eile a Léamh
Post-Reading Activities;Gníomhaíochtaí Iar-léitheoireachta
Completing Scales;Scálaí a Shlánú
Summarizing;Achoimriú
Quizzing / Testing;Ceistiú / TástáIl
Sharing / Collaborating;Comhroinnt / Comhoibriú
Discussion;Díospóireacht 
Reconstituting / Reconsidering Text;Áthdhéanamh / Áthmhachnamh Teács
Creating Text-Related Artifacts;Déantáin bainteach le Téasc a Chruthú
Writing;Scríbhneoireacht
Pre-Writing Activities;Gníomhaíochtaí Réamh-Scríbhneoireachta
Brainstorming/Listing;Babhta Tobsmaointe / Liostáil
Doodling;Breacaireacht
Webbing / Clustering / Semantic Mapping;Caolrabhaisc / Braisliú / Léirscáiliú Séimeantach
Freewriting / Guided Freewriting;Saorscríbhneoireacht/Saorscríbhneoireacht Treoraithe
Researching;Taighde a dhéanamh
Organizing Ideas for Writing Activities;Eagrú Smaointe do Ghníomhaíochtaí Scríbhneoireachta
Sequencing / Outlining / Storyboarding;Seiceamhú / Dreachtú / Scéalbordála 
Higher-order Webbing / Clustering;Caolrabhaisc - in órd níos airde / Braisliú
Choosing Form / Genre;Foirm / Séanra a roghrú
Identifying Purpose / Audience;Cuspóir / Lucht Éisteachta a aithint
During Writing Activities;Le Linn Gniomhaíochtaí Sríbhneoireachta
Drafting;Dreachtú
Conferencing;Comhdháil
Revising;Áthbhreithniú
Editing;Eagarthóireacht
Consulting Resources;Acmhainní Comhairleacha
Writing Fiction;Ficsean a Scríobh
Writing Nonfiction;Neamhfhicsean a Scríobh
Writing Other Forms of Text;Foirmeacha Eile Téacs a Scríobh
Translation;Aistriú
Post-Writing Activities;Gníomhaíochtaí Iar-Scríobhneoireachta
Sharing;Comhroinnt  
Publishing;Foilsiú
Performing;Feidhmiú
Speaking;Labhairt
During Reading activities;Le Linn Gníomhaíochtaí Éisteachta
Speaking / Speech;Labhairt / Cumas Cainte
Performance / Production;Feidhmiú / Léiriúcháin
Post-Speaking activities;Iar-ghníomhaíochtaí Labhartha
Evaluating / Criticizing Speech / Production;Lucháil / Cáineadh / Caint / Léiriú
Listening;Éisteacht
During Listening activities;Le Linn Gníomhaíochtaí Éisteachta
Listening Passively;Éisteacht go héighníomhach
Listening Actively;Éisteacht go gníomhach
Multimodal / Multimedia Interaction;Idirghníomhú il-mhéain / il-mhódach
Vocabulary;Stór Focal
Vocabulary Awareness;Feasacht Stór Focail
Vocabulary Analysis;Anailisiú Stór Focail
Vocabulary Use;Úsáid Stór Focail
Grammar ;Gramadach
Sentence Composing;Cumadh Abairte 
Code Switching;Códmhalartú
Word Analysis;Anailís Focal
Sentence Analysis;Anailís Abairte 
Style / Error Analysis;Anailís Stílis / Earráide
Semantic Analysis;Anailís Séimeantaice
Mechanics;Meicnic
Usage;Úsáid  
Language Errors;Earráidí teangacha
Spelling;Litriú
