Music;Musica
Bach;Bach
Handel;Handel
Mozart;Mozart
Salieri;Salieri
Vivaldi;Vivaldi
16th c. Music;16 ° sec. Musica
17th c. Music;17 ° sec. Musica
18th c. Music;18 ° sec. Musica
19th c. Music;19 ° sec. Musica
20th c. Music (contemporary);20 ° sec. Musica (contemporanea)
Dominant 7th's;7a dominante di
Major and Minor 7ths;7ths Major e Minor
A;A
Dissonant and Consonant Chords;Accordi dissonanti e consonanti
Sixth and Ninth Chords;Accordi sesto e nono
Chord;Accordo
Major chord;Accordo maggiore
Acoustics;Acustica
Sharp;Affilato
Loudspeaker;Altoparlante
Sound analysis;Analisi del suono
Analysing music;Analisi musica
Ancient / Roman era;Antico / epoca romana
Flat;Appartamento
Arena;Arena
Aristoxenos;Aristosseno
Harmonics;Armonia
Harmonica;Armonica
Harp;Arpa
Ars antique;Ars antico
Ars Nova;Ars Nova
Auditorium;Auditorium
Earphones;Auricolari
B;B
Bagpipes;Bagpipes
Ballet Music;Balletto Musica
Banjo;Bangio
Bar  ;Bar
Baroque Period;Barocco
Bass Drum;Bass Drum
Basso;Basso
Electric Bass;Basso elettrico
Beat ;Battere
Beethoven;Beethoven
Demisemiquaver;Biscroma
Demisemiquaver rest;Biscroma resto
Bizet;Bizet
Boccherini;Boccherini
Borodin;Borodin
Bruckner;Bruckner
Byrd;Byrd
C;C
Cadence;Cadenza
Callas;Callas
Bell;Campana
Range of activities;Campo di attività
Singing, including diction, sounds & techniques;Cantare, tra cui dizione, suoni e tecniche
Gregorian chant;canto gregoriano
Song;Canzone
Musical features;caratteristiche della musica
Castanet;Castagnetta
Ceremony;Cerimonia
Chamber Music Hall;Chamber Music Hall
Clef ;Chiave
Key Signature;Chiave di firma
Church;Chiesa
Guitar;Chitarra
Electric guitar;Chitarra elettrica
Circle of Fifths;Circolo delle quinte
Clarinet;Clarinetto
Claudio Monteverdi;Claudio Monteverdi
Harpsichord;Clavicembalo
Clavichord;Clavicordo
Clementi;Clementi
Composing, creating & developing;Comporre, creare e sviluppare
Computer Music;Computer Music
Computer-enhanced Music;Computer-enhanced Musica
Concerto;Concerto
Conservatory of Music;Conservatorio di Musica
Contemporary;Contemporaneo
Context;Contesto
Alto;Contralto
Contrapunto;Contrapunto
Contrabassoon;Controfagotto
Strings;corde
Corelli;Corelli
Cornet;Cornetta
French Horn;Corno
English Horn;Corno inglese
Choir;Coro
Couperin;Couperin
Creating & developing ideas;Creazione e sviluppo di idee
Quaver;Croma
Quaver rest;Croma resto
D;D
Debussy;Debussy
Digital Audio Recorder;Digital Audio Recorder
Arranging/accompaniments;Disposizione / accompagnamenti
Dolby surround;Dolby surround
Donizetti;Donizetti
Double Accidental;Doppia accidentale
Double Bass;Double Bass
Duo;Duo
Dvořák;Dvořák
E;E
Music Education;educazione musicale
Musical elements & devices;Elementi musicali e dispositivi
Elgar;Elgar
Byzantine era;Epoca bizzantina
Middle Romantic era;Epoca Medio romantica
Late Romantic era;Epoca romantica in ritardo
Early Romantic era;Epoca romantica presto
Performing with others;Esecuzione con gli altri
Musical expression;Espressione musicale
Ethnomusicology;Etnomusicologia
Expression Marks;Expression Marks
F;F
Fa;Fa
Bassoon;Fagotto
Do;Fare
Winds;fiati
Film music;Film musica
Physics;fisica
Flute;Flauto
Waveforms;Forme d'onda
Fortepiano / Pianoforte;Fortepiano / Pianoforte
Four Seasons;Four Seasons
Frequency;Frequenza
Fugue;Fuga
General MIDI;General MIDI
Music genres;Generi musicali
Glockenspiel;Glockenspiel
Gong;Gong
Grieg;Grieg
Haydn;Haydn
Hemidemisemiquaver ;Hemidemisemiquaver
Holst;Holst
Hummel;Hummel
Improvising;Improvising
Byzantine Hymnography;innografia bizantina
Ensemble;Insieme
Intervals;Intervalli
Harmonic Intervals;Intervalli armonici
Melodic Intervals;Intervalli melodici
Invert Triads;Inverti Triadi
Johann Christian Bach;Johann Christian Bach
Kalomiris;Kalomiris
Koehler;Koehler
Korsakov;Korsakov
La;La
Lassus;Lassus
Tie ;Legare
Leontaritis;Leontaritis
Linguistics;Linguistica
Liszt;Liszt
Lute;Liuto
Lully;Lully
M.I.D.I (Musical Instrument Digital Interface);M.I.D.I (Musical Instrument Digital Interface)
Madrigal;Madrigal
Major;Maggiore
Mahler;Mahler
Mandolin;Mandolino
Maracas;Maracas
Medicine, Psychology;medicina e psicologia
Medieval/Middle Ages;Medioevo
Melody ;Melodia
Mendelssohn;Mendelssohn
Metallophone;Metallophone
Mi;Mi
Microphone;Microfono
Minim note;Minim nota
Minim rest;Minim resto
Minor;Minore
Measure;Misurare
Mitropoulos;Mitropoulos
Modernism;Modernismo
Digital sound editing;Montaggio del suono digitale
Motet;mottetto
MP3;MP3
Music analysis ;Musica analisi
Classical Music;Musica Classica
Music as a performance art;Musica come performance artistica
Music from other traditions;Musica da altre tradizioni
Music from other places/cultures;Musica da altri luoghi / culture
Music from Asia;Musica da Asia
Music from Australasia;Musica da Australasia
Chamber Music;Musica da Camera
Chamber Music ;Musica da Camera
Music from Africa;Musica dall'Africa
Music from the Americas;Musica dalle Americhe
Music from Europe;Musica dall'Europa
Music of the past;Musica del passato
Music of the present;Musica del presente
Music recording;Musica di registrazione
Background Music;Musica di sottofondo
Music and ICT hardware;musica e hardware ict
Music and ICT;musica e ict
Music and Physics;Musica e la fisica
Music and Mathematics;Musica e Matematica
Music and Media;Musica e Media
Music and ICT software;musica e software ict
Music editing;Musica editing
Music e-learning ;Musica e-learning
Electronic Music;Musica Elettronica
Jazz Music;Musica Jazz
Music Videoconference Loop;Musica Loop Videoconferenza
Music Stage;Musica Palcoscenico
Music Psychology;Musica Psicologia
Symphonic Music;Musica Sinfonica
Music Software;Musica Software
Traditional Music;Musica Tradizionale
Vocal Music;Musica Vocale
Musicology;musicologia
Music Therapy;Musicoterapia
Mussorgsky;Mussorgsky
Mute;Mute
Tape recording;Nastro di registrazione
Natural;Naturale
Non-musical stimuli;Non-musicali stimoli
Note;Nota
Dotted Note ;Nota Dotted
Note values;Nota I valori
Whole note ;Nota intera
Eighth note rest;Nota resto Ottava
Notation ;Notazione
Notation / Music Theory / Harmony/Musical Morphology;notazione/teoria musicale/arminia/morfologia musicale
Nocturne;Notturno
Oboe;Oboe
Wave nodes;Onda nodi
Waves;Onde
Opera;Opera
Oratorio;Oratorio
Orchestra ;Orchestra
Orchestration ;Orchestrazione
Organ;Organo
Sound oscillator / Envelope;Oscillatore audio / Busta
Octave;Ottava
Eighth note  ;Ottava nota
Octet ;Ottetto
Paganini;Paganini
Palestrina;Palestrina
Pitch;Pece
Pitch ;Pece
Percussions;percussioni
Live performance;Performance dal vivo
Recorded performance;Performance registrate
Classical Period;Periodo classico
Romantic Period;Periodo romantico
Staff;Personale
Phonetics;Phonetics
Phonology;Phonology
Piano;Pianoforte
Cymbal;Piatto
Pythagoras;Pitagora
Pitch/melody;Pitch / melodia
Polyphony;polifonia
Polka ;Polka
Pop – Rock Music;Pop - Rock Music
Practising;Praticare
Prelude ;Preludio
Online performance ;Prestazioni in linea
Presto ;Presto
Performing/controlling sounds;Produrre e controllare il suono
Progression ;Progressione
Pronomos;Pronomos
Rehearsing;Provare
Psychoacoustics;Psicoacustica
Puccini;Puccini
Score;Punteggio
Purcell;Purcell
Quartet ;Quartetto
Quarter note;Quarto di nota
Rachmaninoff;Rachmaninoff
Rameau;Rameau
Rhapsody ;Rapsodia
Ravel;Ravel
Re;Re
Recital ;Recital
Recorder;Registratore
Digital sound recording;Registrazione del suono digitale
Reicha;Reicha
Relative Minor & major ;Relativa minore e maggiore
Dotted Rest;Resto Dotted
Recalling music: aural memory;Ricordando musica: memoria uditiva
Reflective composing;Riflettente comporre
The Renaissance;Rinascimento
Repeat Sign;Ripetere Iscriviti
Rest;Riposo
Responding & reviewing;Rispondendo & revisione
Rhythm ;Ritmo
Rhythm (duration), pulse/beat;Ritmo (durata), impulso / beat
Rossini ;Rossini
Saint Saens;saint Saens
Concert Hall;Sala da concerti
Saint Romanos the Melodist;San Romano il Melode
Saxophone;Sassofono
Scale ;Scala
Chromatic Scale;Scala cromatica
Major Scale;Scala Maggiore
Minor Scale;Scala Minore
Pentatonic Scale;Scala pentatonica
Schoenberg;Schoenberg
Schubert;Schubert
Schumann;Schumann
Music and Science;scienza e musica
Scriabin;Scriabin
School;Scuola
Music School;Scuola di Musica
Sixteenth note;Sedicesimo
Semiquaver;Semicroma
Thirty-second note ;Semicroma
Thirty-second note rest;Semicroma riposo
Crotchet;Semiminima
Crotchet rest;Semiminima resto
Sequencer;Sequencer
Serialism;serialismo
Si;Si
Sibelius;Sibelius
Symphony ;Sinfonia
Synthesizer;Sintetizzatore
Synthesizer / Electric Piano;Sintetizzatore / Electric Piano
Tuning;Sintonia
Sixty-fourth note  ;Sixty quarto nota
Sixty-fourth note rest;Sixty quarto nota riposo
Skalkotas;Skalkotas
Snare Drum;Snare Drum
Sociomusicology;Sociomusicology
Notation Software;Software di notazione
G;Sol
Sol;Sole
Sonata ;Sonata
Soprano;Soprano
Sheet Music;Spartito
Space ;Spazio
Staccato ;Staccato
Stamitz;Stamitz
General styles & traditions;Stili e tradizioni generali
Musical stimuli;Stimoli musicali
Music History;storie umane
Strauss;Strauss
Streaming ;Streaming
Street music;Street Music
String Quartet;String Quartet
Playing instruments: sounds & techniques;Strumenti che suonano: suoni e tecniche
Instruments & performers;Strumenti e interpreti
Musical instruments / Human voice;strumenti musicali
Instrument building / making;Strumento di costruzione / esecuzione
Structure: form;Struttura: modulo
Internalising sounds;Suoni - internalizzazione
Controlling sounds;Suoni Controllo
Sound retrieval;Suono il recupero
Sound recognition;Suono il riconoscimento
Sound spectrum;Suono spettro
Sus2 and sus4 Chords;SUS2 e sus4 Chords
Symphonic Poem;Symphonic Poem
Table of Key Signature;Tabella di tonalità
Tambourine;Tamburello
Keyboards;tastiere
Tchaikovsky;Tchaikovsky
Theatre;Teatro
Theatre Music;Teatro Musica
Telemann;Telemann
Tempo;Tempo
Tenoro;Tenoro
Music and ICT terms;termini musicali e di ict
Triplet;Terzina
Lyrics;Testo della canzone
Ti;Ti
Timbre ;Timbro
Time Signature;Time Signature
Timpani;Timpani
Tonality;tonalità
Tonality ;Tonalità
Tonality/harmony;Tonalità / armonia
Tonic ;Tonico
Whole Tone Scale;Tono intera scala
Track;Traccia
Diminished and Augmented Triads;Triadi diminuita e aumentata
Major Triads;Triadi maggiori
Minor Triads;Triadi minori
Triangle;Triangolo
Trio ;Trio
Treble ;Triplo
Trumpet;Tromba
Trombone;Trombone
Troubadours and trouvères;Trovatori e trovieri
Tuba;Tuba
Whole;Tutto
Whole rest;Tutto il resto
Ukulele;Ukulele
Human;umane
Using the voice;Utilizzando la voce
Appraising, responding & reviewing;Valutando, rispondendo & rivedendo
Verdi;Verdi
Viola;Viola
Violin;Violino
Cello;Violoncello
Voice;Voce
Wagner;Wagner
WAV;WAV
Xenakis;Xenakis
Xylophone;Xilofono
Zither;Zither

