Social Studies;Studi sociali
Acculturation;Acculturazione
Adultness;Adultità
Agressiveness;Aggressività
Agriculture;Agricoltura
Literacy;Alfabetizzazione
Alienation;Alienazione
Food;Alimento
Altruism;Altruismo
Environmentalism;Ambientalismo
Environment ;Ambiente
Nature and environment;Ambiente e natura
Government;Amministrazione
Central Administration;Amministrazione centrale
Local Administration;Amministrazione Locale
Soul;Anima
Animal;Animal
Animality;Animalità
Anthropology;Antropologia
Seniority;Anzianità
Approach;Approccio
Archaeology;Archeologia
Artisanship;Artigianato
Craftsmanship;Artigianato
Craftsman;Artigiano
Assimilation;Assimilazione
Assistance;Assistenza
Association;Associazione
Activism;Attivismo
Activist;Attivista
Authenticity;Autenticità
Autochthony;Autoctonia
Future;Avvenire
Action;Azione
Stock;Azione
Basis;Basis
Beneficence;Beneficenza
Biodiversity;Biodiversità
Bio-power;Bio-energia
Biomedicine;Biomedicina
Body-practice;Body-pratica
Bourgeoisie;Borghesia
Hunting;Caccia
Countryside;Campagna
Cannibalism;Cannibalismo
Prison;Carcere
Castration;Castrazione
Causalism;Causalismo
Charisma;Charisma
Cycle of production;Ciclo di produzione
City;Città
Class;Classe
Colonialism;Colonialismo
Comparatism;Comparatism
Behaviour;Comportamento
Mass-communication;Comunicazione di massa
Community;Comunità
Conflict;Conflitto
Traditional Knowledge;Conoscenze tradizionali
Consumption;Consumo
Counterculture;Controcultura
Body;Corpo
Body and body-experiences ;Corpo e corpo-esperienze
Corporatism;Corporativismo
Corpse;Corpse
Craft;Craft
Crime;Crime
Criminality ;Criminalità
Crisis;Crisi
Culture;Cultura
Culture and Cultural Theory ;Cultura e Teoria culturale
Folk culture;Cultura popolare
Cure;Cure
Decision;Decisione
Decolonization;Decolonizzazione
Degeneration;Degenerazione
Democracy;Democrazia
Desease;Desease
Determinism;Determinismo
Detribalization;Detribalizzazione
Devolution;Devolution
Differentiation;Differenziazione
Diffusionism;Diffusionismo
Discipline;disciplina
Discrimination;Discriminazione
Unemployment;Disoccupazione
Dispute;Dispute
Divorce;Divorzio
Dogma;Dogma
Gift;Donazione
Woman;Donna
Doctrine;Dottrina
Human Ecology;Ecologia Umana
Economics;Economia
Economy;Economia
Economy ;economia
Ego;Ego
Egoism;Egoismo
Elite;Elite
Emancipation;Emancipazione
Marginalization;Emarginazione
Emigration;Emigrazione
Emotion;Emozione
Endogamy;Endogamia
Energy;Energia
Hero;Eroe
Army;Esercito
Exogamy;Esogamia
Age;Età
Ethnometodology;Ethnometodology
Ethnodiversity;Etnodiversità
Ethnography;Etnografia
Ethnolinguistic;Etnolinguistico
Ethnology;Etnologia
Ethnomedicine;Etnomedicina
Ethnoscience;Etnoscienza
Evolution;Evoluzione
Family;Famiglia
Fast-food;Fast-food
Fertility;Fecondità
Female;Femminile
Femminism;Femminismo
Trust;Fidati
Confidence;Fiducia
Philanthropy;Filantropia
Finance;Finanza
Firm;Firm
Focus Group;Focus Group
Folklore;Folklore
Crowd;Folla
Founder;Fondatore
Foranging;Foranging
Functionalism;Funzionalismo
Futurology;Futurologia
Gangs;Gangs
Generation;Generazione
Social Geography;Geografia sociale
Georeference;Georeferenziazione
Youth;Gioventù
Judge;Giudice
Jurisprudence;Giurisprudenza
Global Warming;Global Warming
Globalization;Globalizzazione
Governmentality;Governamentalità
Group;Gruppo
Healing;Guarigione
War;Guerra
Leadership;Guida
Habit;Habit
Handicap;Handicap
Identity;Identità
Ancestor worship;Il culto degli antenati
Nationalism;Il nazionalismo
Decision-making;Il processo decisionale
Immigration;Immigrazione
Entrepreneur;Imprenditore
Incest;Incesto
Inculturation;Inculturazione
Individual;Individuale
Individualism;Individualismo
Industry;Industria
Nursing;Infermieristica
Affect;Influenzare
Initiation;Iniziazione
Pollution;Inquinamento
Instinct;Instinct
Integration;Integrazione
Integrationism;Integrazionismo
Interest;Interessi
Internet;Internet
Interview;Intervista
Institution;Istituzione
Social mobility;La mobilità sociale
Religion, belief and practice;La religione, la fede e la pratica
Qualitative research;La ricerca qualitativa
Quantitative research;La ricerca quantitativa
Political life and organization ;La vita politica e l'organizzazione
Labour;Lavoro
Law;Legge
Legislation;Legislazione
Ethnocentrism;L'etnocentrismo
Levirate;Levirato
