Wide Area Information Servers (WAIS);Wide Area Information Server (WAIS)
Algorithm;algoritmo
Coding;codifica
Correction;correzione
Flow chart;Diagramma di flusso
High level programming languages;Linguaggi di programmazione di alto livello
Maintaining;Mantenimento
Planning;pianificazione
Programm;Programm
Pseudocode;pseudocodice
Problem solving;Risoluzione dei problemi
Customer service;servizio di assistenza
Operating system;sistema operativo
Specification;specificazione
Testing;test
Lexis;Lexis
Semantics;semantica
Syntax;sintassi
Appropriate/not appropriate;Adeguato / non adeguato
AJAX;AJAX
Computer literacy;Alfabetizzazione informatica
Computer addition;Altri D256Computer
Communication Environments;Ambienti di comunicazione
Reviewing and reflecting critically on what people produce using ICT;Analizzando e riflettendo criticamente su ciò che le persone producono utilizzando le TIC
Still images: graphs;Ancora immagini: grafici
Animation;Animazione
Computer application;applicazione informatica
Archive;Archivio
Assembler;assembler
Awareness-raising activities;Attività di sensibilizzazione
Audio;Audio
Automation;Automazione
Database terminology & definitions;Banca dati terminologica e definizioni
Databases;Basi di dati
Number bases;Basi numero
Bibliography;Bibliografia
Library;biblioteca
Biotechnology;Biotecnologie
Blu-Ray;Blu-Ray
Bool algebra and logical sets;Bool algebra e insiemi logici
Character;Carattere
Website design features;Caratteristiche di progettazione del sito web
Uploading websites;Caricamento dei siti web
Cataloguing;Catalogazione
CD-ROM;CD-ROM
Search;Cerca
Chat;Chatta
Digital citizens;Cittadini digitali
Classification;Classificazione
Malicious code;Codice dannoso
Collaboration;Collaborazione
Connecting computer parts;Collegamento di componenti di computer
Communicative competence;Competenza comunicativa
Functional skills;competenze funzionali
Information skills;competenze informatiche
Understanding of audience;Comprensione del pubblico
Understanding of terminology;Comprensione della terminologia
Understanding of hardware and software;Comprensione di hardware e software
Computer architecture;Computer architettura
Building computers & networks;Computer e reti da costruzione
Computer-assisted-instruction (CAI software);Computer-assisted-istruzioni (software CAI)
Communicating;Comunicare
Communication;Comunicazione
Communications & entertainment;Comunicazioni & entertainment
Infrared communications;comunicazioni a infrarossi
Basic computer concepts;Concetti di base del computer
Control concepts;concetti di controllo
Share ideas;Condividere idee
Collate, analyse & evaluate information/data using ICT;Confrontare, analizzare e valutare le informazioni / dati che utilizzano le TIC
Considering 'what if...?'/predicting;Considerando 'che cosa succede se ...?' / Previsione
Controlling;Controllo
Access Control;Controllo di accesso
Number conversion;Conversione numero
Creating database;Creazione del database
Creating websites;Creazione di siti web
Creating & editing images;Creazione e modifica di immagini
Cryptography;Crittografia
Data Encryption;Crittografia dei dati
CSS;CSS
Cyberbullying;Cyberbullismo
