Critical Analysis / Reflection;Analisi critica / riflessione
Descriptive Analysis;Analisi descrittiva
Vocabulary Analysis;Analisi lessicale
Word Analysis;Analisi Word
Listening;ascolto
Listening Actively;ascolto attivo
Listening Passively;ascolto passivamente
Activating / Generating Knowledge;Attivazione / generando conoscenze
Post-Reading Activities;Attività di post-lettura
Pre-Reading Activities;Attività di pre-lettura
Pre-Writing Activities;Attività di pre-scrittura
Post-Speaking activities;Attività post-Speaking
Completing Scales;Bilance Completamento
Brainstorming/Listing;Brainstorming / quotazione
Code Switching;codice di commutazione
Sharing;Condivisione
Conferencing;Conferencing
Higher-order Webbing / Clustering;Di ordine superiore della tessitura / Clustering
Discussion;discussione
Dramatic Reading / Reader’s Theater;Drammatica Lettura / Teatro dei lettori
During Reading Activities;Durante l'attività di lettura
During Writing Activities;Durante l'attività di scrittura
During Listening activities;Durante le attività di ascolto
During Reading activities;Durante le attività di lettura
Publishing;editoriale
Language Errors;errori di Lingua
Performing;Esecuzione
Making Predictions;Esecuzione di stime
Sentence Composing;frase Comporre
Sentence Analysis;frase di analisi
Freewriting / Guided Freewriting;Freewriting / Guided Freewriting
Grammar ;grammatica
Organizing Ideas for Writing Activities;Idee Organizzazione per la scrittura di attività
Identifying Purpose / Audience;Identificazione Scopo / Pubblico
Sharing / Collaborating;La condivisione / collaborazione
Creating Text-Related Artifacts;La creazione di artefatti correlati al testo
Reading Other Forms of Text;Leggendo altre forme di testo
Literature Circles / Book Clubs;Letteratura Circles / Libro Club
Reading;lettura
Reading Discussion;lettura Discussione
Independent Reading;lettura indipendente
Literature Reading;lettura letteratura
Directed / Guided Reading;Lettura Regia / Guided
Nonfiction Reading;lettura saggistica
Mechanics;Meccanica
Multimodal / Multimedia Interaction;Multimodal / Multimedia Interaction
Speaking;parlando
Speaking / Speech;Parlando / Speech
Post-Writing Activities;Post-attività di scrittura
Note Taking;Prendere appunti
Performance / Production;Prestazioni / Produzione
Quizzing / Testing;Quiz / test
Drafting;redazione
Editing;redazione
Consulting Resources;Resources Consulting
Summarizing;riassumendo
Researching;ricercando
Reconstituting / Reconsidering Text;Ricostituzione / Riconsiderare Testo
Rereading;rileggendo
Revising;rivedere
Doodling;scarabocchiare
Choosing Form / Genre;Scegliere Modulo / genere
Writing;scritto
Writing Fiction;scrittura narrativa
Writing Other Forms of Text;Scrivendo altre forme di testo
Writing Nonfiction;Scrivere Nonfiction
Semantic Analysis;Semantic Analysis
Sequencing / Outlining / Storyboarding;Sequencing / Struttura / Storyboarding
Sustained Silent Reading;Sostenuto lettura silenziosa
Spelling;Spelling
Style / Error Analysis;Stile / Analisi errori
Webbing / Clustering / Semantic Mapping;Tessitura / Clustering / mappatura semantica
Translation;traduzione
Whole Class Literature Study;Tutta la classe di studio Letteratura
Usage;utilizzo
Evaluating / Criticizing Speech / Production;Valutare / Criticare Speech / Produzione
Vocabulary;Vocabolario
Vocabulary Awareness;Vocabolario consapevolezza
Vocabulary Use;Vocabolario Usa

