Special Educational Needs;Bisogni speciali
Access ;accesso
Environment ;ambiente
Anger management ;Anger Management
Anxiety ;ansia
Articulation ;articolazione
Attention ;attenzione
Classroom organization ;aula organizzazione
Self-harming ;Autolesionisti
Well Being / Emotional Literacy;Benessere / alfabetizzazione emozionale
Bullying ;bullismo
Cognitive impairment: Moderate learning difficulties (MLD) ;Cognitive impairment: difficoltà di apprendimento moderati (MLD)
Cognitive impairment: Severe learning difficulties (SLD) ;Cognitive impairment: gravi difficoltà di apprendimento (SLD)
Social skills ;competenze sociali
Behavioral, emotional and social difficulties (BESD) ;Comportamentali, difficoltà emotive e sociali (BESD)
Behavior ;comportamento
Behavior management ;Comportamento di gestione
Communication ;comunicazione
Awareness & management of others ;consapevolezza e gestione degli altri
Awareness & management of self ;consapevolezza e gestione di sé
Curriculum extension ;Curriculum estensione
Curriculum P1 - P3 ;Curriculum P1 - P3
Curriculum P4 - P7 ;Curriculum P4 - P7
Curriculum P8 - L2 ;Curriculum P8 - L2
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Deficit di attenzione / e iperattività (ADD / ADHD)
Speech and language communication difficulties ;Del linguaggio e della comunicazione difficoltà
Depression ;depressione
Dyscalculia ;discalculia
Dysgraphia ;disgrafia
Dyslexia ;dislessia
Dyspraxia ;disprassia
Eating disorders ;disturbi del comportamento alimentare
Visual impairment ;disturbi della vista
Autism spectrum disorders (ASD) and Asperger Syndrome;Disturbi dello spettro autistico (ASD) e Sindrome di Asperger
Obsessive compulsive disorder [OCD] ;Disturbo ossessivo compulsivo [OCD]
Visual processing disorder ;Elaborazione visiva disturbo
Physical ;fisico
Gifted and talented ;Gifted e di talento
Profound and multiple learning difficulties (PMLD) ;Gravi difficoltà di apprendimento e multiple (PMLD)
Impulsivity ;Impulsività
Information ;informazioni
Sensory integration disorder ;Integrazione disordine sensoriale
Hyperactivity ;iperattività
Expressive language ;linguaggio espressivo
Receptive language ;linguaggio ricettivo
Physical impairments ;menomazioni fisiche
Communication modes ;modalità di comunicazione
Motivation ;motivazione
Selective mutism ;mutismo selettivo
Organisation ;Organizzazione
Hearing impairment ;perdita dell'udito
Rewards & sanctions ;Premi e sanzioni
Mental health issues ;Problemi di salute mentale
Projects ;Progetti
Curriculum ;programma scolastico
Sensory ;sensoriale
Down's Syndrome ;Sindrome di Down
Tourette's Syndrome ;Sindrome di Tourette
Specific learning difficulties;Specifiche difficoltà di apprendimento
Self-esteem ;Stima di sé
Therapy ;terapia
Tics ;tic
Auditory processing disorder ;Uditiva elaborazione disturbo

