Mozart;Mozart
Salieri;Salieri
16th c. Music;16 a. muzika
17th c. Music;17 a. muzika
18th c. Music;18 a. muzika
19th c. Music;19 a. muzika
20th c. Music (contemporary);20 a. muzika (moderni)
A;A
Chord;Akordas
Acoustics;Akustika
Alto;Altas
Viola;Altas
Early Romantic era;Ankstyvoji romantinė era
Ensemble;Ansamblis
Arena;Arena
Harp;Arfa
Aristoxenos;Aristoksenas
Harmonica;Armonikėlė
Ars antique;Ars antique
Ars Nova;Ars Nova
Eighth note  ;Aštunta nata
Eighth note rest;Aštuntas intervalas
Quaver;Aštuntinė nata
Quaver rest;Aštuntinis intervalas
Responding & reviewing;Atsakymasi r peržiūra
Reflective composing;Atspindintis kūrimas
Auditorium;Auditorija
Pitch;Aukštis
Pitch ;Aukštis
Pitch/melody;Aukštis / melodija
Earphones;Ausinukai
B;B
Bach;Bach
Voice;Balsas
Using the voice;Balso naudojimas
Banjo;Bandžo
Waves;Bangos
Waveforms;Bangų formos
Wave nodes;Bangų mazgai
Church;Bažnyčia
Beethoven;Beethoven
Mute;Begarsė
Flat;Bemolis
General MIDI;Bendras Muzikos instrumentų skaitmeninis sietuvas
Byzantine Hymnography;Bizantijos himnografija
Bizet;Bizet
Boccherini;Boccherini
Borodin;Borodin
Basso;Bosas
Electric Bass;Bosinė gitara
Bruckner;Bruckner
Bass Drum;Būgnai
Byrd;Byrd
C;C
Callas;Callas
Ceremony;Ceremonija
Choir;Choras
Chromatic Scale;Chromatinė skalė
Cymbal;Cimbolai
Zither;Citra
Claudio Monteverdi;Claudio Monteverdi
Clementi;Clementi
English Horn;Cor anglais
Corelli;Corelli
Couperin;Couperin
D;D
Music of the present;Dabarinė muzika
Song;Daina
Singing, including diction, sounds & techniques;Dainavimas, įskaitant dikcija, garsus ir metodus
Frequency;Dažnis
Debussy;Debussy
Sharp;Diezas
Treble ;Diskantas
Do;Do
Dolby surround;Dolby surround
Dominant 7th's;Dominuojanti 7
Donizetti;Donizetti
Bagpipes;Dūdmaišis
Duo;Duetas
Dvořák;Dvořák
Jazz Music;Džiazas
E;E
Track;Eiga
Electric guitar;Elektrinė gitara
Electronic Music;Elektroninė muzika
Elgar;Elgar
Space ;Erdvė
Ethnomusicology;Etnomuzikologija
F;F
Fa;Fa
Bassoon;Fagotas
Film music;Filmų muzika
Physics;Fizika
Flute;Fleita
Phonetics;Fonetika
Background Music;Foninė muzika
Phonology;Fonologija
Fortepiano / Pianoforte;Fortepijonas
Fugue;Fuga
G;G
Loudspeaker;Garsiakalbis
Sound analysis;Garso analizė
Sound recognition;Garso atpažinimas
Sound oscillator / Envelope;Garso generatorius
Sound retrieval;Garso paieška
Performing/controlling sounds;Garsų atlikimas/kontrolė
Sound spectrum;Garsų spektras
Street music;Gatvės muzika
Guitar;Gitara
Gong;Gongas
Grieg;Grieg
Gregorian chant;Grigališkasis choralas
Live performance;Gyvas pasirodymas
Handel;Handel
Harmonics;Harmonija
Tonality/harmony;Harmonija
Harmonic Intervals;Harmoningi intervalai
Ukulele;Havajų gitara
Haydn;Haydn
Holst;Holst
Hummel;Hummel
Creating & developing ideas;Idėjų kūrimas ir vystymas
Improvising;Improvizacija
Instruments & performers;Instrumentai ir atlikėjai
Instrument building / making;Instrumentų kūrimas
Internalising sounds;Internalizuoti garsus
Intervals;Intervalai
Rest;Intervalas
Tape recording;Įrašymas
Expression Marks;Išraiškos ženklai
Prelude ;Įžanga
Johann Christian Bach;Johann Christian Bach
Cadence;Kadencija
Kalomiris;Kalomiris
Chamber Music;Kamerinė muzika
Chamber Music ;Kamerinė muzika
Chamber Music Hall;Kamerinės muzikos salė
Glockenspiel;Karilionas
Castanet;Kastanetas
Four Seasons;Keturi metų laikai
Crotchet;Ketvirtinė nata
Quarter note;Ketvirtinė nata
Crotchet rest;Ketvirtinis intervalas
Music from other places/cultures;Kitų kultūrų/vietų muzika
Music from other traditions;Kitų tradicijų muzika
Clarinet;Klarnetas
Classical Music;Klasikinė muzika
Harpsichord;Klavesinas
Clavichord;Klavikordas
Keyboards;Klavišiniai
Koehler;Koehler
Computer Music;Kompiuterinė muzika
Computer-enhanced Music;Kompiuteriu-redaguota muzika
Synthesizer;Kompozitorius
Synthesizer / Electric Piano;Kompozitorius/ Elektrinis pianinas
Concerto;Koncertas
Performing with others;Koncertavimas su kitais
Concert Hall;Koncertų salė
Context;Kontekstas
Double Bass;Kontrabosas
Contrabassoon;Kontrafagotas
Contrapunto;Kontrapunktas
Controlling sounds;Kontroliuojantys garsai
Cornet;Kornetas
Korsakov;Korsakov
Xylophone;Ksilofonas
Quartet ;Kvartetas
La;La
Time Signature;Laiko parašas
