Mathematics;Matematika
Absolute frequency;Absoliutus dažnis
Set Theory;Aibių teorija
Algebra;Algebra
Algebra and Number Theory;Algebra ir skaičių teorija
Algebraic expression;Algebrinė išraiška
Algebraic Manipulation;Algebrinė manipuliacija
Algebraic calculation;Algebriniai skaičiavimai
Algebraic calculation;Algebros skaičiavimai
Algorithms;Algoritmai
Analysis;Analizė
Lower bound;Apatinė riba
Volume;Apimtis
Bounded operators;Apriboti ženklai
Circle;Apskritimas
Circumcircle;Apskritimo daugiakampis
Rotation;Apsukimas
Approximate value;Apytikslė vertė
Archimedean solid;Archimedo kūnas
Arithmetic;Aritmetika
Arithmetic Sequence;Aritmetinė seka
Skewness;Asimetrija
Orthogonal projection of solid;Aštuonsienio kūno projekcija
Orthogonal projection;Aštuonsienio projekcija
Octahedron;Aštuonsienis
Random sampling;Atsitiktinis atrinkimas
Random variable;Atsitiktinis kintamasis
Random sample;Atsitiktinis pavyzdys
Random process;Atsitiktinis procesas
Randomness;Atsitiktinumas
Proof Randomness;Atsitiktinumo įrodymas
Divisibility;Atskyrimas
Reflection;Atspindys
Reflection in a line;Atspindys linijoje
Reflection in a plane;Atspindys plokštumoje
Reflection in a point;Atspindys taške
Case count;Atvejų skaičius
Inverse proportionality function;Atvirkštinio proporcingumo funkcija
Pigeonhole Principle;Balandžių dėžučių principas
Sample space;Bandinio vieta
Sample;Bandinys
Inequality General;Bendra nelygybė
Common frequency;Bendras dažnis
Mathematical Biology;Biologija ir matematika
Polyhedron dualize;Briaunaininio dauginimas
Polyhedron deformation;Briaunaininio deformacija
Polyhedron decomposition;Briaunaininio išardymas
Polyhedron unfold;Briaunaininio išlankstymas
Polyhedron movement;Briaunaininio judesys
Polyhedron truncating;Briaunaininio pjova
Polyhedron composition;Briaunaininio sudėtis
Polyhedron transformation;Briaunaininio transformavimas
Polyhedron;Briaunaininis
Mode;Būsena
CAS;CAS
Central tendency measure;Centrinės tendencijos matavimas
Cylinder;Cilindras
Equation of a cycloid;Cykloidos lygtis
Divisibility;Dalinimas
Piecewise-function;Darbinė funkcija
Polyhedron;Daugiã
Polyhedron deformation;Daugiã deformacija
Polyhedron dualize;Daugiã duplikacija
Polyhedron unfold;Daugiã išlankstymas
Polyhedron movement;Daugiã judesys
Polyhedron truncating;Daugiã pjova
Polyhedron decomposition;Daugiã skaldymas
Polyhedron composition;Daugiã sudėtis
Polyhedron transformation;Daugiã transformacija
Polynomial graph;Daugianariai grafikai
Polynomial function;Daugianario funkcija
Polynomial graph;Daugianario grafikas
Polynomial Inequality;Daugianario nelygybė
Multiple chart;Daugybinė diagrama
Frequencies;Dažniai
Frequency diagram;Dažnio lentelė
Frequency;Dažnis
Polygon of frequencies;Dažnių daugiakampis
Frequency diagram;Dažnių diagrama
Polygon of frequencies;Dažnių poligonas
Deductive method;Dedukcijos metodas
Cartesian coordinates;Dekarto koordinatės
Permutations;Derinys
Decimal number;Dešimtainis skaičius
Right-Prism;Dešinė prizmė
Right-Prism;Dešininė prizmė
Right parallelepiped;Dešininis gretasienis
Right parallelepiped;Dešinys gretasienis
Box plot;Dėžės plotas
Diagram;Diagrama
Multiple chart;Diagrama
Tree diagram;Diagrama su šakomis
Graphing Techniques;Diagramų metodai
Increasing and decreasing;Didėjimas ir mažėjimas
Dynamic interactive geometry environments;Dinamiška interaktyvi geometrijos aplinka
Dynamic interactive geometry environments;Dinamiška interaktyvios geometrijos aplinka
Disc;Diskas
Discrete Mathematics;Diskrečioji matematika
Discrete random variable;Diskretus atsitiktinis kintamasis
Dividend;Dividendai
Dividend;Dividendas
Domain and range;Domenas ir diapazonas
Data analysis;Duomenų analizė
Data chart features;Duomenų diagramos savybės
Data collect;Duomenų rinkimas
Data;Duomenys
Double entry table;Dvejybinė lentelė
System with two equations and two unknowns;Dviejų lygčių su dviem nežinomaisiais sistemos
Double entry table;Dvigubo įrašo lentelė
TwoD coordinates;Dvimatės koordinatės
Dodecahedron;Dvylikasienis
Sequence;Eilė
ordinal numbers;Eilės numeriai
Mathematical Economics;Ekonomika ir matematika
Experiments;Eksperimentai
Ellipse;Elipsė
Equation of an ellipse;Elipsės lygtis
Power;Energija
Factorization;Faktorizacija
Factorization;Faktorizacija 
Fibonacci Sequence;Fibonačio eilė
Mathematical Physics;Fizika ir matematika
Formula;Formulė
Fraction;Frakcija
Function;Funkcija
Function attribute;Funkcijos atributai
Formula of a function;Funkcijos formulė
Function plot features;Funkcijos ploto bruožai
Function Topic;Funkcijos temos
Wording of a function;Funkcijos žodžių parinkimas
Functional Analysis;Funkcijų analizė
Function Plotter;Funkcijų braižymas
Geometry;Geometrija
Geometric Sequence;Geometrinė eilė
Geometric Proof – Solid Geometry;Geometrinis įrodymas - geometrija
Affine function;Gimininga funkcija
Global Analysis;Globali analizė
Gradient;Gradientas
Gradient Vector;Gradiento vektorius
Graduated ruler;Graduota liniuotė
Graphing Techniques;Grafiniai metodai
Graphical display of data;Grafinis duomenų pavaizdavimas
Graphical representation of function;Grafinis funkcijos pavaizdavimas
Graphing Calculator;Grafinis kalkuliatorius
Graph Theory;Grafų teorija
Harmonic Analysis;Harmoninė analizė
Hyperbola;Hiperbolė
Hyperbolic function;Hiperbolės funkcija
Hypothesis;Hipotezė
Histogram;Histograma
Mathematics for Humanities;Humanitariniai mokslai ir matematika
Identity;Identitetas
Concave Function;Įgaubta funkcija
Icosahedron;Ikosaedras
Icosahedron;Ikosahedronas
Formula for length;Ilgio formulė
Inductive method;Indukcinis metodas
Integral Transforms;Integralo transformacija
Integral Transforms;Integralų transformacijos
Interpolation;Interpoliacija
Engineering Mathematics;Inžinerija ir matematika
Irrational Number;Iracionalus skaičius
Irrational Number;Iracionalusis skaičius
Tool;Įrankis
Proof;Įrodymas
Proof by contradiction;Įrodymas prieštaravimu
Methods of Proof;Įrodymo metodai
Set square;Išdėstyta kvadratu
Convex Function;Išgaubta funkcija
Convexity;Išgaubtumas
Spread;Išplitimas
Expression;Išraiška
Expression;Išraiška 
Spread;Išsidėstymas
Outlier;Išsiskiriantis
Derivative;Išvestinis
Event;Įvykis
Power;Jėga
Movement;Judėjimas
Bar chart;Juostinė diagrama
Calculator;Kalkuliatorius
Protractor;Kampamatis
Tangent of angle;Kampo  liestinis/ tangentas
Formula for angle;Kampo formulė
Tangent of angle;Kampo tangentas
Cardinal number;Kardinalus skiačius
Cartesian coordinates;Kartezinės koordinatės
