Social Studies;Socialiniai mokslai
Autochthony;Aborigenai
Administrative Sciences;Administravimo mokslai
Activism;Agitacija
Agressiveness;Agresyvumas
Stock;Akcijos
Activist;Aktyvistas
Acculturation;Akultūracija
Altruism;Altruizmas
Craft;Amatas
Artisanship;Amatininkas
Craftsman;Amatininkas
Age;Amžius
Anthropology;Antropologija
Stratification;Antsluoksnis
Rite;Apeigos
Survey;Apklausa
Environment ;Aplinkosauga
Environmentalism;Aplinkosauga
Archaeology;Archeologija
Army;Armija
Assimilation;Asimiliacija
Person;Asmuo
Association;Asociacija
Future;Ateitis
Nobility;Aukštuomenė
Authenticity;Autentika
Unemployment;Bedarbystė
Community;Bendruomenė
Bio-power;Bio energija
Biodiversity;Biologinė įvairovė
Biomedicine;Biomedicina
Bourgeoisie;Buržuazija
Central Administration;Centrinis valdymas
Charisma;Charizma
Participant Observation;Dalyvio stebėjimas
Labour;Darbas
Worker;Darbininkas
Seniority;Darbo stažas
Worker;Darbuotojas
Devolution;Decentralizacija
Decolonization;Dekolonizacija
Democracy;Demokratija
Determinism;Determinizmas
Detribalization;Detribalizacija
Differentiation;Diferencijacija
Diffusionism;Difuzsonizmas
Discipline;Disciplina
Discrimination;Diskriminacija
Dogma;Dogma
Doctrine;Doktrina
Gift;Dovana
Soul;Dvasia
Educational Sciences;Edukologija
Affect;Efektas
Ego;Ego/aš
Egoism;Egoizmas
Economics;Ekonomika
Economy;Ekonomika
Economy ;Ekonomika
Exogamy;Eksogamija
Behaviour;Elgesys
Behavioural sciences;Elgsenos mokslai
Elite;Elitas
Emancipation;Emancipacija
Emigration;Emigracija
Emotion;Emocija
Endogamy;Endogamija
Energy;Energija
Ethnodiversity;Etninė įvairovė
Ethnoscience;Etno mokslas
Ethnocentrism;Etnocentrizmas
Ethnography;Etnografija
Ethnolinguistic;Etnolingvistinis
Ethnology;Etnologija
Ethnomedicine;Etnomedicina
Ethnometodology;Etnometodologija
Evolution;Evoliucija
Femminism;Feminizmas
Philanthropy;Filantropija
Finance;Finansai
Firm;Firma
Folk culture;Folk Kultūra
Folklore;Folkloras
Functionalism;Funkcionalizmas
Futurology;Futurologija
Power;Galia
Nature;Gamta
Nature and environment;Gamta ir aplinka
Cycle of production;Gamybos ciklas
Mean of production;Gamybos vidurkis
Honour;Garbė
Gangs;Gaujos
Mourning;Gedulas
Tribe;Gentis
Georeference;Geografinė nuoroda
Healing;Gijimas
Birth;Gimimas
Kinship;Giminystė
Dispute;Ginčas
Patronage;Globa
Global Warming;Globalinis Atšilimas
Globalization;Globalizacija
Fast-food;Greitas maistas
Group;Grupė
Cure;Gydyti
Doctor;Gydytojas
Life;Gyvenimas
Life-style;Gyvenimo būdas
Animal;Gyvūnas
Animality;Gyvūnas
Hero;Herojus
Identity;Identiškumas
Inculturation;Įkultūrinimas
Founder;Įkūrėjas
Immigration;Imigracija
Individualism;Individualizmas
Individual;Individualus
Initiation;Iniciatyva
Instinct;Instinktas
Institution;Institucija
Integration;Integracija
Integrationism;Integravimasis
Internet;Internetas
Interview;Interviu
Habit;Įprotris
Order;Įsakymas
Prejudice;Išankstinis nusistatymas
Degeneration;Išsigimimas
Legislation;Įstatymai
