ICT;Informacinės ir ryšių technologijos
AJAX;AJAX
Algorithm;Algoritmas
Animation;Animacija
Anti-Virus Program;Antivirusinė programa
Using applications;Aplikacijų naudojimas
Security technology;Apsaugos technologija
Archive;Archyvas
Future developments;Ateities pasiekimai
Memory;Atmintis
Stepping back from ICT;Atsitraukimas nuo kompiuterinių technologijų
Printout;Atspauzdinta medžiaga
Open Source;Atviras kodas
Audio;Audio
High level programming languages;Aukšto lygio programavimo kalbos
Automation;Automatika
Automating events;Automatizuoti renginiai
Voice/fax/data modems;Balso/ fakso/ duomenų modemai
Number bases;Bazių skaičius
Collaboration;Bendradarbiavimas
Communicating;Bendravimas
Communicative competence;Bendravimo kompetencija
Communications issues;Bendravimo problemos
Changing technologies;Besikeičiančios technologijos
Bibliography;Bibliografija
Library;Biblioteka
Biotechnology;Biotechnologijos
Blu-Ray;Blu-Ray
Bool algebra and logical sets;Bool algebra ir logikos rinkiniai
CD-ROM;CD-ROM
CSS;CSS
Share ideas;Dalinimasis idėjomis
Working with cameras & video;Darbas su kameromis ir video
Working with mobile technology;Darbas su mobiliomis technologijomis
Desktop publishing software;Darbastalio leidybos programinė įranga
Diagrams;Diagramos
Wide Area Information Servers (WAIS);Didelio ploto informaciniai serveriai
Wide Area Network;Didelio ploto tinklas
Artificial intelligence;Dirbtinis intelektas
Disk drive/hard disk;Diskas/ kietasis diskas
Floppy Drive;Diskelis
Design;Dizainas
Documentiation;Dokumentacija
File transfer protocol (FTP);Dokumentų siuntimo protokolas
Data processing;Duomenų apdorojimas
Data protection act;Duomenų apsaugos aktas
Databases;Duomenų bazės 
Database stucture;Duomenų bazės struktūra
Creating database;Duomenų bazės sukūrimas
Database terminology & definitions;Duomenų bazės terminologija ir apibrėžimai
Databases management;Duomenų bazės valdymas
Entering data;Duomenų įkėlimas
Interpretation of data;Duomenų interpretacija
Storing & retrieving data;Duomenų laikymas ir atgavimas
Use & misuse of data;Duomenų naudojimas ir piktnaudžiavimas jais
Data presentation;Duomenų pateikimas
Data representation;Duomenų pavaizdavimas
Data logging;Duomenų registravimas
Datalogging;Duomenų registravimas
Data collection;Duomenų rinkimas
Data Security;Duomenų saugumas
Data concepts;Duomenų sąvokos
Data Encryption;Duomenų šifravimas
Data capture;Duomenų sugavimas
DVD-ROM;DVD-ROM
Present work effectively;Efektyvus darbo pristatymas 
E-book readers & other gadgets;E-knygų skaitytuvai ir kiti prietaisai
Screen;Ekranas
Screencast;Ekrano užsklanda
Electronic day books;Elektroniniai dienynai
Security for Electronic Transaction - SET;Elektroninio sandorio saugumas
Electronic journal;Elektroninis dienynas
E-mail;Elektroninis paštas
Electronic journal;Elektroninis žurnalas
Faxes;Faksai
Fantasy;Fantazija
Plausibility;Galimybė
Sound;Garsai
Sounds;Garsai
Podcast;Garso įrašas
Graphics;Grafika
Graphics and sounds;Grafika ir garsai
Feedback/responding to data;Grįžtamasis ryšys/ atsakymas į duomenis
Hypermedia;Hiperterpė
HTML;HTML
Identification theft;Identifikavimo vagystė
Functional skills;Įgūdžiai
Information;Informacija
Information ;Informacija
Collate, analyse & evaluate information/data using ICT;Informaciją/duomenis naudojančių IRT gretinimas, analizė ir įvertinimas
Information processing;Informacijos apdorojimas
Information skills;Informacijos įgūdžiai
Interpret information;Informacijos interpretavimas
Interpreting information;Informacijos interpretavimas
Presentation of information & data;Informacijos ir duomenų pristatymas
Select from and add to information for particular purposes;Informacijos pasirinkimas ir įkėlimas konkretiems tikslams
Reference material;Informacijos resursai
Information source;Informacijos šaltinis
Information Security Guidelines/Policy/Plan/Risk Assessment;Informacijos saugumo gairės/ Politika/ Planas/ Rizikos įvertinimas
Information Owner;Informacijos savininkas
Synthesising information;Informacijos sintetinimas
Reading for information;Informacijos skaitymas
Collecting information;Informacijos surinkimas
Information network;Informacijos tinklas
Record information/data using ICT;Informacijos/duomenų įrašymas naudojant IRT
Information system;Informacinė sistema
Informational website design;Informacinio tinklalapio dizainas
Information literacy;Informacinis raštingumas
ICT opportunities;Informacinių ir ryšių technologijų galimybės
ICT tools;Informacinių ir ryšių technologijų priemonės
Awareness-raising activities;Informuotumo skatinimo veiklos
Infrared communications;Infraraudonųjų spindulių ryšys
Instructions;Instrukcijos
Interactive digital display design;Interaktyvaus skaitmeninio pateikimo dizainas
Interactive material;Interaktyvi medžiaga
Internet;Internetas
The Internet: searching and interpreting;Internetas: paieška ir interpretacija
Internet searching;Interneto paieška
Internet service providers;Interneto paslaugų tiekėjai
Web development;Interneto svetainių kūrimas
Engineering;Inžinerija
Tape-recorders;Įrašantis magnetofonas
ICT & me;IRT ir aš
ICT in society;IRT ir visuomenė
Select and use ICT tools and techniques appropriately, safely and efficiently;IRT įrankių ir technologijų tinkamas, saugus ir efektyvus pasirinkimas bei naudojimas
Applying ICT in other contexts;IRT naudojimas kitose srityse
ICT tools – generally;IRT piemonės: bendrai
ICT tools: bitmap graphics software;IRT piemonės: bitmap grafikos programinė įranga
ICT tools: desktop publishing (DTP);IRT piemonės: darbastalio leidyba
ICT tools: database;IRT piemonės: duomenų bazė
ICT tools: datalogging software;IRT piemonės: duomenų registravimo programinė įranga
ICT tools: web browser;IRT piemonės: interneto naršyklė
ICT tools: multimedia authoring software;IRT piemonės: multimedijos autorizavimo programinė įranga
ICT tools: music & sound software;IRT piemonės: muzikos ir garso programinė įranga
ICT tools: adventure games/simulations;IRT piemonės: nuotykių žaidimai/ simuliacijos
ICT tools: presentation software;IRT piemonės: pristatymo programinė įranga
ICT tools: spreadsheet;IRT piemonės: skaičiavimo lentelė
ICT tools: web authoring software;IRT piemonės: tinklo autorizavimo programinė įranga
ICT tools: control software;IRT piemonės: valdymo programinė įranga
ICT tools: vector graphics program;IRT piemonės: vektorių grafikos programa
ICT tools: word processor;IRT piemonės: žodžių procesorius
Reflecting on ICT in society;IRT poveikio visuomenei įvertinimas
Hacking;Įsilaužimas
Mnemonics;Įsiminimo priemonė
Retrieving information that has been stored;Išsaugotos informacijos išgavimas 
Spam;Išsiuntinėta informacija
History & development of ICT;Istorija ir IRT vystymas
Output;Išvestis
Input;Įvesta informacija
Input & output devices;Įvesties ir išvesties įrenginiai
Java;Java
JavaScript;JavaScript
jQuery;jQuery
Language;Kalba
What if scenarios, ICT in action;Kas, jeigu' scenarijai, IRT veikloje
Everyday use;Kasdienis naudojimas
Cataloguing;Katalogo sudarymas
Finding things out;Kažką sužinoti
Malware;Kenkėjiška programa
Malicious code;Kenksmingas kodas
Classification;Klasifikacija
Asking questions & querying data;Klausimų uždavimas ir duomenų užklausos
Keyboard Mouse;Klaviatūros pelė
Customer service;Klientų aptarnavimas
Coding;Kodavimas
Quality & accuracy;Kokybė ir tikslumas
Computer application;Kompiuterinė aplikacija
Computer architecture;Kompiuterinė architektūra
Computer science;Kompiuterinis mokslas
Computer literacy;Kompiuterinis raštingumas
Computer game;Kompiuterinis žaidimas
Impact of ICT;Kompiuterinių ir ryšių technologijų įtaka
Using ICT;Kompiuterinių ir ryšių technologijų naudojimas
Impact of IT on communications;Kompiuterinių technologijų įtaka bendravime
Connecting computer parts;Kompiuterio dalių sujungimas
Computer functional scheme;Kompiuterio funkcijų schema
Computer addition;Kompiuterio priedas
Computer-assisted-instruction (CAI software);Kompiuterio-pagalba gaunamos instrukcijos (programinė įranga)
Building computers & networks;Kompiuterių ir tinklų kūrimas
Communication;Komunikacija
Communications & entertainment;Komunikacija ir pramogos
Communicative competence;Komunikacijos kompetencija
Concept keyboard;Konceptuali klaviatūra
Confidentiality issues;Konfidencialumo problemos
Systems in context;Kontekstinės sistemos
Contextualised use of text/image processing;Kontekstinis teksto/vaizdo apdorojimo naudojimas
Control technology;Kontrolės technologijos
Controlling;Kontroliuoti
Copyright;Kopijavimo teisės
Combating ICT & IT crime;Kova su IRT ir IT nusikalstamumu
Cryptography;Kriptografija
Reviewing and reflecting critically on what people produce using ICT;Kritinis peržvelgimas ir įvertinimas to, ką žmonės sukuria naudodami IRT technologijas
Critical evaluation;Kritiškas įvertinimas 
Laser printers;Lazerinis spauzdintuvas
Lexis;Leksika
Machine language;Mechaninė kalba
MIDI hardware;MIDI techninė įranga
Patterns;Modeliai
Modelling;Modeliavimas
Teaching materials;Mokymo resursai
Multimedia;Multimedija
Benefits & problems;Nauda ir problemos 
Benefits & problems of data collection;Nauda ir problemos susijusios su duomenų rinkimu
Latest digital products;Naujausi skaitmeniniai produktai
Newsletter, poster, flyer production;Naujienlaikraščių, plakatų, skrajučių gamyba
New technologies & tools;Naujos technologijos ir įrankiai
Still images - generally;Nejudantys vaizdai - bendrai
Still images: bitmap graphics;Nejudantys vaizdai: bitmap grafika
Still images: graphs;Nejudantys vaizdai: grafai
Still images: pictograms;Nejudantys vaizdai: piktogramps
Still images: vector graphics;Nejudantys vaizdai: vektorių grafika
Working independently;Nepriklausomas darbas
Operating system;Operacinė sistema
Basic computer concepts;Pagrindinės kompiuterinės sąvokos 
Basic computer usage and possibilities;Pagrindinės kompiuterio naudojimo galimybės
Search;Paieška
Search techniques;Paieškos priemonės
Maintaining;Palaikymas
Augmented Reality;Papildytoji realybė
Simple networking;Paprastas darbas tinkle
Draft/manipulate information/data using ICT;Parengti / manipuliuoti informaciją / duomenis naudojant IRT
Chat;Pasišnekėjimas
PHP;PHP
Misuse of data;Piktnaudžiavimas duomenimis
Planning what data to record;Planavikas kuriuos duomenis išsaugoti
Planning;Planavimas
Advantages & disadvantages;Pliusai ir minusai
Chat;Pokalbis
Number conversion;Pokalbių skaičius
Internet based entertainment;Pramogos Internete
Presentation;Prezentacija
Access Control;Prieigos kontrolė
Access Control List;Prieigos kontrolinis sąrašas
Access Rights;Prieigos teisės
Cyberbullying;Priekabiavimas elektroninėje erdvėje
Gadgets;Prietaisai
Reliance on ICT & risk assessment;Priklausomumas nuo IRT ir rizikos įvertinimas
Presenting measured data;Pristatyti pamatuotus duomenis
Privacy and personal information;Privatumas ir asmeninė informacija
Research a problem using ICT;Problemos tyrimas naudojant IRT
Problem solving;Problemų sprendimas
Procedures/macros/templates;Procedūros/ makroprogramos/ ruošiniai
Processor;Procesorius
Programm;Programa
Programming;Programavimas
Programming language;Programavimo kalba
Software;Programinė įranga
Developments in software & hardware & their impact;Programinės įrangos ir technologijų pasiekimai bei jų pasekmės
Understanding of hardware and software;Programinės įrangos ir technologijų supratimas
Presentation software;Programinės įrangos pristatymas
Combining software tools to produce a system;Programinių įrangų sujungimas siekas sukurti sistemą
Programmable toy;Programuojamas žaislas
