Foreign Language Learning;Užsiesio kalbų mokymasis
Listening Actively;Aktyvus klausymas
Summarizing;Apibendrinimas
Descriptive Analysis;Aprašomoji analizė
Sharing;Dalinimasis  
Sharing / Collaborating;Dalinimasis/ bendradarbiavimas
Discussion;Diskusija
Doodling;Eskizų kūrimas
Choosing Form / Genre;Formos/ žanro pasirinkimas
Grammar ;Gramatika
Writing Fiction;Grožinės literatūros rašymas
Organizing Ideas for Writing Activities;Idėjų, skirtų rašymo veikloms, organizavimas
Sustained Silent Reading;Ilgalaikis tylus skaitymas
Evaluating / Criticizing Speech / Production;Įvertinimas/ Kritikuojanti kalba/ Sukūrimas
Speaking;Kalbėjimas
Speaking / Speech;Kalbėjimas/ kalba
Language Errors;Kalbos klaidos
Writing Other Forms of Text;Kitų teksto formų rašymas
Reading Other Forms of Text;Kitų žanrų tekstų skaitymas
Listening;Klausymas
Brainstorming/Listing;Kolektyvinis naujų idėjų svarstymas/ sąrašų sudarymas
Critical Analysis / Reflection;Kritinė analizė/ apgalvojimas
Freewriting / Guided Freewriting;Laisva rašto kūryba/ pamokymais-paremta laisva rašto kūryba
Publishing;Leidyba
Literature Circles / Book Clubs;Literatūros būreliai/ knygų klubai
Literature Reading;Literatūros skaitymas
Mechanics;Mechanika
Multimodal / Multimedia Interaction;Multimodalinių / daugialypių terpių sąveika
Usage;Naudojimas
Nonfiction Reading;Negrožinės literatūros skaitymas
Writing Nonfiction;Negrožinės/ dokumentinės literatūros rašymas
Independent Reading;Nepriklausomas skaitymas
Directed / Guided Reading;Nukreiptas skaitymas
Code Switching;Nustatymų pakeitimas
Rereading;Pakartotinis perskaitymas
Conferencing;Pasitarimas
Listening Passively;Pasyvus klausymas
Revising;Patikrinimas
Drafting;Pradiniai metmenys
Dramatic Reading / Reader’s Theater;Raiškusis skaitymas/ Skaitovų teatras
Spelling;Rašyba 
Writing;Rašymas
During Writing Activities;Rašymo veiklos
Editing;Redagavimas
Consulting Resources;Resursų patikrinimas
Sentence Analysis;Sakinių analizė
Sentence Composing;Sakinių formavimas
Sequencing / Outlining / Storyboarding;Sekos / Struktūros / Istorijos
Semantic Analysis;Semantinė analizė
Reading;Skaitymas
Reading Discussion;Skaitymo diskusija
During Reading Activities;Skaitymo meto veiklos
Making Predictions;Spėjimų sudarymas
Style / Error Analysis;Stiliaus/ klaidų analizė
Creating Text-Related Artifacts;Su tekstu susijusių artefaktų kūrimas
Higher-order Webbing / Clustering;Sudėtingesnės struktūros tinklo kūrimas/ grupavimas
Reconstituting / Reconsidering Text;Teksto atkūrimas/ apmąstymas
Identifying Purpose / Audience;Tikslo/ auditorijos identifikavimas
Webbing / Clustering / Semantic Mapping;Tinklo kūrimas/ Grupavimas/ Minčių žemėlapiai
Researching;Tyrimas
Note Taking;Užrašų vedimas
Performing;Vaidinimas
Performance / Production;Vaidinimas/ spektaklis
During Listening activities;Veiklos klausymo metu
Pre-Reading Activities;Veiklos pasiruošiant skaityti
Post-Speaking activities;Veiklos po kalbėjimo
Post-Writing Activities;Veiklos po rašymo
Post-Reading Activities;Veiklos po skaitymo
Pre-Writing Activities;Veiklos ruošiantis rašyti
Translation;Vertimas
Quizzing / Testing;Viktorinos/ Kontroliniai darbai
Whole Class Literature Study;Visos klasės literatūros studija
Activating / Generating Knowledge;Žinių aktyvavimas/sudarymas
Vocabulary;Žodynas
Vocabulary Analysis;Žodyno analizė
Vocabulary Awareness;Žodyno išmanymas
Vocabulary Use;Žodyno naudojimas
Word Analysis;Žodžių analizė

