Special Educational Needs;Specialiojio ugdymo poreikiai
Environment ;Aplinka
Articulation ;Artikuliacija
Rewards & sanctions ;Atlygiai ir bausmės
Autism spectrum disorders (ASD) and Asperger Syndrome;Autizmo spektro sutrikimai  ir Aspergerio sindromas
Communication ;Bendravimas
Communication modes ;Bendravimo režimai
Down's Syndrome ;Dauno sindromas
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Dėmesio deficito / hiperaktyvumo sutrikimas ir mokymas
Attention ;Dėmesys
Depression ;Depresija
Dysgraphia ;Disgrafija
Dyscalculia ;Diskalkulija
Dyslexia ;Disleksija
Dyspraxia ;Dispraksija
Expressive language ;Ekspresyvi kalba
Behavior management ;Elgesio valdymas
Behavioral, emotional and social difficulties (BESD) ;Elgesio, emociniai ir socialiniai sunkumai
Behavior ;Elgesys
Physical impairments ;Fizinės negalios
Physical ;Fizinis
Gifted and talented ;Gabūs ir talentingi
Well Being / Emotional Literacy;Gerovė/ emocinis raštingumas
Auditory processing disorder ;Girdimos medžiagos apdorojimo sutrikimas
Hyperactivity ;Hiperaktyvumas
Impulsivity ;Impulsyvumas
Information ;Informacija
Speech and language communication difficulties ;Kalbėjimo ir kalbos sunkumai
Awareness & management of others ;Kitų suvokimas ir valdymas
Classroom organization ;Klasės organizacija
Hearing impairment ;Klausos sutrikimas
Cognitive impairment: Severe learning difficulties (SLD) ;Kognityvinių funkcijų sutrikimai: sunkūs mokymosi sutrikimai
Cognitive impairment: Moderate learning difficulties (MLD) ;Kognityvinių funkcijų sutrikimai: vidutiniai mokymosi sunkumai
Curriculum ;Mokymo planas 
Curriculum P1 - P3 ;Mokymo planas 
Curriculum P4 - P7 ;Mokymo planas 
Curriculum P8 - L2 ;Mokymo planas 
Curriculum extension ;Mokymo plano pratęsimas
Motivation ;Motivacija
Motivation ;Motyvacija
Anxiety ;Nerimas
Obsessive compulsive disorder [OCD] ;Obsesinis kompulsinis sutrikimas
Organisation ;Organizacija
Bullying ;Patyčios
Access ;Prieiga
Receptive language ;Priimama kalba
Projects ;Projektai
Mental health issues ;Psichikos sveikatos sutrikimai
Anger management ;Pykčio valdymas
Visual impairment ;Regėjimo sutrikimas
Awareness & management of self ;Savęs suvokimas ir valdymas
Self-harming ;Savęs žalojimas
Self-esteem ;Savigarba
Selective mutism ;Selektyvi nebylystė
Sensory integration disorder ;Sensorinės integracijos sutrikimas
Sensory ;Sensorinis
Social skills ;Socialiniai įgūdžiai
Specific learning difficulties;Specifiniai mokymosi sunkumai
Profound and multiple learning difficulties (PMLD) ;Sunkūs ir daugybiniai mokymosi sutrikimai
Therapy ;Terapija
Tics ;Tikai
Tourette's Syndrome ;Tourette sindromas
Visual processing disorder ;Vaizdo apdorojimo sutrikimas
Eating disorders ;Valgymo sutrikimai

