Music;Mūzika 
16th c. Music;16 gs. Mūzika
17th c. Music;17 gs. Mūzika
18th c. Music;18 gs. Mūzika
19th c. Music;19 gs. Mūzika
20th c. Music (contemporary);20.gs. Mūsdienu mūzika
A;A
Early Romantic era;Agrais romantiskais laikmets
Chord;Akords
Acoustics;Akustika
Alto;Alts
Viola;Alts
Analysing music;Analizējot mūzika
English Horn;Angļu rags
Ensemble;Ansamblis
Invert Triads;Apgrieztie trijskaņi
Circle of Fifths;Apļa piektdaļas
Notation / Music Theory / Harmony/Musical Morphology;Apzīmējumi/ Mūzikas teorija/ Harmonija/ Mūzikas morfoloģija
Computer-enhanced Music;Ar datoru uzlabota mūzika
Arena;Arēna
Harp;Arfa
Aristoxenos;Aristotelis
Ars antique;Ars antikvariāts
Ars Nova;Ars Nova
Eighth note  ;Astotā piezīme
Eighth note rest;Astotā piezīme pauze
Repeat Sign;Atkārtot reģistrēšanos
Recalling music: aural memory;Atsaucotiesmūziku: fonētiskās atmiņas
Clef ;Atslēga
Reflective composing;Atspoguļoša komponēšana
Space ;Atstarpe
Progression ;Attīstība
Auditorium;Auditorija
Earphones;Austiņas
B;B
Bach;Bahs
Ballet Music;Baleta mūzika
Voice;Balss
Banjo;Bandžo
Baroque Period;Baroka periods
Basso;Bass
Church;Baznīca
Flat;Bemols
Beethoven;Bēthovens
Byrd;Birde
Byzantine Hymnography;Bizantijas Himnogrāfija
Byzantine era;Bizantijas laikmets
Bizet;Bizē
Boccherini;Bočerinī
Borodin;Borodins
Bruckner;Brūkners
Bass Drum;Bungas
Tchaikovsky;Čaikovskis
Cello;Čells
Ceremony;Ceremonija
Four Seasons;Četri gadalaiki
Crotchet rest;Cetrudaļpauze
Quarter note;Ceturtdaļnots
Human;Cilvēks
Digitālā skaņas ierakstīšana;Ciparu skaņas ieraksta
Zither;Citāra
D;D
Natural;Dabīgs
Computer Music;Datoru Mūzika
Debussy;Debisī
Demisemiquaver;Demisemiquaver
Demisemiquaver rest;Demisemiquaver pauze
Pitch;Diapazons
Pitch ;diapazons
Pitch/melody;Diapazons / melodiju
Sharp;Diezs
Digital Audio Recorder;Digitālais Audio ierakstītājs
Digital sound editing;Digitālo skaņu rediģēšana
Double Accidental;Divkārši nejaušs
Do;Do
Dolby surround;Dolby ietvert
Dominant 7th's;Dominējošais 7
Donizetti;Donizetti
Bagpipes;Dūdas
