Protecting Ideas;Aizsargāt Idejas
Taxation;Aplikšana ar nodokli
Contestability;Apstrīdamība
Mergers and acquisitions;Apvienošanās un pārņemšanas
Mergers and Takeovers;Apvienošanās un pārņemšanas
Development Economics;Attīstības ekonomika
Growing a business;Augoša uzņēmējdarbība
Sources of Funds;Avotu fondu
B2B (Business to Business) Marketing;B2B (Bizness Biznesam) Mārketings
B2C (Business to Consumer) Marketing;B2C (Bizness patērētājam) Mārketings
Break-Even Analysis;Balansa analīze
Banking;Banku
Balance Sheets;Bilances
Business Ethics;Biznesa ētika
Business Law;Biznesa likums
Business Studies;Biznesa mācības
Business Software;Biznesa programmatūra
Budgets;Budžets
Price Strategies;Cenu stratēģijas
Human Resource Management;Cilvēku vadība
Circular Flow of Income and Multiplier Effect;Cirkulāra plūsmu ienākumi un multiplikātora efekts
Working Capital;Darba Kapitāls
Employment Law and Legislation;Darba tiesības un likumdošana
Data Interpretation;Datu interpretācija
Data and Information Management;Datu un informācijas pārvaldība
Delegation;Delegācija
E-Business;E-Bizness
European Union;Eiropas Savienība
E-Commerce;E-komercija
Economics of Work and Leisure;Ekonomika darbā un atpūtā
Economies of Scale;Ekonomikā skala
Economic Management;Ekonomikas pārvaldība
Economic Efficiency;Ekonomiskā efektivitāte
Electronic Communication;Elektronisko sakaru
e-Government;E-pārvalde
Financial Accounting;Finanšu grāmatvedība
Financial Statement Analysis;Finanšu pārskata analīze
Fiscal Policy;Finansu politika
Financial Markets and Institutions;Finanšu tirgi un institūcijas
Capital Markets;Galvenais tirgus
Global Economics;Globālā ekonomika
Globalisation;Globalizācija
Accounting;Grāmatvedība
Bookkeeping;Grāmatvedība
Accounting and Financial Ratios;Grāmatvedības un finanšu rādītāji
Inspiring Followership;Iedvesmojoša sadraudzība
Benefits and Implications of International trade;Ieguvumi un ietekme no starptautiskās tirdzniecības
ICT in business;IKT uzņēmējdarbībā
Inflation;Inflācija
Data privacy;Informācijas privātums
Innovation;Inovācijas
Intellectual Property;Intelektuālais īpašums
Investment Decisions;Investīciju lēmumi
IT Infrastructures;IT infrastruktūra
IT Strategy;IT stratēģija
Cost Management;Izmaksu vadība
Distribution Channels;Izplatības kanāli
What Efficiency is;Kāda ir efektivitāte
Customer Relationship Management;Klientu attiecību valdība
Teams and Groups;Komandas un grupas
Commercial and Investment Banking;Komerciālo un investīciju banku
Communication Strategies;Komunikācijas stratēģija
Communications and Interpersonal Skills;Komunikācijas un saskarsmes prasmes
Conflict Resolution;Konfliktu risināšana
Competition;Konkurence
Competition Law;Konkurences likums
Aggregate Demand and Aggregate Supply;Kopējais pieprasījums un Kopējais piedāvājums
Corporate Finance;Korporatīvās finanses
Corporate Structures;Korporatīvās struktūras
Decision Making Under Uncertainty;Lēmumu pieņemšana nenoteiktos apstākļos
Allocative Efficiency;Līdzekļu piešķiršanas efektivitāte
Contracts;Līgumi
Macroeconomic Policy;Makroekonomiskā politika
Balance of Payments;Maksājumu bilance
Marketing Management;Mārketinga vadība
Marketing;Mārketings
Retailing Strategies;Mazumtirdzniecības stratēģijas
Monetary Policy;Monetārā politika
Cash Flow;Naudas plūsma
Regulations;Noteikumi
Operations Management;Operāciju vadība
Organizational Evolution and Growth;Organizatoriskā attīstība un izaugsme
Organizational Innovation;Organizatoriskā inovācija
Organizational Culture;Organizatoriskā Kultūra
Organizational Learning;Organizatoriskā māceklība
Organizational Behaviour and Leadership;Organizatoriskā uzvedība un līderība
Organizational Behaviour and Leadership;Organizatoru izturēšanās un līderība
Services Marketing;Pakalpojumu Marketings
Sales;Pārdošana
Change Management;Pārmaiņu vadība
Negotiation and Auction Analysis;Pārrunas un Izsoles analīze
Measures of Development;Pasākumu attīstība
Sense of Initiative and Entrepreneurship;Pašiniciatīva un uzņēmējdarbība
Consumer Behaviour;Patērētāju uzvedība
Profit and Loss Accounts;Peļņas un zaudējumu aprēķini
Supply Side Policy;Piegādātāja puses politika
Private Equity and Venture Capital;Privātais kapitāls un riska kapitāls
Productive Efficiency;Produktivitātes Efektivitāte
Product Strategies/Brands;Produktu Stratēģijas / Zīmoli
Professional Development;Profesionālā attīstība
Forecasting;Prognozēšana
Project Management;Projektu vadība
Protectionism;Protekcionisms
Creative Thinking;Radošā domāšana
Production;Ražošana
Resource Management;Resursu pārvaldība
Risk Management;Riska vadība
Public Relations;Sabiedriskās attiecības
Collaboration;Sadarbība
Negotiation;Sarunas
Negotiation Skills;Sarunas Prasmes
Segmentation and Positioning;Segmentācija un pozicionēšana
Self-motivation Skills;Sevis motivācijas prasmes
Systems Analysis;Sistēmu analīze
Social Entrepreneurship;Sociālā uzņēmējdarbība
Social Networks;Sociālie tīkli
Stability and Policy Effectiveness;Stabilitāte un politikas efektivitāte
International Trade;Starptautiskā tirdzniecība
International Marketing;Starptautiskais mārketings
International Finance;Starptautiskās finanses
International Accounting Standards;Starptautiskie grāmatvedības standarti
Statistical Methods;Statistiskās metodes
Strategy and Corporate Social Responsibility;Stratēģija un Korporatīvā sociālā atbildība
Strategic Marketing;Stratēģiskais mārketings
National Economy;Tautsaimniecība
Free Trade;Tirdzniecība bez nodokļiem
Trading regulations;Tirdzniecības noteikumi
Market Analysis;Tirgus analīze
Market Failure;Tirgus Nespēja
Market Structure;Tirgus struktūra
Transport Economics;Transporta ekonomika
Coaching;Trenēšana
Value-Based Management;Uz vērtībām-Balstīts vadība
Business Economics;Uzņēmējdarbības ekonomika
Business Finance;Uzņēmējdarbības finanses
Entrepreneurship Education;Uzņēmējdarbības izglītība
Business Size;Uzņēmējdarbības izmērs
Entrepreneurial Process;Uzņēmējdarbības process
Business Management;Uzņēmējdarbības vadība
Enterprise;Uzņēmums
Corporates Restructuring;Uzņēmumu pārstrukturēšana
Behavioural Decision Theory;Uzvedības teorija
Leadership Styles;Vadīšanas Stili
Exchange Rates;Valūtu kursi
Power and Politics;Vara and Politika
Performance Measurement;Veiktspējas mērīšana
Vision and Mission;Vīzija un misija
Branding strategies;Zīmola stratēģija
Knowledge Management;Zināšanu pārvaldība
Decision Science;Zinātnes lēmums

