Mathematics;Matemātika
Absolute frequency;Absolūtais biežums
Affine function;Afīnā funkcija
Algebra;Algebra
Algebra and Number Theory;Algebra un Skaitļu teorija
Algebraic expression;Algebriskā izteiksme
Algebraic Manipulation;Algebriskās darbības
Algebraic expression;Algebriskas izteiksmes
Algebraic expression;Algebriskās izteiksmes
Algebraic calculation;Algebriski aprēķini
Algebraic calculation;Algebriskie aprēķini
Algorithms;Algoritmi
Ampliation;Amplitācija
Circle;Aplis
Circular chart;Apļveida tabula
Approximate value;Aptuvenā vērtība
Congruences;Aptuvenā vienādība
Circumcircle;Apvilkts riņķis ap trijstūri
Outlier;Arējā izklātne
Outlier;Ārējā izklātne
Archimedean solid;Arhimēda viela
Arithmetic;Aritmētika
Arithmetic Sequence;Aritmētiskā progresija
Patterns and Sequences;Aritmētiskā un Ģeometriskā progresija
Skewness;Asimetrija
Remainder;Atgādinājums
Dependency relation;Atkarības saistība
Remainder;Atlikums
Reflection;Attēlošana
Reflection in a line;Attēlošana uz līnijas
Reflection in a plane;Attēlošana uz plaknes
Reflection in a point;Attēlošana uz punkta
Derivative;Atvasinājums
Upper bound;Augšējā saikne
Continuous random variable;Bezgalīgs dažāds mainīgais
Unbounded Operators;Bezsaikņu operatori
Frequency diagram;Biežuma diagrama
Polygon of frequencies;Biežuma poligons
Frequencies;Biežumi
Frequency;Biežums
Bisector-Plane;Bisektora-Plakne
CAS;CAS
Central tendency measure;Centrāli novietoti mērījumi
Equation of a cycloid;Cikloīdas vienādojums
Cylinder;Cilindrs
Circular chart;Cirkulārā tabula
Divisibility;Dalāmība
Fraction;Daļskaitļi
Piecewise-function;Daļu-zinoša-funkcija
Tool;Darbarīki
Data;Dati
Data analysis;Datu analīze
Data collect;Datu savākšana
Data chart features;Datu tabulas saturs
Multiple chart;Daudzkārtīga tabula
Polyhedron truncating;Daudzskaldņa dažādas skaldnes
Polyhedron deformation;Daudzskaldņa deformācija
Polyhedron decomposition;Daudzskaldņa dekompozīcija
Polyhedron dualize;Daudzskaldņa dulaitāte
Polyhedron transformation;Daudzskaldņa dulaitāte
Polynomial function;Daudzskaldņa funkcija
Polynomial graph;Daudzskaldņa grafiks
Polyhedron unfold;Daudzskaldņa izklājums
Polyhedron composition;Daudzskaldņa kompozīcija
Polyhedron movement;Daudzskaldņa kustība
Polynomial Inequality;Daudzskaldņa nevienādība
Polyhedron transformation;Daudzskaldņa transformācija
Polyhedron;Daudzskaldnis
Polyhedron truncating;Daudzst
Polyhedron movement;Daudzstrūra kustība
Polyhedron decomposition;Daudzstūra dekompzīcija
Polyhedron unfold;Daudzstūra izklājums
Random variable;Dažādi mainīgie
Random sample;Dažādi paraugi
Random process;Dažādi procesi
Randomness;Dažādība
Random sampling;Dažādu paraugu ievākšana
Decimal number;Decimālskaitļi
Decimal number;Decimālskaitlis
Dodecahedron;Dedakahedrons
Deductive method;Deduktīvā metoda
Deductive method;Deduktīvā metode
Cartesian coordinates;Dekarta koordinātes
Dodecahedron;Desmitstūris
Diagram;Diagrama
Differential and Difference Equation;Diferenciāļi un diferenču vienādojumi
Discrete random variable;Diskrēta dažāda vērtība
Discrete Mathematics;Diskrētā Matemātika
Disc;Disks
TwoD coordinates;DiviD koordinātes
Dividend;Dividende
Double entry table;Divkāršā ieejas tabula
Domain and range;Domēns un apgabals
Double entry table;Dubultā ievada tabula
Ampliation;Ekskursija
Exponential function;Eksperimentā funkcija
Experiments;Eksperimenti
Experiments;Eksperiments
Elementary plane geometry;Elementārā plaknes ģeometrija
Ellipse;Elipse
Equation of an ellipse;Elipses vienādojums
Factorization;Faktorizācija
Fibonacci Sequence;Fibenačī virkne
Formula;Formula
Function;Funkcija
Function attribute;Funkcijas atribūti
Formula of a function;Funkcijas formula
Graphical Representation of Function;Funkcijas grafiskais attēlojums
Function plot features;Funkcijas vērtību apgabala apraksts
Function plot features;Funkcijas vērtību apgabala īpašības
Function Plotter;Funkcijas vērtību apgabala veidotājs
Function Topic;Funkcijas virsraksti
Functional Analysis;Funkciju Analīze
Case count;Gadījumu skaits
Continuity and discontinuity;Galīga un bezgalīga
Inequality General;Galvenā nevienādība
Formula for length;Garuma formula
Geometry;Ģeometrija
Geometric Sequence;Ģeometriskā progresija
Geometric Proof – Solid Geometry;Ģeometrisks pierādījums - Vielu ģeometrija
Global Analysis;Globālā Analīze
Graphing Techniques;Grafika zīmēšana
Graphical display of data;Grafiska datu attēlošana
Graphical representation of function;Grafiska funkcijas attēlošana
Graph Theory;Grafiskā Teorija
Graphical display of data;Grafiskais datu attēlojums
Graphing Calculator;Grafiskais Kalkulators
Harmonic Analysis;Harmoniskā Analīze
Hyperbola;Hiperbola
Hyperbolic function;Hiperboliska funkcija
Hypothesis;Hipotēzes
Histogram;Histograma
Identity;Identitāte
Inner product spaces;Iekšējā produkta telpa
Incircle;Iekšējais aplis
Set square;Ielikt kvadrātu
Set square;Ievietot kvadrātu
Icosahedron;Ikosahedrons
Inductive method;Induktīvā metode
Integral Transforms;Integrālie pārveidojumi
Integer;Integrālis
Integral Transforms;Integrāļu Transformācijas
Dynamic interactive geometry environments;Interaktīvi dinamiskā ģeometrijas vide
Interpolation;Interpolācija
Engineering Mathematics;Inženierzinātnes Matemātika
Irrational Number;Irracionālis skaitlis
Irrational Number;Irracionāls skaitlis
Real world problem;Īstās pasaules problēmas
Spreadsheet Software;Izklājlapas Programmatūra
Spread;Izkliede
Spread;Izplatīšanās
Expression;Izteiksme
Bar chart;Joslu diagramma
Calculator;Kalkulators
Cardinal number;Kardinālais skaitlis
Cardinality;Kardinalitāte
Fallacy;Kļūda
Error in a plot;Kļuda vērtību apgabalā
Error in a plot;Kļūda vērtību apgabalā
Fallacy;Kļūdainība
Tree diagram;Koka diagrama
Tree diagram;Kokveida diagrama
Combinations;Kombinācijas
Combinatorics;Kombinatorika
Compass;Kompass
Complex event;Kompleks notikums
Complex Analysis;Kompleksā analīze
Cumulative frequency diagram;Komulatīvā biežuma tabula
Conditional probability;Kondicionāla varbūtība
Conformal Mappings;Konformālā kartēšana
Conic Section;Konisks apgabals
Congruences;Konjugence
Concave Function;Konkeiva funkcija
Construct with ruler and compass;Konstruēt ar lineālu un kompasu
Conic Section;Konusa Sekcija
Cone;Konuss
Convexity;Konvekcija
Convex Function;Konveksa funkcija
Coordinates;Koordinātes
Sets and Set Operations;Kopas un kopu operācijas
Set Theory;Kopu teorija
Cosine;Kosinus
Coloring Proof;Krāsojuma pierādījums
Intersections with the axis;Krustošanās ar asi
Cuboid;Kubīds
Cuboid;Kuboīds
Cube;Kubs
Cumulative frequency diagram;Kumulatīvā biežuma tabula
Cumulative frequency;Kumulatīvais biežums
Movement;Kustība
Quadratic function;Kvadrātfunkcija
Quadratic Inequality;Kvadrātiskā nevienādība
Square Number;Kvadrātisks skaitlis
Square root;Kvadrātsakne
Quadratic Equation;Kvadrātvienādojums
Quartile;Kvartila
Quartile;Kvartile
Quotient;Kvocents
Right parallelepiped;Labais paralēllepidīds
Right parallelepiped;Labais paralēlskaldnis
Right-Prism;Labā-Prizma
Laplace rule;Laplasa likums
Formula for area;Laukuma formula
Formula for angle;Leņķa formula
Tangent of angle;Leņķa tangens
Equation of curve;Līkas līnijas vienādojums
Equation of curve;Līknes vienādojums
Ruler;Lineāls
Linear Algebra – Number Theory;Lineārā Algebra - Skaitļu Teorija
Linear function;Lineāra funkcija
Linear expression;Lineāra izteiksme
Linear Inequality With One Variable;Lineāra nevienādīa ar vienu mainīgo
Linear Inequality;Lineāra nevienādība
Linear Inequality;Lineārā nevienādība
Linear Inequality With One Variable;Lineārā nevienādība ar vienu mainīgo
Linear equations system;Lineāra vienādojuma sistēma
Linear expression;Lineāras izteiksmes
Linear problems;Lineāras problēmas
Linear problems;Lineārās problēmas
Linear Rational Function;Lineāri racionāla funkcija
Linear model;Lineārs modelis
Linear Equation;Lineārs vienādojums
Line chart;Līnijas tabula
