Administrative Sciences;Administratīvā zinātne
Agressiveness;Agresivitāte
Loan;aizdevums
Prejudice;Aizspriedumainīgs
Activist;Aktīvists
Activism;Aktivitāte
Acculturation;Akulturācija
Altruism;altruisms
Craft;amatniecības
Artisanship;amatniecību
Craftsman;amatnieks
Anthropology;Antropoloģija
Determinism;Apņemšanās
Survey;Aptauja
Questionnaire;Aptaujas anketa
Association;Apvienība
Archaeology;Arheoloģija
Army;Armija
Trade Union;arodbiedrība
Healing;Ārstnieciskā
Doctor;ārsts
Assimilation;Asimilācija
Incest;asinsgrēks
Association;asociācija
Detribalization;Atcilšošana
Fast-food;ātrā ēdināšana
Alienation;atsavināšana
Marginality;Atšķirtība
Marginalization;Atstumtība
Evolution;Attīstība
Fertility;Auglība
Authenticity;Autentisms
Autochthony;Autoktonija
Gangs;Bandas
Unemployment;bezdarbs
Membership;Biedra statuss
Society;biedrība
Biodiversity;Bioloģiskā daudzveidība
Biomedicine;Biomedicīna
Bio-power;Bio-spēks
Levirate;Brāļa sievas aprecēšana
Monster;briesmonis
Bourgeoisie;Buržuāzija
Adultness;Būt pieaugušam
Central Administration;Centrālā administrācija
Honour;Cieņa
Prison;cietums
Cycle of production;Cikla ražošanas
Tribalism;Ciltiskums
Ancestor worship;ciltstēvs 
People;cilvēki
Human Ecology;Cilvēku ekoloģija
Commuting;Cilvēku ikdienas kustībai
Struggle;cīņa
Nature;Daba
Nature and environment;Daba un vide
Landscape;Dabas ainava
Naturalism;Dabiskums
Participant Observation;Dalībnieka novērojums
Seniority;darba stāžs
Labour;darbaspēks
Action;darbība
Gift;dāvana
Degeneration;Deģenerācija
Decolonization;Dekolonizācija
Democracy;Demokrātija
Devolution;Devolūcija
Founder;dibinātājs
Differentiation;Diferencēšana
Discipline;Disciplīna
Discrimination;Diskriminācija
Dogma;dogma
School of thought;Domu skola
Soul;dvēsele
Birth;Dzimšana
Life;Dzīve
Life-style;dzīves stils
Animality;Dzivnieciskums
Animal;Dzīvnieki
Ego;Egoisms
Egoism;egoisms
Economy;ekonomija
Economy ;Ekonomija
Exogamy;eksogāmija
Emancipation;Emancipācija
Emigration;emigrācija
Emotion;Emocijas
Endogamy;endogāmija
Energy;Enerģija
Ethnodiversity;Etniskā dažādība
Ethnicity;Etniskā piederība
Ethnocentrism;Etnocentrisms
Ethnography;Etnogrāfija
Ethnology;Etnogrāfija
Ethnolinguistic;Etnolingvistika
Futurology;Etnoloģija
Ethnomedicine;Etnomedicīna
Ethnometodology;Etnometodoloģija
Ethnoscience;Etno-zinātne
Evolution;Evolūcija
Femminism;Feminisms
Philanthropy;filantropija
Finance;finansēt
Firm;Firma
Folklore;folklora
Functionalism;Funkcionālisms
Georeference;Ģeo-atsauksme
Family;ģimene
Tribe;ģints
Global Warming;Globālā sasilšana
Globalization;globalizācija
Luxury;greznība
Group;grupa
Identity;Identitāte
Inculturation;Iekšējais kultūrisms
Foranging;Iepriekš sarunāšana
Habit;ieradums
Institution;Iestāde
Affect;Ietekmēt
Causalism;Ikdienišķums
Immigration;imigrācija
Individual;Indivīds
Individualism;Individuālisms
Instinct;Instinkts
Integration;integrācija
Integrationism;Integrēšanās
Internet;internets
Interview;Intervija
Handicap;Invalīds
Possession;īpašums
Cure;izārstēt
Educational Sciences;Izglītības zinātnes
Elite;Izlase
Diffusionism;Izplatīšanās
Choice;izvēle
Youth;Jaunatne
Juridical System;Juridiskā sistēma
Legal Sciences;Juridiskā zinātne
Desease;Kaite
Cannibalism;kanibālisms
War;karš
Castration;Kastrācija
Shame;kauns
Scarnification;Ķermeņa apzīmēšana
Body-practice;Ķermeņa vingrināšana
Body;Ķermenis
Body and body-experiences ;Ķermenis un ķermeņa pieredze
Patronage;Klientūras veidošana
Colonialism;Koloniālisms
Focus Group;Koncentrēšanās grupa
Conflict;Konflikts
Community;Kopiena
Nursing;kopšana
Corporation;Korporācija
Corporatism;korporatīvisms
Body;korpuss
Stock;krājums
Crisis;krīze
Xenophobia;Ksenofobija
Culture;Kultūra
Culture and Cultural Theory ;Kultūra un kultūras teorija
Cultural Theory;Kulturālā teorija
Cultural Model;Kulturālais modelis
Movement;Kustība
Mobility;kustīgums
Qualitative research;Kvalitatīvs pētījums
Quantitative research;kvantitatīvs pētījums
Beneficence;labdarība
Welfare state;labklājības valsts
Literacy;Lasītprasme
Agriculture;lauksaimniecība
Countryside;Lauku apvidus
Marriage;laulība
Recession;Lejupslīdes
Decision;lēmums
Decision-making;Lēmumu pieņemšana
Liberism;Liberālisms
Libertarianism;Libertārisms
Resources;Līdzekļi
Corpse;Līķis
Legislation;Likumdošana
Law;Likums
Logo;logotips
Role;loma
Doctrine;Mācība
Magic;maģija
Witchcraft;maģija
Heritage;mantojums
Heritage (Natural and Cultural);Mantojumu (dabas un kultūras)
Marxism;Marksisms
Mass;masa
Mass-communication;Masu komunikācija
Material base;materiālā bāze
Hunting;medības
Medicine, health and sickness ;Medicīna, veselība un slimības
Mechanisation;mehanizācija
Craftsmanship;meistarība
Method;Metode
Method and Methodology;Metode un metodoloģija
Methodology;Metodoloģija
Migration;migrācija
Militia;Milicija
Mythology;Mitoloģija
Myth;mīts
Fashion;mode
Modernism;Modernisms
Modernization;Modernizācija
Monarchy;Monarhija
Nobility;Muižniecība
Multiculturalism;Multikulturālisms
Nationalism;Nacionālisms
Future;nākotne
Money;nauda
Death;Nāve
Name;Nosaukums
Stratification;noslāņošanās
Observation;Novērojums
Crime;Noziedzība
Criminality ;noziedzība
Organization;Organizācija
Organization;organizēšana
Organ;Orgāns
Generation;paaudze
Assistance;Palīdzība
Basis;pamats
Food;pārtika
Possession;pašums
Commodity;patēriņa priekšmets
Consumption;patēriņš
Person;persona
Approach;Pieeja
