Awareness & management of others ;citi informētība un vadība
Awareness & management of self ;sevis informētība un vadība
Gifted and talented ;Apdāvinātiem un talantīgiem
Rewards & sanctions ;Atlīdzība un sankcija
Autism spectrum disorders (ASD) and Asperger Syndrome;Autism spektra traucējumi (ASD) un Aspergera sindroms
Down's Syndrome ;Dauna sindroms
Depression ;depresija
Dysgraphia ;disgrāfija
Dyscalculia ;diskalkulija
Dyslexia ;dislekcija
Dyspraxia ;dispraksija
Anger management ;dusmu vadība
Hearing impairment ;Dzirdes darbības traucējumi
Auditory processing disorder ;dzirdes traucējumi
Eating disorders ;ēšanas traucējumi
Physical impairments ;Fiziskie traucējumi
Physical ;fizisks
Mental health issues ;Garīgās veselības problēmas
Hyperactivity ;hiperaktivitāte
Bullying ;iebiedēšana
Impulsivity ;impulsivitāte
Information ;informācija
Specific learning difficulties;Īpašas mācīšanās grūtības
Curriculum ;Izglītības programma
Curriculum P1 - P3 ;Izglītības programma P1 - P3
Curriculum P4 - P7 ;Izglītības programma P4 - P7
Curriculum P8 - L2 ;Izglītības programma P8 - L2
Curriculum extension ;Izglītības programma pagarināšana
Expressive language ;izteiksmīga valoda
Sensory ;Jūtīgums
Classroom organization ;klases telpas organizēšana
Cognitive impairment: Moderate learning difficulties (MLD) ;Kognitīvi traucējumi: Mērens mācīšanās grūtības (MLD)
Cognitive impairment: Severe learning difficulties (SLD) ;Kognitīvi traucējumi: smagas mācīšanās grūtības (SLD)
Well Being / Emotional Literacy;Labsajūtu / emocionālā lasītprasme
Sensory ;maņu
Motivation ;motivācija
Anxiety ;nemiers
Obsessive compulsive disorder [OCD] ;Obsesīvi kompulsīvi traucējumi [OKT]
Organisation ;organizācija
Profound and multiple learning difficulties (PMLD) ;Pamatīgas un dažādas mācīšanās grūtības (PMLD)
Self-harming ;pašapkalpošanās-nekaitējot
Self-esteem ;pašvērtējums
Access ;pieeja
Projects ;projekts
Visual impairment ;Redzes traucējumi
Speech and language communication difficulties ;Runas un valodas komunikācijas grūtības
Communication ;saskarsme
Communication modes ;saskarsme veidi
Selective mutism ;selektīvais mēmums
Sensory integration disorder ;Sensoro integrāciju traucējumi
Articulation ;skaidra formulēšana
Social skills ;sociālās prasmes
Tics ;statistikas jomā
Therapy ;terapija
Tourette's Syndrome ;Tureta sindroms
Attention ;Uzmanība
Attention deficit / and hyperactivity disorder (ADD / ADHD) ;Uzmanības deficīta un / hiperaktivitātes traucējumi (ADD / ADHD)
Receptive language ;uztveres valoda
Behavior ;uzvedība
Behavior management ;uzvedības vadība
Behavioral, emotional and social difficulties (BESD) ;Uzvedības, emocionālās un sociālās grūtības (BESD)
Environment ;vide
Visual processing disorder ;Vizuālās apstrādes traucējumi

