Science;Wetenschap
Earthquakes;Aardbevingen
Earth;Aarde
Geography;Aardrijkskunde
Geography and Earth Science;Aardrijkskunde en aardwetenschappen
Near-earth objects;Aardscheerder
Earth science;Aardwetenschappen
Acceleration;Acceleratie
Accelerators;Accelerator
Accelerators & beams ;Acceleratoren & stralen
Background radiation;Achtergrondstraling
Topical geographical issues;Actuele geografische problematiek
Adiabatic;Adiabatisch
Africa;Afrika
Waste management ;Afvalbeheer
Deposition;Afzetting
States of matter;Aggegratietoestand
Alpha radiation;Alfastraling
Aliphatic Compounds;Alifatische verbindingen (verbinding)
Alkali metals;Alkalimetaal
Pancreas;Alvleesklier
Amphibian;Amfibie
Analysis Tools;Analysematerialen
Analytical Chemistry;Analytische scheikunde
Anatomy;Anatomie
Other geomorphological processes;Andere geomorfologische processen
Other influences on ecosystems;Andere invloeden op het ecosysteem
Other types of bonding;Andere type verbindingen
Inorganic chemistry ;Anorganische scheikunde
Antarctica;Antarctica
Antimatter ;Antimaterie
Aromatic Compounds;Aromaciteit
Astrobiology;Astrobiologie
Astrometry;Astrometrie
Astronauts;Astronauten (astronaut)
Astronomy;Astronomie
Atlases;Atlassen (atlas)
Atmospheres;Atmosfeer
atmospheric phenomenon ;Atmosferisch fenomeen
Atmospheric Pressure;Atmosferische druk (luchtdruk)
Atoms – generally;Atomen - in het algemeen
Atomic Absorption Spectroscopy;Atomische absorptiespectrometrie
Atomic structure;Atomische structuren
Asia;Azië
Flowering plants/parts of plants;Bedektzadigen / delen van planten
Endangered species;Bedreigde diersoorten
Endangered species ;Bedreigde diersoorten
Mountain;Berg
Mountain ;Berg
Beta radiation;Bètastraling
Fertilisation;Bevruchting
Biology;Biologie
Biomass;Biomassa
Biomes;Bioom
Biosphere;Biosfeer
Biotechnology;Biotechnologie
Biotope;Biotoop
Leaf;Blad
Blood;Bloed
Circulatory System;Bloedsomloop
Blood vessels;Bloedvaten
Flower;Bloem
Land use;Bodemgebruik
Soil influences on ecosystems;Bodeminvloeden op ecosystemen
Globular clusters;Bolvormige sterrenhoop
Tree;Boom
Forest ;Bos
Forestry;Bosbouw
Botany ;Botanie
Collision;Botsing
Brain;Brein
Refraction index;Brekingsindex
Greenhouse effect ;Broeikaseffect
Sources of resources;Bronnen van bestaansmiddelen
Useful substances from rocks & minerals;Bruikbare bestandelen van stenen en mineralen
Useful substances from rocks and minerals;Bruikbare bestandelen van stenen en mineralen
Brown dwarfs;Bruine dwergen (bruine dwerg)
Extraterrestrial life;Buitenaards leven
Calorimeters ;Calorimeter
Cardiovascular;Cardiovasculair (hart-en vatenstelsel)
cartography;Cartografie
Catastrophe ;Catastrofe
Cell types – other;Celltypen - anders
Cell processes - generally;Celprocessen - in het algemeen
Cell structure;Celstructuur
Cell types - generally;Celtypen - in het algemeen
Central field;Centraal gebied
Chemical Kinetics;Chemische kinetiek
Chemical Reactions;Chemische reacties
Chemical Thermodynamics;Chemische thermodynamica
Chemical changes;Chemische veranderingen
Chromatography;Chromatografie
Chromosomes;Chromosomen
Circular motion;Circulaire beweging
Classification/keys;Classificaties / sleutels
Classifications of economic activity;Classificaties van economische activiteiten
Galaxy clusters;Clusters
Comets and meteors;Cometen en meteoren (comeet en meteoor)
Components in circuits: batteries, etc;Componenten in schakelingen: batterijen, enz
Conservation and dissipation;Conservatie en verspilling
Conservative force field;Conservatieve krachtveld
Constellations;Constellaties (constellatie)
Coordinates;Coördinaten (Coördinaat)
Metal complexes;Coördinatieverbindingen
Covalent bonds;Covalente binding
Everyday materials;Dagelijkse materialen
Darwin;Darwin
Role of electrons in reactions;De rol van electronen in reacties
Particle detectors ;Deeltjesdetectoren
Particle dynamics ;Deeltjesdynamica
Particle theory;Deeltjesfysica
Particle interactions with matter ;Deeltjesinterachtie met materie
Particle cosmology ;Deeltjeskosmologie
Particle beam parameters ;Deeltjesstraal parameters
Detectors;Detectoren (sensoren)
Detectors: CCD camera;Detectoren: CCD - camera
Density;Dichtheid
Density waves;Dichtheidsgolven
Animal;Dier
Diffraction;Diffractie
Dinosaur;Dinosaurus
Distillation;Distillatie
DNA;DNA
Dark energy;Donkere energie
Dark matter;Donkere materie
Dark matter ;Donkere materie
Doppler effect;Dopplereffect
Drinking water;Drinkwater
Pressure;Druk
Binary stars;Dubbelsterren
Renewable energy;duurzame energie
Renewable energy ;Duurzame energie
Dynamic Shape;Duynamische vorm
Dynamometers;Dynamometers
Eclipses;Eclips
Ecology;Ecologie
Ecology ;Ecologie
Ecosystem ;Ecosysteem
Ecosystems;Ecosystemen (ecosysteem)
Education for sustainable development ;Educatie voor duurzame ontwikkeling
Unification ;Eenwording
First scientific revolution;Eerste wetenschappelijke revolutie
Effects of resource use;Effecten van het gebruik van middelen
Ova;Eicellen (Eicel)
Properties of sound - generally;Eigenschappen van geluid - in het algemeen
Properties of light - generally;Eigenschappen van licht - in het algemeen
Properties of materials;Eigenschappen van materialen
Island ;Eiland
Einstein ring;Einsteinring
Elastic collision;Elastische botsing
Electricity ;Electriciteit
Electricity and magnetism;Electriciteit en magnetisme
Electric field;Electrisch veld
Electrical energy ;Electrische energie
