Music;Muziek
A;A
Background Music;Achtergrondmuziek
Eighth note  ;Achtste noot
Quaver;Achtste noot
Eighth note rest;Achtste noot rust
Quaver rest;Achtste rust
Chord;Akkoord
Acoustics;Akoestiek
General MIDI;Algemene MIDI
General styles & traditions;Algemene stijlen en tradities
Alto;Alt
Viola;Altviool
Arena;Arena
Aristoxenos;Aristoxenos
Arranging/accompaniments;Arrangeren / begeleidingen
Ars antique;Ars antiek
Ars Nova;Ars Nova
Auditorium;Auditorium
B;B
Bach;Bach
Ballet Music;Balletmuziek
Tape recording;Bandopname
Banjo;Banjo
Bar  ;Bar
Baroque Period;Barokke Periode
Basso;Bas
Bass Drum;Bass Drum
Beethoven;Beethoven
Bell;Bel
Appraising, responding & reviewing;Beoordelen, terugkoppelen en herziening
Bizet;Bizet
Winds;Blaasinstrumenten
Sheet Music;Bladmuziek
Boccherini;Boccherini
Borodin;Borodin
Treble ;Bovenstem
Bruckner;Bruckner
Byrd;Byrd
Byzantine Hymnography;Byzantijnse hymnografie
Byzantine era;Byzantijnse tijd
C;C
Cadence;Cadans
Callas;Callas
Castanet;Castanet
Cello;Cello
Ceremony;Ceremonie
Chromatic Scale;Chromatische Schaal
Cymbal;Cimbaal
Circle of Fifths;Cirkel van Vijfden
Zither;Citer
Claudio Monteverdi;Claudio Monteverdi
Harpsichord;Clavecimbel
Clementi;Clementi
Composing, creating & developing;Componeren, creëren en ontwikkelen
Computer Music;Computermuziek
Computer-enhanced Music;Computer-ondersteunde muziek
Concerto;Concerto
Concert Hall;Concertzaal
Conservatory of Music;Conservatorium voor muziek
Context;Context
Double Bass;Contrabas
Contrabassoon;Contrafagot
Contrapunto;Contrapunto
Corelli;Corelli
Couperin;Couperin
Creating & developing ideas;Creëren en ontwikkelen van ideeën
D;D
The Renaissance;De Renaissance
Debussy;Debussy
Demisemiquaver;Demisemiquaver
Demisemiquaver rest;Demisemiquaver rust
Mute;Dempen
Digital Audio Recorder;Digital Audio Recorder
Digital sound editing;Digitale geluidsbewerking
Digital sound recording;Digitale geluidsopname
Dissonant and Consonant Chords;Dissonante en Consonante Akkoorden
Do;Do
Bagpipes;Doedelzak
Dolby surround;Dolby surround
Dominant 7th's;Dominant 7 's
Donizetti;Donizetti
Triplet;Drieling
Double Accidental;Dubbele interval
Duo;Duo
Dvořák;Dvořák
E;E
Electric Bass;Electric Bass
Electric guitar;Elektrische gitaar
Electronic Music;Elektronische muziek
Elgar;Elgar
English Horn;Engels hoorn
Ensemble;Ensemble
Expression Marks;Expressie markeringen
F;F
Fa;Fa
Bassoon;Fagot
